top_k,hits,hit_rate,cost,reward,profit,roi,avg_profit_per_period
1,15,5.0,300,705,405,135.0,1.35
2,22,7.333333333333333,600,1034,434,72.33333333333334,1.4466666666666668
3,28,9.333333333333334,900,1316,416,46.22222222222222,1.3866666666666667
4,34,11.333333333333332,1200,1598,398,33.166666666666664,1.3266666666666667
5,42,14.000000000000002,1500,1974,474,31.6,1.58
6,46,15.333333333333332,1800,2162,362,20.11111111111111,1.2066666666666668
7,54,18.0,2100,2538,438,20.857142857142858,1.46
8,59,19.666666666666664,2400,2773,373,15.541666666666668,1.2433333333333334
9,65,21.666666666666668,2700,3055,355,13.148148148148147,1.1833333333333333
10,74,24.666666666666668,3000,3478,478,15.933333333333334,1.5933333333333333
11,78,26.0,3300,3666,366,11.090909090909092,1.22
12,80,26.666666666666668,3600,3760,160,4.444444444444445,0.5333333333333333
13,86,28.666666666666668,3900,4042,142,3.6410256410256405,0.47333333333333333
14,93,31.0,4200,4371,171,4.071428571428572,0.57
15,98,32.666666666666664,4500,4606,106,2.3555555555555556,0.35333333333333333
