期数,日期,预测TOP4,实际,状态,投注,余额
11,2025/8/3,"牛, 虎, 狗, 羊",羊,[HIT] 命中 +29元 (连胜1),16,29
12,2025/8/4,"牛, 虎, 狗, 猪",兔,[MISS] 未中 -16元 (连败1),16,13
13,2025/8/5,"牛, 虎, 狗, 猪",鸡,[MISS] 未中 -16元 (连败2),16,-3
14,2025/8/6,"狗, 虎, 牛, 猪",羊,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-35
15,2025/8/7,"牛, 虎, 狗, 猪",猴,[PAUSE] 暂停投注(第1期，本期未中),0,-35
16,2025/8/8,"虎, 牛, 狗, 猪",羊,[PAUSE] 暂停投注(第2期，本期未中),0,-35
17,2025/8/9,"牛, 虎, 狗, 猪",鸡,[PAUSE] 暂停投注(第3期，本期未中),0,-35
18,2025/8/10,"狗, 虎, 牛, 猪",狗,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-35
19,2025/8/11,"牛, 虎, 猪, 马",狗,[MISS] 未中 -16元 (连败1),16,-51
20,2025/8/12,"牛, 虎, 猪, 马",猪,[HIT] 命中 +29元 (连胜1),16,-22
21,2025/8/13,"牛, 虎, 马, 龙",蛇,[MISS] 未中 -16元 (连败1),16,-38
22,2025/8/14,"牛, 虎, 龙, 马",虎,[HIT] 命中 +29元 (连胜1),16,-9
23,2025/8/15,"牛, 龙, 马, 猪",狗,[MISS] 未中 -16元 (连败1),16,-25
24,2025/8/16,"牛, 龙, 马, 猪",猪,[HIT] 命中 +29元 (连胜1),16,4
25,2025/8/17,"牛, 龙, 马, 兔",虎,[MISS] 未中 -16元 (连败1),16,-12
26,2025/8/18,"牛, 马, 龙, 兔",兔,[HIT] 命中 +29元 (连胜1),16,17
27,2025/8/19,"牛, 马, 龙, 猴",龙,[HIT] 命中 +29元 (连胜2),16,46
28,2025/8/20,"牛, 马, 猴, 虎",兔,[MISS] 未中 -16元 (连败1),16,30
29,2025/8/21,"牛, 马, 猴, 虎",龙,[MISS] 未中 -16元 (连败2),16,14
30,2025/8/22,"牛, 马, 猴, 猪",鼠,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-18
31,2025/8/23,"牛, 马, 猴, 虎",蛇,[PAUSE] 暂停投注(第1期，本期未中),0,-18
32,2025/8/24,"牛, 马, 猴, 虎",蛇,[PAUSE] 暂停投注(第2期，本期未中),0,-18
33,2025/8/25,"牛, 马, 猴, 猪",鼠,[PAUSE] 暂停投注(第3期，本期未中),0,-18
34,2025/8/26,"牛, 马, 猴, 猪",兔,[PAUSE] 暂停投注(第4期，本期未中),0,-18
35,2025/8/27,"牛, 猴, 马, 虎",龙,[PAUSE] 暂停投注(第5期，本期未中),0,-18
36,2025/8/28,"牛, 马, 猴, 虎",猴,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-18
37,2025/8/29,"牛, 马, 猪, 鸡",虎,[MISS] 未中 -16元 (连败1),16,-34
38,2025/8/30,"牛, 马, 猪, 鸡",虎,[MISS] 未中 -16元 (连败2),16,-50
