iter	RMSE
0	14.25351925
1	14.14662748
2	14.0768401
3	13.95691021
4	13.80408639
5	13.74750385
6	13.65927711
7	13.57587372
8	13.46561137
9	13.33956051
10	13.23570155
11	13.14046902
12	13.02346274
13	12.9085485
14	12.80705682
15	12.68759979
16	12.57677013
17	12.50659876
18	12.43095137
19	12.29285974
20	12.20040467
21	12.05643714
22	11.93946541
23	11.85446491
24	11.72946056
25	11.64465433
26	11.54820383
27	11.45498701
28	11.38938641
29	11.29287215
30	11.18012641
31	11.0827222
32	10.98296317
33	10.91687516
34	10.80211954
35	10.71561096
36	10.63691159
37	10.54407562
38	10.46896749
39	10.39272425
40	10.33181696
41	10.28136054
42	10.20836973
43	10.14185027
44	10.04542179
45	9.943304945
46	9.869896656
47	9.802730929
48	9.739708966
49	9.701894194
50	9.638118193
51	9.547003076
52	9.485192071
53	9.408763274
54	9.330545089
55	9.262168212
56	9.198373133
57	9.112955158
58	9.029570731
59	8.944520285
60	8.876945796
61	8.805721771
62	8.735930083
63	8.660420881
64	8.5721154
65	8.531164358
66	8.474489683
67	8.410491646
68	8.36651577
69	8.281685798
70	8.215972411
71	8.1544721
72	8.104338157
73	8.045903487
74	7.960319553
75	7.881431478
76	7.808115428
77	7.759655768
78	7.698712388
79	7.665332086
80	7.591815265
81	7.546800601
82	7.49266469
83	7.454817253
84	7.38672997
85	7.346823292
86	7.316144259
87	7.247556859
88	7.185930814
89	7.13365787
90	7.082345794
91	7.039722567
92	6.988620548
93	6.940367734
94	6.891315518
95	6.825236665
96	6.771146569
97	6.724895451
98	6.664863111
99	6.635887181
100	6.607820879
101	6.560421224
102	6.504725259
103	6.451771768
104	6.404502083
105	6.357002943
106	6.321035657
107	6.255830484
108	6.198422714
109	6.141677253
110	6.095274348
111	6.05585106
112	6.005003176
113	5.95818491
114	5.913892537
115	5.848656482
116	5.802365104
117	5.77787579
118	5.723151018
119	5.66400329
120	5.606700742
121	5.557221144
122	5.519211846
123	5.481295876
124	5.432827318
125	5.379390968
126	5.328926978
127	5.280518511
128	5.24335394
129	5.204257568
130	5.147349745
131	5.090715965
132	5.049022842
133	5.007470327
134	4.973045057
135	4.931943374
136	4.876243628
137	4.830706749
138	4.790362413
139	4.743721834
140	4.706968674
141	4.666462824
142	4.620513864
143	4.590637023
144	4.54364991
145	4.499333277
146	4.452213909
147	4.407084498
148	4.355930281
149	4.30956756
