iter	Passed	Remaining
0	159	23824
1	162	12004
2	164	8060
3	166	6081
4	169	4904
5	171	4110
6	173	3543
7	175	3115
8	177	2783
9	179	2519
10	182	2303
11	184	2122
12	186	1967
13	188	1835
14	191	1721
15	193	1621
16	195	1532
17	198	1452
18	200	1381
19	202	1318
20	205	1259
21	207	1206
22	209	1157
23	211	1111
24	213	1069
25	216	1030
26	218	994
27	220	960
28	222	927
29	224	898
30	226	870
31	229	844
32	231	819
33	233	796
34	235	774
35	237	753
36	240	734
37	242	715
38	244	696
39	247	679
40	249	662
41	251	646
42	253	631
43	255	616
44	258	602
45	260	588
46	262	575
47	264	562
48	267	550
49	269	539
50	271	527
51	274	516
52	276	505
53	278	495
54	280	484
55	283	475
56	285	465
57	287	455
58	289	446
59	291	437
60	294	428
61	296	420
62	298	412
63	301	404
64	303	396
65	305	389
66	307	381
67	310	373
68	312	366
69	314	359
70	316	352
71	319	345
72	321	339
73	323	332
74	325	325
75	328	319
76	330	313
77	332	307
78	334	301
79	337	295
80	339	289
81	341	283
82	343	277
83	346	271
84	348	266
85	350	261
86	353	255
87	355	250
88	357	245
89	359	239
90	362	234
91	364	229
92	366	224
93	369	219
94	371	215
95	373	210
96	376	205
97	378	200
98	380	195
99	382	191
100	384	186
101	387	182
102	389	177
103	391	173
104	394	168
105	396	164
106	399	160
107	401	156
108	403	151
109	406	147
110	408	143
111	410	139
112	412	135
113	415	131
114	417	127
115	419	123
116	422	119
117	424	115
118	427	111
119	429	107
120	431	103
121	434	99
122	436	95
123	438	92
124	441	88
125	443	84
126	445	80
127	448	77
128	450	73
129	452	69
130	455	66
131	457	62
132	459	58
133	461	55
134	464	51
135	466	48
136	469	44
137	471	40
138	473	37
139	475	33
140	478	30
141	480	27
142	482	23
143	485	20
144	487	16
145	489	13
146	492	10
147	494	6
148	497	3
149	499	0
