期号,日期,实际,结果,原版倍数,优化倍数,倍数差,原版盈亏,优化盈亏,盈亏差
11,2025/5/12,2,命中,1.0,1.2,0.19999999999999996,30.0,36.0,6.0
12,2025/5/13,10,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
13,2025/5/14,14,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
14,2025/5/15,37,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
15,2025/5/16,9,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
16,2025/5/17,36,未中,4.5,3.5999999999999996,-0.9000000000000004,-67.5,-53.99999999999999,13.500000000000007
17,2025/5/18,41,未中,7.5,6.0,-1.5,-112.5,-90.0,22.5
18,2025/5/19,14,未中,10.0,9.6,-0.40000000000000036,-150.0,-144.0,6.0
20,2025/5/21,13,命中,6.0,10.0,4.0,180.0,300.0,120.0
21,2025/5/22,44,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
25,2025/5/26,14,命中,2.0,1.0,-1.0,60.0,30.0,-30.0
26,2025/5/27,32,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
27,2025/5/28,2,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
28,2025/5/29,41,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
29,2025/5/30,40,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
30,2025/5/31,38,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
31,2025/6/1,10,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
32,2025/6/2,43,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
33,2025/6/3,26,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
34,2025/6/4,45,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
35,2025/6/5,18,未中,4.5,3.5999999999999996,-0.9000000000000004,-67.5,-53.99999999999999,13.500000000000007
36,2025/6/6,23,命中,7.5,6.0,-1.5,225.0,180.0,-45.0
37,2025/6/7,5,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
38,2025/6/8,31,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
39,2025/6/9,11,命中,2.0,2.4,0.3999999999999999,60.0,72.0,12.0
40,2025/6/10,16,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
41,2025/6/11,1,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
42,2025/6/12,23,命中,2.0,1.0,-1.0,60.0,30.0,-30.0
43,2025/6/13,13,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
44,2025/6/14,47,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
45,2025/6/15,41,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
46,2025/6/16,9,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
47,2025/6/17,16,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
48,2025/6/18,7,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
49,2025/6/19,33,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
50,2025/6/20,47,命中,3.0,2.4,-0.6000000000000001,90.0,72.0,-18.0
51,2025/6/21,36,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
52,2025/6/22,38,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
53,2025/6/23,39,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
54,2025/6/24,30,未中,3.0,3.5999999999999996,0.5999999999999996,-45.0,-53.99999999999999,-8.999999999999993
55,2025/6/25,36,未中,5.0,6.0,1.0,-75.0,-90.0,-15.0
56,2025/6/26,4,未中,4.8,4.0,-0.7999999999999998,-72.0,-60.0,12.0
57,2025/6/27,27,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
58,2025/6/28,24,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
59,2025/6/29,29,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
60,2025/6/30,23,命中,6.0,5.0,-1.0,180.0,150.0,-30.0
65,2025/7/5,8,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
66,2025/7/6,45,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
67,2025/7/7,15,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
68,2025/7/8,17,未中,4.5,3.5999999999999996,-0.9000000000000004,-67.5,-53.99999999999999,13.500000000000007
69,2025/7/9,18,未中,5.0,6.0,1.0,-75.0,-90.0,-15.0
70,2025/7/10,29,命中,8.0,9.6,1.5999999999999996,240.0,288.0,48.0
71,2025/7/11,45,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
72,2025/7/12,24,命中,1.0,1.2,0.19999999999999996,30.0,36.0,6.0
73,2025/7/13,29,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
74,2025/7/14,25,未中,1.0,1.2,0.19999999999999996,-15.0,-18.0,-3.0
75,2025/7/15,14,未中,2.0,1.0,-1.0,-30.0,-15.0,15.0
76,2025/7/16,34,未中,3.0,1.5,-1.5,-45.0,-22.5,22.5
77,2025/7/17,43,未中,5.0,2.5,-2.5,-75.0,-37.5,37.5
78,2025/7/18,10,未中,8.0,4.0,-4.0,-120.0,-60.0,60.0
79,2025/7/19,47,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
80,2025/7/20,47,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
81,2025/7/21,20,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
82,2025/7/22,18,命中,6.0,5.0,-1.0,180.0,150.0,-30.0
85,2025/7/27,10,命中,1.2,1.0,-0.19999999999999996,36.0,30.0,-6.0
87,2025/7/29,9,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
88,2025/7/30,13,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
89,2025/7/31,15,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
90,2025/8/1,2,未中,4.5,3.5999999999999996,-0.9000000000000004,-67.5,-53.99999999999999,13.500000000000007
91,2025/8/2,18,命中,5.0,6.0,1.0,150.0,180.0,30.0
92,2025/8/3,11,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
93,2025/8/4,15,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
94,2025/8/5,21,未中,2.0,2.4,0.3999999999999999,-30.0,-36.0,-6.0
95,2025/8/6,23,未中,1.7999999999999998,3.5999999999999996,1.7999999999999998,-26.999999999999996,-53.99999999999999,-26.999999999999996
96,2025/8/7,46,未中,3.0,2.5,-0.5,-45.0,-37.5,7.5
97,2025/8/8,23,未中,4.8,4.0,-0.7999999999999998,-72.0,-60.0,12.0
98,2025/8/9,9,命中,6.0,5.0,-1.0,180.0,150.0,-30.0
101,2025/8/12,43,未中,1.2,1.0,-0.19999999999999996,-18.0,-15.0,3.0
102,2025/8/13,25,未中,1.7999999999999998,1.5,-0.2999999999999998,-26.999999999999996,-22.5,4.4999999999999964
103,2025/8/14,16,未中,3.0,2.5,-0.5,-45.0,-37.5,7.5
104,2025/8/15,32,未中,4.8,4.0,-0.7999999999999998,-72.0,-60.0,12.0
105,2025/8/16,31,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
106,2025/8/17,40,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
107,2025/8/18,15,命中,6.0,5.0,-1.0,180.0,150.0,-30.0
111,2025/8/22,42,未中,2.0,1.0,-1.0,-30.0,-15.0,15.0
112,2025/8/23,37,未中,3.0,1.5,-1.5,-45.0,-22.5,22.5
113,2025/8/24,13,命中,5.0,2.5,-2.5,150.0,75.0,-75.0
114,2025/8/25,42,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
115,2025/8/26,39,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
116,2025/8/27,2,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
117,2025/8/28,46,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
118,2025/8/29,4,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
119,2025/8/30,28,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
120,2025/8/31,1,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
121,2025/9/1,34,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
122,2025/9/2,8,命中,1.5,1.2,-0.30000000000000004,45.0,36.0,-9.0
123,2025/9/3,24,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
124,2025/9/4,44,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
125,2025/9/5,6,未中,3.0,2.4,-0.6000000000000001,-45.0,-36.0,9.0
126,2025/9/6,25,命中,4.5,3.5999999999999996,-0.9000000000000004,135.0,107.99999999999997,-27.00000000000003
127,2025/9/7,12,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
128,2025/9/8,35,未中,1.5,1.2,-0.30000000000000004,-22.5,-18.0,4.5
129,2025/9/9,23,未中,2.0,2.4,0.3999999999999999,-30.0,-36.0,-6.0
130,2025/9/10,33,未中,3.0,3.5999999999999996,0.5999999999999996,-45.0,-53.99999999999999,-8.999999999999993
131,2025/9/11,17,未中,3.0,2.5,-0.5,-45.0,-37.5,7.5
132,2025/9/12,42,未中,4.8,4.0,-0.7999999999999998,-72.0,-60.0,12.0
133,2025/9/13,48,未中,6.0,5.0,-1.0,-90.0,-75.0,15.0
134,2025/9/14,28,命中,6.0,5.0,-1.0,180.0,150.0,-30.0
137,2025/9/17,3,未中,1.2,1.0,-0.19999999999999996,-18.0,-15.0,3.0
138,2025/9/18,33,命中,1.7999999999999998,1.5,-0.2999999999999998,53.999999999999986,45.0,-8.999999999999986
141,2025/9/21,43,未中,2.0,1.0,-1.0,-30.0,-15.0,15.0
142,2025/9/22,10,未中,3.0,1.5,-1.5,-45.0,-22.5,22.5
