期数,实际号码,命中,连续失败,Fib档位,倍数,投注额,奖金,本期盈亏,累计余额,最大回撤
1,33,✓,0,0,1,15,47,32,32,0
2,45,✓,0,0,1,15,47,32,64,0
3,10,✗,1,1,1,15,0,-15,49,0
4,49,✗,2,2,1,15,0,-15,34,0
5,2,✗,3,3,2,30,0,-30,4,0
6,49,✗,4,4,3,45,0,-45,-41,41
7,13,✗,5,5,5,75,0,-75,-116,116
8,40,✗,6,6,8,120,0,-120,-236,236
9,23,✓,0,0,13,195,611,416,180,236
10,47,✓,0,0,1,15,47,32,212,236
11,2,✓,0,0,1,15,47,32,244,236
12,10,✓,0,0,1,15,47,32,276,236
13,14,✗,1,1,1,15,0,-15,261,236
14,37,✗,2,2,1,15,0,-15,246,236
15,9,✗,3,3,2,30,0,-30,216,236
16,36,✗,4,4,3,45,0,-45,171,236
17,41,✗,5,5,5,75,0,-75,96,236
18,14,✗,6,6,8,120,0,-120,-24,236
19,11,✗,7,7,13,195,0,-195,-219,236
20,13,✓,0,0,21,315,987,672,453,236
21,44,✗,1,1,1,15,0,-15,438,236
22,10,✓,0,0,1,15,47,32,470,236
23,25,✗,1,1,1,15,0,-15,455,236
24,17,✗,2,2,1,15,0,-15,440,236
25,14,✓,0,0,2,30,94,64,504,236
26,32,✗,1,1,1,15,0,-15,489,236
27,2,✓,0,0,1,15,47,32,521,236
28,41,✓,0,0,1,15,47,32,553,236
29,40,✓,0,0,1,15,47,32,585,236
30,38,✗,1,1,1,15,0,-15,570,236
31,10,✓,0,0,1,15,47,32,602,236
32,43,✗,1,1,1,15,0,-15,587,236
33,26,✗,2,2,1,15,0,-15,572,236
34,45,✗,3,3,2,30,0,-30,542,236
35,18,✗,4,4,3,45,0,-45,497,236
36,23,✓,0,0,5,75,235,160,657,236
37,5,✗,1,1,1,15,0,-15,642,236
38,31,✗,2,2,1,15,0,-15,627,236
39,11,✓,0,0,2,30,94,64,691,236
40,16,✗,1,1,1,15,0,-15,676,236
41,1,✗,2,2,1,15,0,-15,661,236
42,23,✓,0,0,2,30,94,64,725,236
43,13,✓,0,0,1,15,47,32,757,236
44,47,✗,1,1,1,15,0,-15,742,236
45,41,✓,0,0,1,15,47,32,774,236
46,9,✗,1,1,1,15,0,-15,759,236
47,16,✓,0,0,1,15,47,32,791,236
48,7,✗,1,1,1,15,0,-15,776,236
49,33,✗,2,2,1,15,0,-15,761,236
50,47,✓,0,0,2,30,94,64,825,236
51,36,✗,1,1,1,15,0,-15,810,236
52,38,✗,2,2,1,15,0,-15,795,236
53,39,✗,3,3,2,30,0,-30,765,236
54,30,✗,4,4,3,45,0,-45,720,236
55,36,✗,5,5,5,75,0,-75,645,236
56,4,✗,6,6,8,120,0,-120,525,236
57,27,✗,7,7,13,195,0,-195,330,236
58,24,✗,8,8,21,315,0,-315,15,236
59,29,✗,9,9,34,510,0,-510,-495,495
60,23,✓,0,0,55,825,2585,1760,1265,495
61,42,✗,1,1,1,15,0,-15,1250,495
62,33,✓,0,0,1,15,47,32,1282,495
63,28,✗,1,1,1,15,0,-15,1267,495
64,5,✓,0,0,1,15,47,32,1299,495
65,8,✗,1,1,1,15,0,-15,1284,495
66,45,✗,2,2,1,15,0,-15,1269,495
67,15,✗,3,3,2,30,0,-30,1239,495
68,17,✗,4,4,3,45,0,-45,1194,495
69,18,✗,5,5,5,75,0,-75,1119,495
70,29,✓,0,0,8,120,376,256,1375,495
71,45,✗,1,1,1,15,0,-15,1360,495
72,24,✓,0,0,1,15,47,32,1392,495
73,29,✗,1,1,1,15,0,-15,1377,495
74,25,✗,2,2,1,15,0,-15,1362,495
75,14,✗,3,3,2,30,0,-30,1332,495
76,34,✗,4,4,3,45,0,-45,1287,495
77,43,✗,5,5,5,75,0,-75,1212,495
78,10,✗,6,6,8,120,0,-120,1092,495
79,47,✗,7,7,13,195,0,-195,897,495
80,47,✗,8,8,21,315,0,-315,582,495
81,20,✗,9,9,34,510,0,-510,72,495
82,18,✓,0,0,55,825,2585,1760,1832,495
83,30,✗,1,1,1,15,0,-15,1817,495
84,1,✗,2,2,1,15,0,-15,1802,495
85,10,✓,0,0,2,30,94,64,1866,495
86,24,✓,0,0,1,15,47,32,1898,495
87,9,✗,1,1,1,15,0,-15,1883,495
88,13,✗,2,2,1,15,0,-15,1868,495
89,15,✗,3,3,2,30,0,-30,1838,495
90,2,✗,4,4,3,45,0,-45,1793,495
91,18,✓,0,0,5,75,235,160,1953,495
92,11,✗,1,1,1,15,0,-15,1938,495
93,15,✗,2,2,1,15,0,-15,1923,495
94,21,✗,3,3,2,30,0,-30,1893,495
95,23,✗,4,4,3,45,0,-45,1848,495
96,46,✗,5,5,5,75,0,-75,1773,495
97,23,✗,6,6,8,120,0,-120,1653,495
98,9,✓,0,0,13,195,611,416,2069,495
99,8,✗,1,1,1,15,0,-15,2054,495
100,8,✗,2,2,1,15,0,-15,2039,495
101,43,✗,3,3,2,30,0,-30,2009,495
102,25,✗,4,4,3,45,0,-45,1964,495
103,16,✗,5,5,5,75,0,-75,1889,495
104,32,✗,6,6,8,120,0,-120,1769,495
105,31,✗,7,7,13,195,0,-195,1574,495
106,40,✗,8,8,21,315,0,-315,1259,495
107,15,✓,0,0,34,510,1598,1088,2347,495
108,2,✓,0,0,1,15,47,32,2379,495
109,39,✗,1,1,1,15,0,-15,2364,495
110,38,✗,2,2,1,15,0,-15,2349,495
111,42,✗,3,3,2,30,0,-30,2319,495
112,37,✗,4,4,3,45,0,-45,2274,495
113,13,✓,0,0,5,75,235,160,2434,495
114,42,✗,1,1,1,15,0,-15,2419,495
115,39,✓,0,0,1,15,47,32,2451,495
116,2,✓,0,0,1,15,47,32,2483,495
117,46,✗,1,1,1,15,0,-15,2468,495
118,4,✓,0,0,1,15,47,32,2500,495
119,28,✗,1,1,1,15,0,-15,2485,495
120,1,✓,0,0,1,15,47,32,2517,495
121,34,✗,1,1,1,15,0,-15,2502,495
122,8,✓,0,0,1,15,47,32,2534,495
123,24,✗,1,1,1,15,0,-15,2519,495
124,44,✗,2,2,1,15,0,-15,2504,495
125,6,✗,3,3,2,30,0,-30,2474,495
126,25,✓,0,0,3,45,141,96,2570,495
127,12,✗,1,1,1,15,0,-15,2555,495
128,35,✗,2,2,1,15,0,-15,2540,495
129,23,✗,3,3,2,30,0,-30,2510,495
130,33,✗,4,4,3,45,0,-45,2465,495
131,17,✗,5,5,5,75,0,-75,2390,495
132,42,✗,6,6,8,120,0,-120,2270,495
133,48,✗,7,7,13,195,0,-195,2075,495
134,28,✓,0,0,21,315,987,672,2747,495
135,38,✗,1,1,1,15,0,-15,2732,495
