期数,实际号码,命中,连续失败,Fib档位,倍数,达到限制,投注额,奖金,本期盈亏,累计余额,最大回撤
1,33,✓,0,0,1,,15,47,32,32,0
2,45,✓,0,0,1,,15,47,32,64,0
3,10,✗,1,1,1,,15,0,-15,49,0
4,49,✗,2,2,1,,15,0,-15,34,0
5,2,✗,3,3,2,,30,0,-30,4,0
6,49,✗,4,4,3,,45,0,-45,-41,41
7,13,✗,5,5,5,,75,0,-75,-116,116
8,40,✗,6,6,8,,120,0,-120,-236,236
9,23,✓,0,0,10,⚠,150,470,320,84,236
10,47,✓,0,0,1,,15,47,32,116,236
11,2,✓,0,0,1,,15,47,32,148,236
12,10,✓,0,0,1,,15,47,32,180,236
13,14,✗,1,1,1,,15,0,-15,165,236
14,37,✗,2,2,1,,15,0,-15,150,236
15,9,✗,3,3,2,,30,0,-30,120,236
16,36,✗,4,4,3,,45,0,-45,75,236
17,41,✗,5,5,5,,75,0,-75,0,236
18,14,✗,6,6,8,,120,0,-120,-120,236
19,11,✗,7,7,10,⚠,150,0,-150,-270,270
20,13,✓,0,0,10,⚠,150,470,320,50,270
21,44,✗,1,1,1,,15,0,-15,35,270
22,10,✓,0,0,1,,15,47,32,67,270
23,25,✗,1,1,1,,15,0,-15,52,270
24,17,✗,2,2,1,,15,0,-15,37,270
25,14,✓,0,0,2,,30,94,64,101,270
26,32,✗,1,1,1,,15,0,-15,86,270
27,2,✓,0,0,1,,15,47,32,118,270
28,41,✓,0,0,1,,15,47,32,150,270
29,40,✓,0,0,1,,15,47,32,182,270
30,38,✗,1,1,1,,15,0,-15,167,270
31,10,✓,0,0,1,,15,47,32,199,270
32,43,✗,1,1,1,,15,0,-15,184,270
33,26,✗,2,2,1,,15,0,-15,169,270
34,45,✗,3,3,2,,30,0,-30,139,270
35,18,✗,4,4,3,,45,0,-45,94,270
36,23,✓,0,0,5,,75,235,160,254,270
37,5,✗,1,1,1,,15,0,-15,239,270
38,31,✗,2,2,1,,15,0,-15,224,270
39,11,✓,0,0,2,,30,94,64,288,270
40,16,✗,1,1,1,,15,0,-15,273,270
41,1,✗,2,2,1,,15,0,-15,258,270
42,23,✓,0,0,2,,30,94,64,322,270
43,13,✓,0,0,1,,15,47,32,354,270
44,47,✗,1,1,1,,15,0,-15,339,270
45,41,✓,0,0,1,,15,47,32,371,270
46,9,✗,1,1,1,,15,0,-15,356,270
47,16,✓,0,0,1,,15,47,32,388,270
48,7,✗,1,1,1,,15,0,-15,373,270
49,33,✗,2,2,1,,15,0,-15,358,270
50,47,✓,0,0,2,,30,94,64,422,270
51,36,✗,1,1,1,,15,0,-15,407,270
52,38,✗,2,2,1,,15,0,-15,392,270
53,39,✗,3,3,2,,30,0,-30,362,270
54,30,✗,4,4,3,,45,0,-45,317,270
55,36,✗,5,5,5,,75,0,-75,242,270
56,4,✗,6,6,8,,120,0,-120,122,270
57,27,✗,7,7,10,⚠,150,0,-150,-28,270
58,24,✗,8,8,10,⚠,150,0,-150,-178,270
59,29,✗,9,9,10,⚠,150,0,-150,-328,328
60,23,✓,0,0,10,⚠,150,470,320,-8,328
61,42,✗,1,1,1,,15,0,-15,-23,328
62,33,✓,0,0,1,,15,47,32,9,328
63,28,✗,1,1,1,,15,0,-15,-6,328
64,5,✓,0,0,1,,15,47,32,26,328
65,8,✗,1,1,1,,15,0,-15,11,328
66,45,✗,2,2,1,,15,0,-15,-4,328
67,15,✗,3,3,2,,30,0,-30,-34,328
68,17,✗,4,4,3,,45,0,-45,-79,328
69,18,✗,5,5,5,,75,0,-75,-154,328
70,29,✓,0,0,8,,120,376,256,102,328
71,45,✗,1,1,1,,15,0,-15,87,328
72,24,✓,0,0,1,,15,47,32,119,328
73,29,✗,1,1,1,,15,0,-15,104,328
74,25,✗,2,2,1,,15,0,-15,89,328
75,14,✗,3,3,2,,30,0,-30,59,328
76,34,✗,4,4,3,,45,0,-45,14,328
77,43,✗,5,5,5,,75,0,-75,-61,328
78,10,✗,6,6,8,,120,0,-120,-181,328
79,47,✗,7,7,10,⚠,150,0,-150,-331,331
80,47,✗,8,8,10,⚠,150,0,-150,-481,481
81,20,✗,9,9,10,⚠,150,0,-150,-631,631
82,18,✓,0,0,10,⚠,150,470,320,-311,631
83,30,✗,1,1,1,,15,0,-15,-326,631
84,1,✗,2,2,1,,15,0,-15,-341,631
85,10,✓,0,0,2,,30,94,64,-277,631
86,24,✓,0,0,1,,15,47,32,-245,631
87,9,✗,1,1,1,,15,0,-15,-260,631
88,13,✗,2,2,1,,15,0,-15,-275,631
89,15,✗,3,3,2,,30,0,-30,-305,631
90,2,✗,4,4,3,,45,0,-45,-350,631
91,18,✓,0,0,5,,75,235,160,-190,631
92,11,✗,1,1,1,,15,0,-15,-205,631
93,15,✗,2,2,1,,15,0,-15,-220,631
94,21,✗,3,3,2,,30,0,-30,-250,631
95,23,✗,4,4,3,,45,0,-45,-295,631
96,46,✗,5,5,5,,75,0,-75,-370,631
97,23,✗,6,6,8,,120,0,-120,-490,631
98,9,✓,0,0,10,⚠,150,470,320,-170,631
99,8,✗,1,1,1,,15,0,-15,-185,631
100,8,✗,2,2,1,,15,0,-15,-200,631
101,43,✗,3,3,2,,30,0,-30,-230,631
102,25,✗,4,4,3,,45,0,-45,-275,631
103,16,✗,5,5,5,,75,0,-75,-350,631
104,32,✗,6,6,8,,120,0,-120,-470,631
105,31,✗,7,7,10,⚠,150,0,-150,-620,631
106,40,✗,8,8,10,⚠,150,0,-150,-770,770
107,15,✓,0,0,10,⚠,150,470,320,-450,770
108,2,✓,0,0,1,,15,47,32,-418,770
109,39,✗,1,1,1,,15,0,-15,-433,770
110,38,✗,2,2,1,,15,0,-15,-448,770
111,42,✗,3,3,2,,30,0,-30,-478,770
112,37,✗,4,4,3,,45,0,-45,-523,770
113,13,✓,0,0,5,,75,235,160,-363,770
114,42,✗,1,1,1,,15,0,-15,-378,770
115,39,✓,0,0,1,,15,47,32,-346,770
116,2,✓,0,0,1,,15,47,32,-314,770
117,46,✗,1,1,1,,15,0,-15,-329,770
118,4,✓,0,0,1,,15,47,32,-297,770
119,28,✗,1,1,1,,15,0,-15,-312,770
120,1,✓,0,0,1,,15,47,32,-280,770
121,34,✗,1,1,1,,15,0,-15,-295,770
122,8,✓,0,0,1,,15,47,32,-263,770
123,24,✗,1,1,1,,15,0,-15,-278,770
124,44,✗,2,2,1,,15,0,-15,-293,770
125,6,✗,3,3,2,,30,0,-30,-323,770
126,25,✓,0,0,3,,45,141,96,-227,770
127,12,✗,1,1,1,,15,0,-15,-242,770
128,35,✗,2,2,1,,15,0,-15,-257,770
