period,predicted,actual,is_hit,consecutive_misses,cost,reward,profit,cumulative_profit
90,"牛,猪,蛇,兔",马,否,1,60,0,-60,-60
91,"牛,蛇,猪,龙",鸡,否,2,60,0,-60,-120
92,"牛,蛇,猪,兔",鸡,否,3,60,0,-60,-180
93,"牛,蛇,猪,马",猴,否,4,60,0,-60,-240
94,"牛,蛇,猪,马",蛇,是,0,60,45,-15,-255
95,"牛,猪,马,狗",龙,否,1,60,0,-60,-315
96,"牛,猪,马,鸡",蛇,否,2,60,0,-60,-375
97,"牛,猪,马,狗",蛇,否,3,60,0,-60,-435
98,"牛,猪,马,虎",虎,是,0,60,45,-15,-450
99,"牛,猪,鸡,蛇",羊,否,1,60,0,-60,-510
100,"牛,猪,鸡,狗",羊,否,2,60,0,-60,-570
101,"牛,猪,狗,鼠",龙,否,3,60,0,-60,-630
102,"牛,猪,狗,鼠",猴,否,4,60,0,-60,-690
103,"牛,猪,虎,狗",龙,否,5,60,0,-60,-750
104,"牛,猪,狗,马",蛇,否,6,60,0,-60,-810
105,"牛,猪,狗,马",鸡,否,7,60,0,-60,-870
106,"牛,鼠,猪,狗",马,否,8,60,0,-60,-930
107,"牛,鼠,猪,狗",牛,是,0,60,45,-15,-945
108,"鼠,猪,狗,蛇",龙,否,1,60,0,-60,-1005
109,"猪,鼠,狗,蛇",羊,否,2,60,0,-60,-1065
110,"猪,龙,鼠,蛇",蛇,是,0,60,45,-15,-1080
111,"猪,龙,鼠,羊",狗,否,1,60,0,-60,-1140
112,"牛,猪,龙,鼠",猴,否,2,60,0,-60,-1200
113,"牛,猪,龙,鼠",蛇,否,3,60,0,-60,-1260
114,"猪,蛇,牛,鼠",牛,是,0,60,45,-15,-1275
115,"猪,龙,鼠,蛇",龙,是,0,60,45,-15,-1290
116,"猪,蛇,鼠,猴",狗,否,1,60,0,-60,-1350
117,"蛇,猪,牛,虎",龙,否,2,60,0,-60,-1410
118,"牛,猪,蛇,虎",牛,是,0,60,45,-15,-1425
119,"猪,蛇,虎,鼠",虎,是,0,60,45,-15,-1440
120,"龙,鼠,猪,牛",龙,是,0,60,45,-15,-1455
121,"鼠,猪,牛,狗",猴,否,1,60,0,-60,-1515
122,"鼠,猪,狗,龙",猪,是,0,60,45,-15,-1530
123,"狗,龙,鼠,牛",龙,是,0,60,45,-15,-1545
124,"鼠,狗,龙,牛",鸡,否,1,60,0,-60,-1605
125,"鼠,狗,龙,牛",鼠,是,0,60,45,-15,-1620
126,"龙,狗,猪,牛",羊,否,1,60,0,-60,-1680
127,"龙,猪,狗,兔",牛,否,2,60,0,-60,-1740
128,"鼠,龙,猪,兔",猪,是,0,60,45,-15,-1755
129,"鼠,兔,龙,狗",羊,否,1,60,0,-60,-1815
130,"兔,龙,狗,鼠",虎,否,2,60,0,-60,-1875
131,"兔,龙,猪,鼠",蛇,否,3,60,0,-60,-1935
132,"兔,猪,鼠,羊",羊,是,0,60,45,-15,-1950
133,"兔,鼠,猪,羊",蛇,否,1,60,0,-60,-2010
134,"兔,猪,虎,羊",羊,是,0,60,45,-15,-2025
135,"兔,猪,羊,狗", 牛,否,1,60,0,-60,-2085
136,"兔,鼠,猪,羊",鸡,否,2,60,0,-60,-2145
137,"兔,猪,鼠,羊",虎,否,3,60,0,-60,-2205
138,"兔,鼠,羊,马",猪,否,4,60,0,-60,-2265
139,"兔,鼠,马,羊",鸡,否,5,60,0,-60,-2325
140,"兔,鼠,羊,马",羊,是,0,60,45,-15,-2340
141,"兔,马,鼠,羊",马,是,0,60,45,-15,-2355
142,"兔,狗,鼠,羊",龙,否,1,60,0,-60,-2415
143,"兔,羊,鼠,狗",兔,是,0,60,45,-15,-2430
144,"鼠,马,羊,狗",鼠,是,0,60,45,-15,-2445
145,"狗,羊,猴,马",马,是,0,60,45,-15,-2460
146,"狗,兔,羊,猴",虎,否,1,60,0,-60,-2520
147,"狗,兔,羊,猴",兔,是,0,60,45,-15,-2535
148,"狗,马,猴,羊",马,是,0,60,45,-15,-2550
149,"狗,马,兔,鼠",牛,否,1,60,0,-60,-2610
150,"狗,兔,鼠,猴",羊,否,2,60,0,-60,-2670
151,"狗,兔,鼠,猴",鼠,是,0,60,45,-15,-2685
152,"兔,狗,猴,马",鸡,否,1,60,0,-60,-2745
153,"猴,兔,狗,猪",虎,否,2,60,0,-60,-2805
154,"猴,狗,兔,马",牛,否,3,60,0,-60,-2865
155,"猴,狗,兔,马",狗,是,0,60,45,-15,-2880
156,"猴,鼠,马,猪",鸡,否,1,60,0,-60,-2940
157,"猴,鼠,牛,猪",兔,否,2,60,0,-60,-3000
158,"猴,鼠,牛,猪",牛,是,0,60,45,-15,-3015
159,"猴,猪,鼠,牛",鼠,是,0,60,45,-15,-3030
160,"猴,猪,牛,兔",牛,是,0,60,45,-15,-3045
161,"猴,猪,蛇,牛",鸡,否,1,60,0,-60,-3105
162,"猴,牛,猪,蛇",马,否,2,60,0,-60,-3165
163,"猴,牛,猪,蛇",牛,是,0,60,45,-15,-3180
164,"蛇,猴,鸡,猪",蛇,是,0,60,45,-15,-3195
165,"猴,猪,牛,狗",龙,否,1,60,0,-60,-3255
166,"猴,牛,猪,狗",猴,是,0,60,45,-15,-3270
167,"狗,猪,蛇,牛",猪,是,0,60,45,-15,-3285
168,"狗,蛇,牛,龙",猴,否,1,60,0,-60,-3345
169,"狗,牛,蛇,猴",羊,否,2,60,0,-60,-3405
170,"狗,蛇,牛,猴",羊,否,3,60,0,-60,-3465
171,"狗,蛇,牛,猴",狗,是,0,60,45,-15,-3480
172,"猴,龙,蛇,牛",鼠,否,1,60,0,-60,-3540
173,"猴,龙,羊,狗",鼠,否,2,60,0,-60,-3600
174,"猴,兔,龙,狗",蛇,否,3,60,0,-60,-3660
175,"猴,龙,狗,兔",猴,是,0,60,45,-15,-3675
176,"龙,兔,虎,猴",马,否,1,60,0,-60,-3735
177,"龙,猴,兔,虎",鸡,否,2,60,0,-60,-3795
178,"龙,兔,猴,虎",蛇,否,3,60,0,-60,-3855
179,"龙,兔,猴,猪",兔,是,0,60,45,-15,-3870
180,"猪,龙,猴,虎",龙,是,0,60,45,-15,-3885
181,"猪,虎,猴,狗",鼠,否,1,60,0,-60,-3945
182,"猪,虎,狗,猴",羊,否,2,60,0,-60,-4005
183,"猪,虎,狗,兔",兔,是,0,60,45,-15,-4020
184,"猪,虎,狗,牛",鸡,否,1,60,0,-60,-4080
185,"猪,虎,狗,牛",羊,否,2,60,0,-60,-4140
186,"猪,狗,虎,鼠",猴,否,3,60,0,-60,-4200
187,"狗,虎,猪,鼠",羊,否,4,60,0,-60,-4260
188,"猪,虎,狗,兔",鸡,否,5,60,0,-60,-4320
189,"猪,虎,狗,羊",狗,是,0,60,45,-15,-4335
190,"猪,虎,羊,兔",狗,否,1,60,0,-60,-4395
191,"猪,虎,羊,兔",猪,是,0,60,45,-15,-4410
192,"虎,羊,龙,马",蛇,否,1,60,0,-60,-4470
193,"虎,龙,羊,马",虎,是,0,60,45,-15,-4485
194,"龙,羊,猪,马",狗,否,1,60,0,-60,-4545
195,"龙,羊,猪,马",猪,是,0,60,45,-15,-4560
196,"龙,马,狗,猪",虎,否,1,60,0,-60,-4620
197,"龙,马,狗,猪",兔,否,2,60,0,-60,-4680
198,"猪,龙,马,虎",龙,是,0,60,45,-15,-4695
199,"虎,马,猪,狗",兔,否,1,60,0,-60,-4755
200,"马,虎,猪,牛",龙,否,2,60,0,-60,-4815
201,"马,牛,猴,虎",鼠,否,3,60,0,-60,-4875
202,"马,牛,猴,猪",蛇,否,4,60,0,-60,-4935
203,"马,牛,猴,猪",蛇,否,5,60,0,-60,-4995
204,"马,牛,虎,兔",鼠,否,6,60,0,-60,-5055
205,"马,牛,猴,虎",兔,否,7,60,0,-60,-5115
206,"马,牛,蛇,虎",龙,否,8,60,0,-60,-5175
