period,predictor_used,predicted,actual,is_hit,consecutive_misses,cost,reward,profit,cumulative_profit
90,集成择优-retrained,"牛,猪,蛇,马",马,是,0,60,45,-15,-15
91,集成择优-retrained,"牛,蛇,猪,龙",鸡,否,1,60,0,-60,-75
92,集成择优-retrained,"牛,蛇,猪,虎",鸡,否,2,60,0,-60,-135
93,集成择优-retrained,"牛,蛇,猪,虎",猴,否,3,60,0,-60,-195
94,集成择优-retrained,"牛,蛇,猪,虎",蛇,是,0,60,45,-15,-210
95,集成择优-retrained,"牛,猪,狗,虎",龙,否,1,60,0,-60,-270
96,集成择优-retrained,"牛,猪,狗,虎",蛇,否,2,60,0,-60,-330
97,集成择优-retrained,"牛,猪,狗,虎",蛇,否,3,60,0,-60,-390
98,集成择优-retrained,"牛,猪,狗,马",虎,否,4,60,0,-60,-450
99,集成择优-retrained,"牛,猪,狗,鸡",羊,否,5,60,0,-60,-510
100,集成择优-retrained,"牛,猪,狗,鼠",羊,否,6,60,0,-60,-570
101,集成择优-adaptive,"蛇,羊,鸡,龙",龙,是,0,60,45,-15,-585
102,集成择优-adaptive,"蛇,龙,羊,虎",猴,否,1,60,0,-60,-645
103,集成择优-adaptive,"蛇,龙,羊,虎",龙,是,0,60,45,-15,-660
104,集成择优-adaptive,"蛇,羊,龙,虎",蛇,是,0,60,45,-15,-675
105,集成择优-adaptive,"龙,羊,蛇,猴",鸡,否,1,60,0,-60,-735
106,集成择优-adaptive,"龙,蛇,羊,猴",马,否,2,60,0,-60,-795
107,集成择优-adaptive,"龙,蛇,羊,猴",牛,否,3,60,0,-60,-855
108,集成择优-adaptive,"龙,蛇,羊,猴",龙,是,0,60,45,-15,-870
109,集成择优-adaptive,"蛇,龙,羊,鸡",羊,是,0,60,45,-15,-885
110,集成择优-adaptive,"龙,蛇,羊,鸡",蛇,是,0,60,45,-15,-900
111,集成择优-adaptive,"龙,羊,蛇,鸡",狗,否,1,60,0,-60,-960
112,集成择优-adaptive,"龙,蛇,羊,牛",猴,否,2,60,0,-60,-1020
113,集成择优-adaptive,"龙,蛇,羊,牛",蛇,是,0,60,45,-15,-1035
114,集成择优-adaptive,"蛇,龙,羊,猴",牛,否,1,60,0,-60,-1095
115,集成择优-adaptive,"龙,蛇,羊,猴",龙,是,0,60,45,-15,-1110
116,集成择优-adaptive,"蛇,猴,龙,牛",狗,否,1,60,0,-60,-1170
117,集成择优-adaptive,"蛇,龙,牛,猴",龙,是,0,60,45,-15,-1185
118,集成择优-adaptive,"蛇,龙,牛,狗",牛,是,0,60,45,-15,-1200
119,集成择优-adaptive,"蛇,龙,狗,牛",虎,否,1,60,0,-60,-1260
120,集成择优-adaptive,"龙,牛,蛇,狗",龙,是,0,60,45,-15,-1275
121,集成择优-adaptive,"牛,龙,狗,蛇",猴,否,1,60,0,-60,-1335
122,集成择优-adaptive,"龙,牛,狗,蛇",猪,否,2,60,0,-60,-1395
123,集成择优-adaptive,"龙,牛,狗,蛇",龙,是,0,60,45,-15,-1410
124,集成择优-adaptive,"龙,牛,猴,狗",鸡,否,1,60,0,-60,-1470
125,集成择优-adaptive,"龙,牛,猴,狗",鼠,否,2,60,0,-60,-1530
126,集成择优-adaptive,"龙,牛,猴,狗",羊,否,3,60,0,-60,-1590
127,集成择优-adaptive,"龙,猴,牛,虎",牛,是,0,60,45,-15,-1605
128,集成择优-adaptive,"龙,牛,鼠,猴",猪,否,1,60,0,-60,-1665
129,集成择优-adaptive,"龙,牛,猪,鼠",羊,否,2,60,0,-60,-1725
130,集成择优-adaptive,"龙,牛,猪,羊",虎,否,3,60,0,-60,-1785
131,集成择优-adaptive,"龙,猪,牛,羊",蛇,否,4,60,0,-60,-1845
132,集成择优-retrained,"兔,马,鼠,狗",羊,否,5,60,0,-60,-1905
133,集成择优-retrained,"兔,马,鼠,狗",蛇,否,6,60,0,-60,-1965
134,集成择优-retrained,"兔,马,猴,狗",羊,否,7,60,0,-60,-2025
135,集成择优-retrained,"兔,马,猴,狗", 牛,否,8,60,0,-60,-2085
136,集成择优-adaptive,"羊,蛇,猪,虎",鸡,否,9,60,0,-60,-2145
137,集成择优-adaptive,"羊,蛇,猪,虎",虎,是,0,60,45,-15,-2160
138,集成择优-adaptive,"羊,蛇,虎,鸡",猪,否,1,60,0,-60,-2220
139,集成择优-adaptive,"羊,蛇,虎,鸡",鸡,是,0,60,45,-15,-2235
140,集成择优-adaptive,"羊,虎,蛇,鸡",羊,是,0,60,45,-15,-2250
141,集成择优-adaptive,"羊,蛇,鸡,猪",马,否,1,60,0,-60,-2310
142,集成择优-adaptive,"羊,鸡,猪,虎",龙,否,2,60,0,-60,-2370
143,集成择优-adaptive,"羊,鸡,虎,猪",兔,否,3,60,0,-60,-2430
144,集成择优-adaptive,"羊,鸡,虎,马",鼠,否,4,60,0,-60,-2490
