period,date,actual_number,actual_animal,top4_prediction,is_hit,consecutive_wins,consecutive_losses,bet_amount,profit,cumulative_profit,balance
1,2025/7/22,18,鼠,"蛇, 虎, 猪, 兔",否,0,1,320,-320,-320,-320
2,2025/7/25,30,鼠,"蛇, 猪, 龙, 虎",否,0,2,320,-320,-640,-640
3,2025/7/26,1,蛇,"蛇, 猪, 龙, 兔",是,1,0,320,620,-20,-20
4,2025/7/27,10,猴,"猪, 虎, 龙, 兔",否,0,1,320,-320,-340,-340
5,2025/7/28,24,马,"猪, 龙, 兔, 虎",否,0,2,320,-320,-660,-660
6,2025/7/29,9,鸡,"龙, 虎, 猪, 兔",否,0,3,320,-320,-980,-980
7,2025/7/30,13,蛇,"兔, 虎, 龙, 狗",否,0,4,320,-320,-1300,-1300
8,2025/7/31,15,兔,"兔, 龙, 虎, 猪",是,1,0,320,620,-680,-680
9,2025/8/1,2,龙,"虎, 猪, 龙, 狗",是,2,0,320,620,-60,-60
10,2025/8/2,18,鼠,"虎, 猪, 狗, 羊",否,0,1,320,-320,-380,-380
11,2025/8/3,11,羊,"猪, 虎, 狗, 马",否,0,2,320,-320,-700,-700
12,2025/8/4,15,兔,"猪, 虎, 狗, 兔",是,1,0,320,620,-80,-80
13,2025/8/5,21,鸡,"猪, 狗, 虎, 猴",否,0,1,320,-320,-400,-400
14,2025/8/6,23,羊,"猪, 虎, 狗, 龙",否,0,2,320,-320,-720,-720
15,2025/8/7,46,猴,"虎, 狗, 猪, 龙",否,0,3,320,-320,-1040,-1040
16,2025/8/8,23,羊,"虎, 狗, 猪, 龙",否,0,4,320,-320,-1360,-1360
17,2025/8/9,9,鸡,"虎, 猪, 狗, 龙",否,0,5,320,-320,-1680,-1680
18,2025/8/10,8,狗,"猪, 虎, 狗, 牛",是,1,0,320,620,-1060,-1060
19,2025/8/11,8,狗,"虎, 猪, 牛, 马",否,0,1,320,-320,-1380,-1380
20,2025/8/12,43,猪,"虎, 猪, 龙, 马",是,1,0,320,620,-760,-760
21,2025/8/13,25,蛇,"虎, 马, 牛, 龙",否,0,1,320,-320,-1080,-1080
22,2025/8/14,16,虎,"虎, 马, 龙, 牛",是,1,0,320,620,-460,-460
23,2025/8/15,32,狗,"牛, 马, 龙, 猪",否,0,1,320,-320,-780,-780
24,2025/8/16,31,猪,"牛, 马, 龙, 猪",是,1,0,320,620,-160,-160
25,2025/8/17,40,虎,"牛, 龙, 马, 虎",是,2,0,320,620,460,460
26,2025/8/18,15,兔,"牛, 马, 龙, 兔",是,3,0,320,620,1080,1080
27,2025/8/19,2,龙,"牛, 马, 龙, 鼠",是,4,0,320,620,1700,1700
28,2025/8/20,39,兔,"牛, 马, 猴, 虎",否,0,1,320,-320,1380,1380
29,2025/8/21,38,龙,"牛, 马, 猴, 虎",否,0,2,320,-320,1060,1060
30,2025/8/22,42,鼠,"牛, 马, 猴, 猪",否,0,3,320,-320,740,740
31,2025/8/23,37,蛇,"牛, 马, 猴, 虎",否,0,4,320,-320,420,420
32,2025/8/24,13,蛇,"牛, 马, 猴, 虎",否,0,5,320,-320,100,100
33,2025/8/25,42,鼠,"牛, 马, 猴, 猪",否,0,6,320,-320,-220,-220
34,2025/8/26,39,兔,"牛, 马, 猴, 猪",否,0,7,320,-320,-540,-540
35,2025/8/27,2,龙,"牛, 马, 猴, 虎",否,0,8,320,-320,-860,-860
36,2025/8/28,46,猴,"牛, 马, 虎, 猴",是,1,0,320,620,-240,-240
37,2025/8/29,4,虎,"牛, 马, 猪, 鸡",否,0,1,320,-320,-560,-560
38,2025/8/30,28,虎,"牛, 马, 猪, 鸡",否,0,2,320,-320,-880,-880
39,2025/8/31,1,蛇,"牛, 马, 鸡, 猪",否,0,3,320,-320,-1200,-1200
40,2025/9/1,34,猴,"马, 牛, 猪, 鸡",否,0,4,320,-320,-1520,-1520
41,2025/9/2,8,狗,"牛, 马, 猪, 鸡",否,0,5,320,-320,-1840,-1840
42,2025/9/3,24,马,"牛, 马, 鸡, 猪",是,1,0,320,620,-1220,-1220
43,2025/9/4,44,狗,"牛, 羊, 猪, 鸡",否,0,1,320,-320,-1540,-1540
44,2025/9/5,6,鼠,"牛, 鸡, 猪, 羊",否,0,2,320,-320,-1860,-1860
45,2025/9/6,25,蛇,"牛, 猪, 羊, 鸡",否,0,3,320,-320,-2180,-2180
46,2025/9/7,12,马,"牛, 猪, 鸡, 羊",否,0,4,320,-320,-2500,-2500
47,2025/9/8,35,羊,"牛, 鸡, 羊, 猪",是,1,0,320,620,-1880,-1880
48,2025/9/9,23,羊,"牛, 鸡, 猪, 猴",否,0,1,320,-320,-2200,-2200
49,2025/9/10,33,鸡,"牛, 鸡, 猪, 猴",是,1,0,320,620,-1580,-1580
50,2025/9/11,17,牛,"牛, 猪, 兔, 猴",是,2,0,320,620,-960,-960
51,2025/9/12,42,鼠,"猪, 猴, 兔, 牛",否,0,1,320,-320,-1280,-1280
52,2025/9/13,48,马,"猪, 马, 鸡, 猴",是,1,0,320,620,-660,-660
53,2025/9/14,28,虎,"猪, 牛, 猴, 鸡",否,0,1,320,-320,-980,-980
54,2025/9/15,38,龙,"猪, 牛, 鸡, 猴",否,0,2,320,-320,-1300,-1300
55,2025/9/16,47,羊,"猪, 牛, 鸡, 猴",否,0,3,320,-320,-1620,-1620
56,2025/9/17,3,兔,"猪, 牛, 鸡, 猴",否,0,4,320,-320,-1940,-1940
57,2025/9/18,33,鸡,"猪, 牛, 鸡, 猴",是,1,0,320,620,-1320,-1320
58,2025/9/19,44,狗,"猪, 牛, 猴, 狗",是,2,0,320,620,-700,-700
59,2025/9/20,38,龙,"猪, 牛, 猴, 兔",否,0,1,320,-320,-1020,-1020
60,2025/9/21,43,猪,"猪, 牛, 猴, 兔",是,1,0,320,620,-400,-400
61,2025/9/22,10,猴,"猴, 牛, 鸡, 兔",是,2,0,320,620,220,220
62,2025/9/23,41,牛,"牛, 兔, 蛇, 鸡",是,3,0,320,620,840,840
63,2025/9/24,29,牛,"猪, 蛇, 鸡, 马",否,0,1,320,-320,520,520
64,2025/9/25,10,猴,"猪, 蛇, 鼠, 马",否,0,2,320,-320,200,200
65,2025/9/26,31,猪,"猪, 鼠, 兔, 鸡",是,1,0,320,620,820,820
66,2025/9/27,35,羊,"蛇, 兔, 鼠, 鸡",否,0,1,320,-320,500,500
67,2025/9/28,6,鼠,"鼠, 蛇, 兔, 鸡",是,1,0,320,620,1120,1120
68,2025/9/29,36,马,"蛇, 兔, 虎, 鸡",否,0,1,320,-320,800,800
69,2025/9/30,4,虎,"兔, 虎, 蛇, 鸡",是,1,0,320,620,1420,1420
70,2025/10/1,44,狗,"兔, 鸡, 蛇, 龙",否,0,1,320,-320,1100,1100
71,2025/10/2,45,鸡,"兔, 鸡, 蛇, 龙",是,1,0,320,620,1720,1720
72,2025/10/3,9,鸡,"兔, 蛇, 龙, 猪",否,0,1,320,-320,1400,1400
73,2025/10/4,16,虎,"兔, 蛇, 龙, 猪",否,0,2,320,-320,1080,1080
74,2025/10/5,28,虎,"兔, 蛇, 龙, 猪",否,0,3,320,-320,760,760
75,2025/10/6,27,兔,"兔, 蛇, 龙, 鼠",是,1,0,320,620,1380,1380
76,2025/10/7,42,鼠,"蛇, 龙, 鼠, 猴",是,2,0,320,620,2000,2000
77,2025/10/8,47,羊,"蛇, 龙, 猴, 马",否,0,1,320,-320,1680,1680
78,2025/10/9,41,牛,"蛇, 龙, 猪, 猴",否,0,2,320,-320,1360,1360
79,2025/10/10,45,鸡,"蛇, 龙, 猪, 猴",否,0,3,320,-320,1040,1040
80,2025/10/11,41,牛,"蛇, 龙, 猴, 猪",否,0,4,320,-320,720,720
81,2025/10/12,24,马,"蛇, 龙, 猪, 马",是,1,0,320,620,1340,1340
82,2025/10/13,3,兔,"蛇, 猴, 龙, 猪",否,0,1,320,-320,1020,1020
83,2025/10/14,34,猴,"蛇, 猴, 龙, 猪",是,1,0,320,620,1640,1640
84,2025/10/15,14,龙,"蛇, 狗, 猪, 龙",是,2,0,320,620,2260,2260
85,2025/10/16,42,鼠,"蛇, 猪, 狗, 鼠",是,3,0,320,620,2880,2880
86,2025/10/17,19,猪,"蛇, 猪, 狗, 羊",是,4,0,320,620,3500,3500
87,2025/10/18,44,狗,"蛇, 狗, 羊, 马",是,5,0,320,620,4120,4120
88,2025/10/19,2,龙,"蛇, 龙, 兔, 马",是,6,0,320,620,4740,4740
89,2025/10/20,47,羊,"蛇, 马, 羊, 兔",是,7,0,320,620,5360,5360
90,2025/10/21,18,鼠,"蛇, 马, 兔, 猴",否,0,1,320,-320,5040,5040
91,2025/10/22,5,牛,"蛇, 马, 猪, 兔",否,0,2,320,-320,4720,4720
92,2025/10/23,22,猴,"蛇, 猪, 猴, 兔",是,1,0,320,620,5340,5340
93,2025/10/24,44,狗,"蛇, 猪, 马, 狗",是,2,0,320,620,5960,5960
94,2025/10/25,23,羊,"蛇, 马, 猪, 兔",否,0,1,320,-320,5640,5640
95,2025/10/26,49,蛇,"蛇, 马, 兔, 猪",是,1,0,320,620,6260,6260
96,2025/10/27,40,虎,"猪, 兔, 马, 猴",否,0,1,320,-320,5940,5940
97,2025/10/28,5,牛,"猪, 兔, 马, 龙",否,0,2,320,-320,5620,5620
98,2025/10/29,22,猴,"猪, 兔, 蛇, 马",否,0,3,320,-320,5300,5300
99,2025/10/30,15,兔,"马, 猪, 兔, 蛇",是,1,0,320,620,5920,5920
100,2025/10/31,48,马,"马, 猪, 蛇, 龙",是,2,0,320,620,6540,6540
101,2025/11/1,42,鼠,"猪, 蛇, 龙, 狗",否,0,1,320,-320,6220,6220
102,2025/11/2,17,牛,"猪, 蛇, 鸡, 龙",否,0,2,320,-320,5900,5900
103,2025/11/3,20,狗,"鸡, 猪, 蛇, 龙",否,0,3,320,-320,5580,5580
104,2025/11/4,39,兔,"猪, 蛇, 鸡, 龙",否,0,4,320,-320,5260,5260
105,2025/11/5,6,鼠,"猪, 蛇, 鸡, 虎",否,0,5,320,-320,4940,4940
106,2025/11/6,16,虎,"猪, 蛇, 鸡, 龙",否,0,6,320,-320,4620,4620
107,2025/11/7,37,蛇,"猪, 蛇, 鸡, 龙",是,1,0,320,620,5240,5240
108,2025/11/8,14,龙,"猪, 鸡, 龙, 羊",是,2,0,320,620,5860,5860
109,2025/11/9,38,龙,"猪, 鸡, 羊, 马",否,0,1,320,-320,5540,5540
110,2025/11/10,23,羊,"鸡, 猪, 羊, 马",是,1,0,320,620,6160,6160
