period,date,actual_number,actual_animal,top4_prediction,is_hit,is_betting,consecutive_wins,consecutive_losses,bet_amount,profit,cumulative_profit,balance,status
1,2025/7/22,18,鼠,"蛇, 虎, 猪, 兔",否,是,0,1,320,-320,-320,-320,❌
2,2025/7/25,30,鼠,"蛇, 猪, 龙, 虎",否,是,0,2,320,-320,-640,-640,❌
3,2025/7/26,1,蛇,"蛇, 猪, 龙, 兔",是,是,1,0,320,620,-20,-20,✅
4,2025/7/27,10,猴,"猪, 虎, 龙, 兔",否,是,0,1,320,-320,-340,-340,❌
5,2025/7/28,24,马,"猪, 龙, 兔, 虎",否,是,0,2,320,-320,-660,-660,❌
6,2025/7/29,9,鸡,"龙, 虎, 猪, 兔",否,是,0,3,320,-320,-980,-980,❌
7,2025/7/30,13,蛇,"兔, 虎, 龙, 狗",否,是,0,4,320,-320,-1300,-1300,❌ [触发止损，暂停投注]
8,2025/7/31,15,兔,"兔, 龙, 虎, 猪",是,是,0,0,0,0,-1300,-1300,⏸️ [暂停中-本期会中，恢复投注]
9,2025/8/1,2,龙,"虎, 猪, 龙, 狗",是,是,1,0,320,620,-680,-680,✅
10,2025/8/2,18,鼠,"虎, 猪, 狗, 羊",否,是,0,1,320,-320,-1000,-1000,❌
11,2025/8/3,11,羊,"猪, 虎, 狗, 马",否,是,0,2,320,-320,-1320,-1320,❌
12,2025/8/4,15,兔,"猪, 虎, 狗, 兔",是,是,1,0,320,620,-700,-700,✅
13,2025/8/5,21,鸡,"猪, 狗, 虎, 猴",否,是,0,1,320,-320,-1020,-1020,❌
14,2025/8/6,23,羊,"猪, 虎, 狗, 龙",否,是,0,2,320,-320,-1340,-1340,❌
15,2025/8/7,46,猴,"虎, 狗, 猪, 龙",否,是,0,3,320,-320,-1660,-1660,❌
16,2025/8/8,23,羊,"虎, 狗, 猪, 龙",否,是,0,4,320,-320,-1980,-1980,❌ [触发止损，暂停投注]
17,2025/8/9,9,鸡,"虎, 猪, 狗, 龙",否,否,0,4,0,0,-1980,-1980,⏸️ [暂停投注第1期]
18,2025/8/10,8,狗,"猪, 虎, 狗, 牛",是,是,0,0,0,0,-1980,-1980,⏸️ [暂停中-本期会中，恢复投注]
19,2025/8/11,8,狗,"虎, 猪, 牛, 马",否,是,0,1,320,-320,-2300,-2300,❌
20,2025/8/12,43,猪,"虎, 猪, 龙, 马",是,是,1,0,320,620,-1680,-1680,✅
21,2025/8/13,25,蛇,"虎, 马, 牛, 龙",否,是,0,1,320,-320,-2000,-2000,❌
22,2025/8/14,16,虎,"虎, 马, 龙, 牛",是,是,1,0,320,620,-1380,-1380,✅
23,2025/8/15,32,狗,"牛, 马, 龙, 猪",否,是,0,1,320,-320,-1700,-1700,❌
24,2025/8/16,31,猪,"牛, 马, 龙, 猪",是,是,1,0,320,620,-1080,-1080,✅
25,2025/8/17,40,虎,"牛, 龙, 马, 虎",是,是,2,0,320,620,-460,-460,✅
26,2025/8/18,15,兔,"牛, 马, 龙, 兔",是,是,3,0,320,620,160,160,✅
27,2025/8/19,2,龙,"牛, 马, 龙, 鼠",是,是,4,0,320,620,780,780,✅
28,2025/8/20,39,兔,"牛, 马, 猴, 虎",否,是,0,1,320,-320,460,460,❌
29,2025/8/21,38,龙,"牛, 马, 猴, 虎",否,是,0,2,320,-320,140,140,❌
30,2025/8/22,42,鼠,"牛, 马, 猴, 猪",否,是,0,3,320,-320,-180,-180,❌
31,2025/8/23,37,蛇,"牛, 马, 猴, 虎",否,是,0,4,320,-320,-500,-500,❌ [触发止损，暂停投注]
32,2025/8/24,13,蛇,"牛, 马, 猴, 虎",否,否,0,4,0,0,-500,-500,⏸️ [暂停投注第1期]
33,2025/8/25,42,鼠,"牛, 马, 猴, 猪",否,否,0,4,0,0,-500,-500,⏸️ [暂停投注第2期]
34,2025/8/26,39,兔,"牛, 马, 猴, 猪",否,否,0,4,0,0,-500,-500,⏸️ [暂停投注第3期]
35,2025/8/27,2,龙,"牛, 马, 猴, 虎",否,否,0,4,0,0,-500,-500,⏸️ [暂停投注第4期]
36,2025/8/28,46,猴,"牛, 马, 虎, 猴",是,是,0,0,0,0,-500,-500,⏸️ [暂停中-本期会中，恢复投注]
37,2025/8/29,4,虎,"牛, 马, 猪, 鸡",否,是,0,1,320,-320,-820,-820,❌
38,2025/8/30,28,虎,"牛, 马, 猪, 鸡",否,是,0,2,320,-320,-1140,-1140,❌
39,2025/8/31,1,蛇,"牛, 马, 鸡, 猪",否,是,0,3,320,-320,-1460,-1460,❌
40,2025/9/1,34,猴,"马, 牛, 猪, 鸡",否,是,0,4,320,-320,-1780,-1780,❌ [触发止损，暂停投注]
41,2025/9/2,8,狗,"牛, 马, 猪, 鸡",否,否,0,4,0,0,-1780,-1780,⏸️ [暂停投注第1期]
42,2025/9/3,24,马,"牛, 马, 鸡, 猪",是,是,0,0,0,0,-1780,-1780,⏸️ [暂停中-本期会中，恢复投注]
43,2025/9/4,44,狗,"牛, 羊, 猪, 鸡",否,是,0,1,320,-320,-2100,-2100,❌
44,2025/9/5,6,鼠,"牛, 鸡, 猪, 羊",否,是,0,2,320,-320,-2420,-2420,❌
45,2025/9/6,25,蛇,"牛, 猪, 羊, 鸡",否,是,0,3,320,-320,-2740,-2740,❌
46,2025/9/7,12,马,"牛, 猪, 鸡, 羊",否,是,0,4,320,-320,-3060,-3060,❌ [触发止损，暂停投注]
47,2025/9/8,35,羊,"牛, 鸡, 羊, 猪",是,是,0,0,0,0,-3060,-3060,⏸️ [暂停中-本期会中，恢复投注]
48,2025/9/9,23,羊,"牛, 鸡, 猪, 猴",否,是,0,1,320,-320,-3380,-3380,❌
49,2025/9/10,33,鸡,"牛, 鸡, 猪, 猴",是,是,1,0,320,620,-2760,-2760,✅
50,2025/9/11,17,牛,"牛, 猪, 兔, 猴",是,是,2,0,320,620,-2140,-2140,✅
