期号,日期,实际号码,投注倍数,投注金额,结果,盈亏,累计盈亏,最大回撤,Fib索引
9,2025/5/10,23,10,150,命中,300,60,240,0
19,2025/5/20,11,10,150,未中,-150,-300,300,7
20,2025/5/21,13,10,150,命中,300,0,300,0
57,2025/6/27,27,10,150,未中,-150,-120,300,7
58,2025/6/28,24,10,150,未中,-150,-270,300,8
59,2025/6/29,29,10,150,未中,-150,-420,420,9
60,2025/6/30,23,10,150,命中,300,-120,420,0
79,2025/7/19,47,10,150,未中,-150,-465,465,7
80,2025/7/20,47,10,150,未中,-150,-615,615,8
81,2025/7/21,20,10,150,未中,-150,-765,765,9
82,2025/7/22,18,10,150,命中,300,-465,765,0
98,2025/8/9,9,10,150,命中,300,-360,765,0
105,2025/8/16,31,10,150,未中,-150,-810,810,7
106,2025/8/17,40,10,150,未中,-150,-960,960,8
107,2025/8/18,15,10,150,命中,300,-660,960,0
133,2025/9/13,48,10,150,未中,-150,-915,960,7
134,2025/9/14,28,10,150,命中,300,-615,960,0
145,2025/9/25,10,10,150,未中,-150,-1035,1035,7
146,2025/9/26,31,10,150,未中,-150,-1185,1185,8
147,2025/9/27,35,10,150,未中,-150,-1335,1335,9
148,2025/9/28,6,10,150,命中,300,-1035,1335,0
189,2025/11/8,14,10,150,命中,300,-645,1335,0
