期号,日期,实际号码,投注倍数,投注金额,结果,盈亏,累计盈亏,最大回撤,Fib索引
8,2025/5/9,40,8,120,未中,-120,-240,240,6
9,2025/5/10,23,10,150,命中,300,60,240,0
18,2025/5/19,14,8,120,未中,-120,-150,240,6
19,2025/5/20,11,10,150,未中,-150,-300,300,7
20,2025/5/21,13,10,150,命中,300,0,300,0
56,2025/6/26,4,8,120,未中,-120,30,300,6
57,2025/6/27,27,10,150,未中,-150,-120,300,7
58,2025/6/28,24,10,150,未中,-150,-270,300,8
59,2025/6/29,29,10,150,未中,-150,-420,420,9
60,2025/6/30,23,10,150,命中,300,-120,420,0
70,2025/7/10,29,8,120,命中,240,-30,420,0
78,2025/7/18,10,8,120,未中,-120,-315,420,6
79,2025/7/19,47,10,150,未中,-150,-465,465,7
80,2025/7/20,47,10,150,未中,-150,-615,615,8
81,2025/7/21,20,10,150,未中,-150,-765,765,9
82,2025/7/22,18,10,150,命中,300,-465,765,0
97,2025/8/8,23,8,120,未中,-120,-660,765,6
98,2025/8/9,9,10,150,命中,300,-360,765,0
104,2025/8/15,32,8,120,未中,-120,-660,765,6
105,2025/8/16,31,10,150,未中,-150,-810,810,7
106,2025/8/17,40,10,150,未中,-150,-960,960,8
107,2025/8/18,15,10,150,命中,300,-660,960,0
132,2025/9/12,42,8,120,未中,-120,-765,960,6
133,2025/9/13,48,10,150,未中,-150,-915,960,7
134,2025/9/14,28,10,150,命中,300,-615,960,0
144,2025/9/24,29,8,120,未中,-120,-885,960,6
145,2025/9/25,10,10,150,未中,-150,-1035,1035,7
146,2025/9/26,31,10,150,未中,-150,-1185,1185,8
147,2025/9/27,35,10,150,未中,-150,-1335,1335,9
148,2025/9/28,6,10,150,命中,300,-1035,1335,0
188,2025/11/7,37,8,120,未中,-120,-945,1335,6
189,2025/11/8,14,10,150,命中,300,-645,1335,0
240,2025/12/29,26,8,120,命中,240,-30,1335,0
262,2026/1/20,12,8,120,命中,240,180,1335,0
299,2026/2/26,23,8,120,命中,240,645,1335,0
