period,hit,paused,multiplier,bet,profit,balance
1,True,False,1,15,32,32
2,True,True,0,0,0,32
3,False,False,1,15,-15,17
4,False,False,1,15,-15,2
5,False,False,2,30,-30,-28
6,False,False,3,45,-45,-73
7,False,False,5,75,-75,-148
8,False,False,8,120,-120,-268
9,False,False,10,150,-150,-418
10,True,False,10,150,320,-98
11,False,True,0,0,0,-98
12,True,False,1,15,32,-66
13,False,True,0,0,0,-66
14,False,False,1,15,-15,-81
15,True,False,1,15,32,-49
16,False,True,0,0,0,-49
17,True,False,1,15,32,-17
18,True,True,0,0,0,-17
19,True,False,1,15,32,15
20,False,True,0,0,0,15
21,True,False,1,15,32,47
22,False,True,0,0,0,47
23,False,False,1,15,-15,32
24,False,False,1,15,-15,17
25,False,False,2,30,-30,-13
26,True,False,3,45,96,83
27,False,True,0,0,0,83
28,False,False,1,15,-15,68
29,True,False,1,15,32,100
30,False,True,0,0,0,100
31,False,False,1,15,-15,85
32,True,False,1,15,32,117
33,True,True,0,0,0,117
34,False,False,1,15,-15,102
35,True,False,1,15,32,134
36,False,True,0,0,0,134
37,True,False,1,15,32,166
38,False,True,0,0,0,166
39,False,False,1,15,-15,151
40,True,False,1,15,32,183
41,False,True,0,0,0,183
42,False,False,1,15,-15,168
43,False,False,1,15,-15,153
44,False,False,2,30,-30,123
45,False,False,3,45,-45,78
46,False,False,5,75,-75,3
47,False,False,8,120,-120,-117
48,False,False,10,150,-150,-267
49,False,False,10,150,-150,-417
50,True,False,10,150,320,-97
51,False,True,0,0,0,-97
52,True,False,1,15,32,-65
53,False,True,0,0,0,-65
54,True,False,1,15,32,-33
55,False,True,0,0,0,-33
56,False,False,1,15,-15,-48
57,False,False,1,15,-15,-63
58,False,False,2,30,-30,-93
59,False,False,3,45,-45,-138
60,True,False,5,75,160,22
61,False,True,0,0,0,22
62,True,False,1,15,32,54
63,False,True,0,0,0,54
64,False,False,1,15,-15,39
65,False,False,1,15,-15,24
66,False,False,2,30,-30,-6
67,False,False,3,45,-45,-51
68,False,False,5,75,-75,-126
69,False,False,8,120,-120,-246
70,False,False,10,150,-150,-396
71,False,False,10,150,-150,-546
72,True,False,10,150,320,-226
