期号,日期,开奖号码,预测TOP15,投注倍数,投注金额,是否命中,当期盈亏,累计盈亏,最近8期命中率,触及10倍上限,Fib索引
91,2025/05/02,33,"[3, 23, 20, 18, 45]...",1.00,15,✓,+32,+32,100.00%,,0
92,2025/05/03,45,"[3, 23, 20, 18, 46]...",1.00,15,✓,+32,+64,100.00%,,0
93,2025/05/04,10,"[3, 23, 20, 18, 1]...",1.00,15,✗,-15,+49,66.67%,,1
94,2025/05/05,49,"[3, 23, 38, 20, 18]...",1.00,15,✗,-15,+34,50.00%,,2
95,2025/05/06,2,"[3, 23, 28, 38, 18]...",2.00,30,✗,-30,+4,40.00%,,3
96,2025/05/07,49,"[3, 6, 1, 47, 46]...",3.00,45,✗,-45,-41,33.33%,,4
97,2025/05/08,13,"[3, 6, 1, 46, 47]...",5.00,75,✗,-75,-116,28.57%,,5
98,2025/05/09,40,"[3, 45, 6, 1, 47]...",8.00,120,✗,-120,-236,25.00%,,6
99,2025/05/10,23,"[3, 10, 45, 1, 6]...",10.00,150,✓,+320,+84,25.00%,是,0
100,2025/05/11,47,"[10, 3, 45, 1, 6]...",1.00,15,✓,+32,+116,25.00%,,0
101,2025/05/12,2,"[2, 10, 3, 45, 6]...",1.50,22,✓,+48,+164,37.50%,,0
102,2025/05/13,10,"[10, 3, 45, 6, 49]...",1.50,22,✓,+48,+212,50.00%,,0
103,2025/05/14,14,"[3, 45, 6, 49, 1]...",1.50,22,✗,-22,+190,50.00%,,1
104,2025/05/15,37,"[3, 45, 49, 1, 46]...",1.50,22,✗,-22,+167,50.00%,,2
105,2025/05/16,9,"[3, 45, 49, 1, 46]...",3.00,45,✗,-45,+122,50.00%,,3
106,2025/05/17,36,"[3, 47, 45, 49, 1]...",4.50,68,✗,-68,+54,50.00%,,4
107,2025/05/18,41,"[2, 3, 47, 45, 49]...",7.50,112,✗,-112,-58,37.50%,,5
108,2025/05/19,14,"[2, 10, 3, 47, 45]...",8.00,120,✗,-120,-178,25.00%,,6
109,2025/05/20,11,"[2, 10, 47, 3, 45]...",6.00,90,✗,-90,-268,12.50%,,7
110,2025/05/21,13,"[2, 10, 47, 3, 45]...",6.00,90,✓,+192,-76,12.50%,,0
111,2025/05/22,44,"[2, 10, 23, 24, 9]...",1.00,15,✗,-15,-91,12.50%,,1
112,2025/05/23,10,"[10, 2, 23, 36, 24]...",1.00,15,✓,+32,-59,25.00%,,0
113,2025/05/24,25,"[9, 23, 2, 36, 24]...",1.00,15,✗,-15,-74,25.00%,,1
114,2025/05/25,17,"[14, 9, 2, 23, 36]...",1.00,15,✗,-15,-89,25.00%,,2
115,2025/05/26,14,"[14, 9, 2, 11, 23]...",3.00,45,✓,+96,+7,37.50%,,0
116,2025/05/27,32,"[13, 11, 2, 36, 9]...",1.50,22,✗,-22,-16,37.50%,,1
117,2025/05/28,2,"[13, 11, 2, 9, 23]...",1.50,22,✓,+48,+32,50.00%,,0
118,2025/05/29,41,"[10, 13, 11, 9, 23]...",1.50,22,✓,+48,+80,50.00%,,0
119,2025/05/30,40,"[10, 13, 11, 25, 9]...",1.50,22,✓,+48,+128,62.50%,,0
120,2025/05/31,38,"[10, 9, 49, 44, 1]...",1.50,22,✗,-22,+106,50.00%,,1
121,2025/06/01,10,"[10, 9, 49, 44, 3]...",1.50,22,✓,+48,+154,62.50%,,0
122,2025/06/02,43,"[9, 44, 3, 49, 14]...",1.50,22,✗,-22,+132,62.50%,,1
123,2025/06/03,26,"[2, 9, 3, 44, 49]...",1.50,22,✗,-22,+109,50.00%,,2
124,2025/06/04,45,"[2, 9, 41, 3, 44]...",3.00,45,✗,-45,+64,50.00%,,3
125,2025/06/05,18,"[2, 9, 40, 41, 44]...",4.50,68,✗,-68,-4,37.50%,,4
126,2025/06/06,23,"[2, 9, 40, 41, 14]...",7.50,112,✓,+240,+236,37.50%,,0
127,2025/06/07,5,"[10, 2, 9, 40, 41]...",1.00,15,✗,-15,+222,25.00%,,1
128,2025/06/08,31,"[10, 2, 40, 9, 41]...",1.00,15,✗,-15,+206,25.00%,,2
129,2025/06/09,11,"[10, 2, 9, 41, 43]...",2.00,30,✓,+64,+270,25.00%,,0
130,2025/06/10,16,"[10, 14, 26, 2, 17]...",1.00,15,✗,-15,+256,25.00%,,1
131,2025/06/11,1,"[10, 18, 2, 14, 26]...",1.00,15,✗,-15,+240,25.00%,,2
132,2025/06/12,23,"[10, 18, 23, 14, 2]...",3.00,45,✓,+96,+336,37.50%,,0
133,2025/06/13,13,"[5, 18, 10, 14, 26]...",1.50,22,✓,+48,+384,50.00%,,0
134,2025/06/14,47,"[5, 18, 10, 17, 31]...",1.50,22,✗,-22,+362,37.50%,,1
135,2025/06/15,41,"[11, 5, 10, 18, 17]...",1.50,22,✓,+48,+410,50.00%,,0
136,2025/06/16,9,"[11, 5, 16, 10, 17]...",1.50,22,✗,-22,+388,50.00%,,1
137,2025/06/17,16,"[1, 5, 10, 2, 43]...",1.50,22,✓,+48,+436,50.00%,,0
138,2025/06/18,7,"[1, 11, 23, 10, 18]...",1.50,22,✗,-22,+413,50.00%,,1
139,2025/06/19,33,"[1, 10, 5, 2, 11]...",1.50,22,✗,-22,+390,50.00%,,2
140,2025/06/20,47,"[1, 10, 5, 2, 47]...",3.00,45,✓,+96,+486,50.00%,,0
141,2025/06/21,36,"[1, 10, 5, 2, 41]...",1.50,22,✗,-22,+464,37.50%,,1
142,2025/06/22,38,"[1, 10, 9, 5, 2]...",1.50,22,✗,-22,+442,37.50%,,2
143,2025/06/23,39,"[1, 9, 5, 41, 2]...",2.00,30,✗,-30,+412,25.00%,,3
144,2025/06/24,30,"[1, 7, 9, 5, 41]...",3.00,45,✗,-45,+366,25.00%,,4
145,2025/06/25,36,"[16, 23, 1, 41, 5]...",3.00,45,✗,-45,+322,12.50%,,5
146,2025/06/26,4,"[16, 23, 1, 47, 33]...",4.80,72,✗,-72,+250,12.50%,,6
147,2025/06/27,27,"[16, 23, 1, 33, 47]...",6.00,90,✗,-90,+160,12.50%,,7
148,2025/06/28,24,"[16, 7, 38, 23, 1]...",6.00,90,✗,-90,+70,0.00%,,8
149,2025/06/29,29,"[16, 38, 1, 7, 23]...",6.00,90,✗,-90,-20,0.00%,,9
150,2025/06/30,23,"[16, 30, 38, 7, 1]...",6.00,90,✓,+192,+172,12.50%,,0
151,2025/07/01,42,"[16, 36, 30, 7, 1]...",1.00,15,✗,-15,+156,12.50%,,1
152,2025/07/02,33,"[16, 4, 30, 36, 1]...",1.00,15,✓,+32,+188,25.00%,,0
153,2025/07/03,28,"[4, 27, 16, 36, 30]...",1.00,15,✗,-15,+174,25.00%,,1
154,2025/07/04,5,"[4, 24, 27, 16, 1]...",1.50,22,✓,+48,+222,37.50%,,0
155,2025/07/05,8,"[4, 24, 27, 16, 29]...",1.50,22,✗,-22,+199,37.50%,,1
156,2025/07/06,45,"[23, 4, 24, 16, 27]...",1.50,22,✗,-22,+176,37.50%,,2
157,2025/07/07,15,"[23, 24, 16, 4, 27]...",3.00,45,✗,-45,+132,37.50%,,3
158,2025/07/08,17,"[23, 16, 24, 33, 4]...",3.00,45,✗,-45,+86,25.00%,,4
159,2025/07/09,18,"[23, 16, 33, 4, 28]...",5.00,75,✗,-75,+12,25.00%,,5
160,2025/07/10,29,"[23, 5, 16, 33, 4]...",8.00,120,✓,+256,+268,25.00%,,0
161,2025/07/11,45,"[5, 23, 33, 4, 28]...",1.00,15,✗,-15,+252,25.00%,,1
162,2025/07/12,24,"[5, 23, 33, 28, 16]...",1.00,15,✓,+32,+284,25.00%,,0
163,2025/07/13,29,"[5, 15, 33, 28, 4]...",1.00,15,✗,-15,+270,25.00%,,1
164,2025/07/14,25,"[5, 15, 17, 33, 23]...",1.00,15,✗,-15,+254,25.00%,,2
165,2025/07/15,14,"[15, 17, 18, 5, 33]...",2.00,30,✗,-30,+224,25.00%,,3
