period,date,actual_number,actual_zodiac,predicted_top4,is_hit,bet,win,profit,balance,predictor
289,2025/11/18,47,羊,"猪, 兔, 狗, 鸡",False,16,0,-16,-16,重训练v2.0
290,2025/11/19,9,鸡,"猪, 猴, 兔, 鸡",True,16,46,30,14,重训练v2.0
291,2025/11/20,15,兔,"猪, 猴, 蛇, 龙",False,16,0,-16,-2,重训练v2.0
292,2025/11/21,4,虎,"猪, 猴, 蛇, 龙",False,16,0,-16,-18,重训练v2.0
293,2025/11/22,19,猪,"猪, 猴, 龙, 蛇",True,16,46,30,12,重训练v2.0
294,2025/11/23,37,蛇,"猴, 牛, 龙, 蛇",True,16,46,30,42,重训练v2.0
295,2025/11/24,3,兔,"狗, 猴, 牛, 龙",False,16,0,-16,26,重训练v2.0
296,2025/11/25,17,牛,"狗, 猴, 牛, 龙",True,16,46,30,56,重训练v2.0
297,2025/11/26,36,马,"狗, 猴, 龙, 马",True,16,46,30,86,重训练v2.0
298,2025/11/27,26,龙,"狗, 猴, 龙, 猪",True,16,46,30,116,重训练v2.0
299,2025/11/28,26,龙,"狗, 猴, 猪, 鼠",False,16,0,-16,100,重训练v2.0
300,2025/11/29,6,鼠,"猴, 狗, 猪, 鼠",True,16,46,30,130,重训练v2.0
301,2025/11/30,46,猴,"猴, 狗, 鸡, 猪",True,16,46,30,160,重训练v2.0
302,2025/12/1,44,狗,"狗, 鸡, 马, 猪",True,16,46,30,190,重训练v2.0
303,2025/12/2,17,牛,"鸡, 马, 猪, 牛",True,16,46,30,220,重训练v2.0
304,2025/12/3,9,鸡,"鸡, 猪, 猴, 马",True,16,46,30,250,重训练v2.0
305,2025/12/4,8,狗,"猪, 猴, 狗, 蛇",True,16,46,30,280,重训练v2.0
306,2025/12/5,48,马,"猪, 兔, 猴, 牛",False,16,0,-16,264,重训练v2.0
307,2025/12/6,26,虎,"猪, 蛇, 兔, 猴",False,16,0,-16,248,重训练v2.0
308,2025/12/7,6,鼠,"猪, 兔, 蛇, 猴",False,16,0,-16,232,重训练v2.0
309,2025/12/8,4,虎,"蛇, 猪, 兔, 猴",False,16,0,-16,216,重训练v2.0
310,2025/12/9,38,龙,"蛇, 猪, 兔, 牛",False,16,0,-16,200,重训练v2.0
311,2025/12/10,27,兔,"蛇, 猪, 兔, 牛",True,16,46,30,230,重训练v2.0
312,2025/12/11,24,马,"羊, 蛇, 猪, 猴",False,16,0,-16,214,重训练v2.0
313,2025/12/12,3,兔,"羊, 蛇, 猪, 猴",False,16,0,-16,198,重训练v2.0
314,2025/12/13,13,蛇,"猪, 猴, 羊, 蛇",True,16,46,30,228,重训练v2.0
315,2025/12/14,16,虎,"猪, 猴, 羊, 牛",False,16,0,-16,212,重训练v2.0
316,2025/12/15,22,猴,"猪, 猴, 羊, 牛",True,16,46,30,242,重训练v2.0
317,2025/12/16,49,蛇,"猪, 羊, 牛, 鸡",False,16,0,-16,226,重训练v2.0
318,2025/12/17,4,虎,"猪, 羊, 狗, 牛",False,16,0,-16,210,重训练v2.0
319,2025/12/18,44,狗,"羊, 猪, 狗, 鸡",True,16,46,30,240,重训练v2.0
320,2025/12/19,1,蛇,"羊, 猪, 鼠, 牛",False,16,0,-16,224,重训练v2.0
321,2025/12/20,30,鼠,"羊, 猪, 鸡, 鼠",True,16,46,30,254,重训练v2.0
322,2025/12/21,8,狗,"羊, 猪, 鸡, 牛",False,16,0,-16,238,重训练v2.0
323,2025/12/22,24,马,"羊, 猪, 鸡, 牛",False,16,0,-16,222,重训练v2.0
324,2025/12/23,49,蛇,"羊, 猪, 牛, 鸡",False,16,0,-16,206,重训练v2.0
325,2025/12/24,7,猪,"羊, 猪, 鸡, 牛",True,16,46,30,236,重训练v2.0
326,2025/12/25,11,羊,"羊, 鸡, 牛, 兔",True,16,46,30,266,重训练v2.0
327,2025/12/26,41,牛,"牛, 鸡, 兔, 猴",True,16,46,30,296,重训练v2.0
328,2025/12/27,24,马,"鸡, 兔, 猪, 猴",False,16,0,-16,280,重训练v2.0
329,2025/12/28,23,羊,"鸡, 兔, 猴, 羊",True,16,46,30,310,重训练v2.0
330,2025/12/29,26,龙,"鸡, 龙, 兔, 猴",True,16,46,30,340,重训练v2.0
331,2025/12/30,12,马,"鸡, 兔, 猴, 猪",False,16,0,-16,324,重训练v2.0
332,2025/12/31,26,龙,"鸡, 猴, 猪, 兔",False,16,0,-16,308,重训练v2.0
333,2026/1/1,29,牛,"鸡, 猴, 猪, 兔",False,16,0,-16,292,重训练v2.0
334,2026/1/2,22,猴,"鸡, 兔, 猴, 鼠",True,16,46,30,322,重训练v2.0
335,2026/1/3,9,鸡,"鸡, 兔, 鼠, 羊",True,16,46,30,352,重训练v2.0
336,2026/1/4,45,鸡,"兔, 狗, 猪, 鼠",False,16,0,-16,336,重训练v2.0
337,2026/1/5,43,猪,"兔, 狗, 猪, 鼠",True,16,46,30,366,重训练v2.0
338,2026/1/6,13,蛇,"兔, 狗, 鼠, 牛",False,16,0,-16,350,重训练v2.0
339,2026/1/7,41,牛,"鼠, 兔, 狗, 牛",True,16,46,30,380,重训练v2.0
340,2026/1/8,21,鸡,"虎, 鼠, 兔, 羊",False,16,0,-16,364,重训练v2.0
341,2026/1/9,28,虎,"虎, 鼠, 兔, 羊",True,16,46,30,394,重训练v2.0
