multiplier,bet,profit,consecutive_misses,balance,drawdown,recommendation,date,actual,predictions,hit,baseline_mult,baseline_balance
0.9,18.0,-18.0,1,-18.0,18.0,❌ 未中,2025/05/11,羊,"牛,猪,马,狗,鼠",❌,1,-20
1.1,22.0,-22.0,2,-40.0,40.0,❌ 未中,2025/05/12,龙,"牛,猪,马,狗,鼠",❌,1,-40
1.4,28.0,-28.0,3,-68.0,68.0,⚠️ 连败3+次，下期命中率45.5%,2025/05/13,猴,"牛,猪,狗,马,鼠",❌,2,-80
1.8,36.0,-36.0,4,-104.0,104.0,⚠️ 连败3+次，下期命中率45.5%,2025/05/14,龙,"牛,猪,狗,马,鼠",❌,3,-140
2.4,48.0,-48.0,5,-152.0,152.0,⚠️ 连败5+次，下期命中率63.6%！,2025/05/15,蛇,"牛,猪,狗,鼠,马",❌,5,-240
2.8,56.0,-56.0,6,-208.0,208.0,⚠️ 连败5+次，下期命中率63.6%！,2025/05/16,鸡,"牛,猪,狗,鼠,马",❌,8,-400
2.7,54.0,72.9,0,-135.1,208.0,✅ 命中,2025/05/17,马,"牛,猪,马,狗,鼠",✅,10,-130
0.9,18.0,24.300000000000004,0,-110.79999999999998,208.0,✅ 命中,2025/05/18,牛,"牛,猪,狗,鼠,虎",✅,1,-103
1.1,22.0,-22.0,1,-132.79999999999998,208.0,❌ 未中,2025/05/19,龙,"猪,狗,鼠,牛,虎",❌,1,-123
0.9,18.0,-18.0,2,-150.79999999999998,208.0,❌ 未中,2025/05/20,羊,"猪,狗,鼠,牛,虎",❌,1,-143
1.4,28.0,-28.0,3,-178.79999999999998,208.0,⚠️ 连败3+次，下期命中率45.5%,2025/05/21,蛇,"猪,狗,鼠,虎,牛",❌,2,-183
1.9,38.0,51.3,0,-127.49999999999999,208.0,✅ 命中,2025/05/22,狗,"猪,狗,鼠,虎,牛",✅,3,-102
0.9,18.0,-18.0,1,-145.5,208.0,❌ 未中,2025/05/23,猴,"猪,鼠,牛,虎,兔",❌,1,-122
0.9,18.0,-18.0,2,-163.5,208.0,❌ 未中,2025/05/24,蛇,"猪,牛,虎,鼠,马",❌,1,-142
1.4,28.0,37.8,0,-125.7,208.0,✅ 命中,2025/05/25,牛,"猪,牛,鼠,虎,马",✅,2,-88
1.1,22.0,-22.0,1,-147.7,208.0,❌ 未中,2025/05/26,龙,"猪,鼠,虎,兔,马",❌,1,-108
0.9,18.0,24.300000000000004,0,-123.39999999999998,208.0,✅ 命中,2025/05/27,狗,"猪,鼠,虎,兔,狗",✅,1,-81
0.9,18.0,-18.0,1,-141.39999999999998,208.0,❌ 未中,2025/05/28,龙,"猪,鼠,虎,兔,马",❌,1,-101
0.9,18.0,-18.0,2,-159.39999999999998,208.0,❌ 未中,2025/05/29,牛,"猪,鼠,虎,兔,马",❌,1,-121
1.4,28.0,37.8,0,-121.59999999999998,208.0,✅ 命中,2025/05/30,虎,"猪,鼠,兔,虎,马",✅,2,-67
0.9,18.0,-18.0,1,-139.59999999999997,208.0,❌ 未中,2025/05/31,龙,"猪,鼠,兔,马,鸡",❌,1,-87
1.0,20.0,-20.0,2,-159.59999999999997,208.0,❌ 未中,2025/06/01,猴,"猪,鼠,兔,马,鸡",❌,1,-107
1.6,32.0,43.2,0,-116.39999999999996,208.0,✅ 命中,2025/06/02,猪,"猪,鼠,兔,马,鸡",✅,2,-53
1.0,20.0,-20.0,1,-136.39999999999998,208.0,❌ 未中,2025/06/03,龙,"鼠,兔,马,鸡,猪",❌,1,-73
0.9,18.0,24.300000000000004,0,-112.09999999999997,208.0,✅ 命中,2025/06/04,鸡,"鼠,兔,马,鸡,猪",✅,1,-46
