================================================================================
 生肖TOP4投注策略回测 - 集成优化系统（带自动恢复止损）
================================================================================
回测期数: 200 期
基础投注: 16元/期
命中奖励: 45元
止损规则: 连续失败 3 期暂停
恢复规则: 预测命中 OR 连续暂停 8 期后自动恢复
================================================================================

第 11期 2025/8/3 | 预测: 牛,虎,狗,羊              | 实际: 羊  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    +29元 | ROI: +181.25%
第 12期 2025/8/4 | 预测: 牛,虎,狗,猪              | 实际: 兔  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    +13元 | ROI: +40.62%
第 13期 2025/8/5 | 预测: 牛,虎,狗,猪              | 实际: 鸡  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:     -3元 | ROI:  -6.25%
第 14期 2025/8/6 | 预测: 狗,虎,牛,猪              | 实际: 羊  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    -35元 | ROI: -43.75%
第 15期 2025/8/7 | 预测: 牛,虎,狗,猪              | 实际: 猴  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:    -35元 | ROI: -43.75%
第 16期 2025/8/8 | 预测: 虎,牛,狗,猪              | 实际: 羊  | 投注:    0元 | [PAUSE] 暂停投注(第2期，本期未中)                   | 余额:    -35元 | ROI: -43.75%
第 17期 2025/8/9 | 预测: 牛,虎,狗,猪              | 实际: 鸡  | 投注:    0元 | [PAUSE] 暂停投注(第3期，本期未中)                   | 余额:    -35元 | ROI: -43.75%
第 18期 2025/8/10 | 预测: 狗,虎,牛,猪              | 实际: 狗  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    -35元 | ROI: -43.75%
第 19期 2025/8/11 | 预测: 牛,虎,猪,马              | 实际: 狗  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -51元 | ROI: -53.12%
第 20期 2025/8/12 | 预测: 牛,虎,猪,马              | 实际: 猪  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    -22元 | ROI: -19.64%
第 21期 2025/8/13 | 预测: 牛,虎,马,龙              | 实际: 蛇  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -38元 | ROI: -29.69%
第 22期 2025/8/14 | 预测: 牛,虎,龙,马              | 实际: 虎  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:     -9元 | ROI:  -6.25%
第 23期 2025/8/15 | 预测: 牛,龙,马,猪              | 实际: 狗  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -25元 | ROI: -15.62%
第 24期 2025/8/16 | 预测: 牛,龙,马,猪              | 实际: 猪  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:     +4元 | ROI:  +2.27%
第 25期 2025/8/17 | 预测: 牛,龙,马,兔              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -12元 | ROI:  -6.25%
第 26期 2025/8/18 | 预测: 牛,马,龙,兔              | 实际: 兔  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    +17元 | ROI:  +8.17%
第 27期 2025/8/19 | 预测: 牛,马,龙,猴              | 实际: 龙  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:    +46元 | ROI: +20.54%
第 28期 2025/8/20 | 预测: 牛,马,猴,虎              | 实际: 兔  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    +30元 | ROI: +12.50%
第 29期 2025/8/21 | 预测: 牛,马,猴,虎              | 实际: 龙  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    +14元 | ROI:  +5.47%
第 30期 2025/8/22 | 预测: 牛,马,猴,猪              | 实际: 鼠  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    -18元 | ROI:  -6.25%
第 31期 2025/8/23 | 预测: 牛,马,猴,虎              | 实际: 蛇  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:    -18元 | ROI:  -6.25%
第 32期 2025/8/24 | 预测: 牛,马,猴,虎              | 实际: 蛇  | 投注:    0元 | [PAUSE] 暂停投注(第2期，本期未中)                   | 余额:    -18元 | ROI:  -6.25%
第 33期 2025/8/25 | 预测: 牛,马,猴,猪              | 实际: 鼠  | 投注:    0元 | [PAUSE] 暂停投注(第3期，本期未中)                   | 余额:    -18元 | ROI:  -6.25%
第 34期 2025/8/26 | 预测: 牛,马,猴,猪              | 实际: 兔  | 投注:    0元 | [PAUSE] 暂停投注(第4期，本期未中)                   | 余额:    -18元 | ROI:  -6.25%
第 35期 2025/8/27 | 预测: 牛,猴,马,虎              | 实际: 龙  | 投注:    0元 | [PAUSE] 暂停投注(第5期，本期未中)                   | 余额:    -18元 | ROI:  -6.25%
第 36期 2025/8/28 | 预测: 牛,马,猴,虎              | 实际: 猴  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    -18元 | ROI:  -6.25%
第 37期 2025/8/29 | 预测: 牛,马,猪,鸡              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -34元 | ROI: -11.18%
第 38期 2025/8/30 | 预测: 牛,马,猪,鸡              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    -50元 | ROI: -15.62%
第 39期 2025/8/31 | 预测: 牛,马,猪,鸡              | 实际: 蛇  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    -82元 | ROI: -23.30%
第 40期 2025/9/1 | 预测: 牛,马,猪,鸡              | 实际: 猴  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:    -82元 | ROI: -23.30%
第 41期 2025/9/2 | 预测: 牛,马,猪,鸡              | 实际: 狗  | 投注:    0元 | [PAUSE] 暂停投注(第2期，本期未中)                   | 余额:    -82元 | ROI: -23.30%
第 42期 2025/9/3 | 预测: 牛,马,羊,鸡              | 实际: 马  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    -82元 | ROI: -23.30%
第 43期 2025/9/4 | 预测: 牛,羊,猪,鸡              | 实际: 狗  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -98元 | ROI: -26.63%
第 44期 2025/9/5 | 预测: 牛,鸡,猪,羊              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   -114元 | ROI: -29.69%
第 45期 2025/9/6 | 预测: 牛,羊,猪,鸡              | 实际: 蛇  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   -146元 | ROI: -35.10%
第 46期 2025/9/7 | 预测: 牛,羊,猪,鸡              | 实际: 马  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:   -146元 | ROI: -35.10%
第 47期 2025/9/8 | 预测: 牛,鸡,羊,猪              | 实际: 羊  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:   -146元 | ROI: -35.10%
第 48期 2025/9/9 | 预测: 牛,鸡,猪,猴              | 实际: 羊  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   -162元 | ROI: -37.50%
第 49期 2025/9/10 | 预测: 牛,鸡,猪,猴              | 实际: 鸡  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   -133元 | ROI: -29.69%
第 50期 2025/9/11 | 预测: 牛,猪,猴,兔              | 实际: 牛  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   -104元 | ROI: -22.41%
第 51期 2025/9/12 | 预测: 猪,猴,马,牛              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   -120元 | ROI: -25.00%
第 52期 2025/9/13 | 预测: 猪,猴,鸡,马              | 实际: 马  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    -91元 | ROI: -18.35%
第 53期 2025/9/14 | 预测: 猪,牛,猴,鸡              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   -107元 | ROI: -20.90%
第 54期 2025/9/15 | 预测: 猪,牛,猴,鸡              | 实际: 龙  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   -123元 | ROI: -23.30%
第 55期 2025/9/16 | 预测: 猪,牛,鸡,猴              | 实际: 羊  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   -155元 | ROI: -27.68%
第 56期 2025/9/17 | 预测: 猪,牛,鸡,猴              | 实际: 兔  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:   -155元 | ROI: -27.68%
第 57期 2025/9/18 | 预测: 猪,牛,鸡,猴              | 实际: 鸡  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:   -155元 | ROI: -27.68%
第 58期 2025/9/19 | 预测: 猪,牛,猴,狗              | 实际: 狗  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   -126元 | ROI: -21.88%
第 59期 2025/9/20 | 预测: 猪,牛,猴,兔              | 实际: 龙  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   -142元 | ROI: -23.99%
第 60期 2025/9/21 | 预测: 猪,牛,猴,兔              | 实际: 猪  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   -113元 | ROI: -18.59%
第 61期 2025/9/22 | 预测: 猴,牛,兔,鸡              | 实际: 猴  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:    -84元 | ROI: -13.46%
第 62期 2025/9/23 | 预测: 牛,兔,蛇,虎              | 实际: 牛  | 投注:   16元 | [HIT] 命中 +29元 (连胜3)                      | 余额:    -55元 | ROI:  -8.59%
第 63期 2025/9/24 | 预测: 猪,蛇,鸡,马              | 实际: 牛  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -71元 | ROI: -10.82%
第 64期 2025/9/25 | 预测: 猪,蛇,鼠,鸡              | 实际: 猴  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    -87元 | ROI: -12.95%
第 65期 2025/9/26 | 预测: 猪,鼠,鸡,兔              | 实际: 猪  | 投注:   32元 | [HIT] 命中 +58元 (连胜1)                      | 余额:    -29元 | ROI:  -4.12%
第 66期 2025/9/27 | 预测: 蛇,兔,鼠,鸡              | 实际: 羊  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -45元 | ROI:  -6.25%
第 67期 2025/9/28 | 预测: 鼠,蛇,兔,鸡              | 实际: 鼠  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    -16元 | ROI:  -2.17%
第 68期 2025/9/29 | 预测: 蛇,兔,虎,鸡              | 实际: 马  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -32元 | ROI:  -4.26%
第 69期 2025/9/30 | 预测: 兔,虎,蛇,鸡              | 实际: 虎  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:     -3元 | ROI:  -0.39%
第 70期 2025/10/1 | 预测: 兔,鸡,蛇,龙              | 实际: 狗  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -19元 | ROI:  -2.42%
第 71期 2025/10/2 | 预测: 兔,鸡,蛇,龙              | 实际: 鸡  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    +10元 | ROI:  +1.25%
第 72期 2025/10/3 | 预测: 兔,蛇,龙,猪              | 实际: 鸡  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:     -6元 | ROI:  -0.74%
第 73期 2025/10/4 | 预测: 兔,蛇,龙,猪              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    -22元 | ROI:  -2.64%
第 74期 2025/10/5 | 预测: 兔,蛇,龙,猪              | 实际: 虎  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    -54元 | ROI:  -6.25%
第 75期 2025/10/6 | 预测: 兔,蛇,龙,鼠              | 实际: 兔  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    -54元 | ROI:  -6.25%
第 76期 2025/10/7 | 预测: 蛇,龙,鼠,猴              | 实际: 鼠  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    -25元 | ROI:  -2.84%
第 77期 2025/10/8 | 预测: 蛇,龙,猴,马              | 实际: 羊  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:    -41元 | ROI:  -4.58%
第 78期 2025/10/9 | 预测: 蛇,龙,猴,猪              | 实际: 牛  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:    -57元 | ROI:  -6.25%
第 79期 2025/10/10 | 预测: 蛇,龙,猪,猴              | 实际: 鸡  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    -89元 | ROI:  -9.43%
第 80期 2025/10/11 | 预测: 蛇,龙,猴,猪              | 实际: 牛  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:    -89元 | ROI:  -9.43%
第 81期 2025/10/12 | 预测: 蛇,龙,猪,马              | 实际: 马  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    -89元 | ROI:  -9.43%
第 82期 2025/10/13 | 预测: 蛇,猴,龙,猪              | 实际: 兔  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   -105元 | ROI: -10.94%
第 83期 2025/10/14 | 预测: 蛇,猴,龙,猪              | 实际: 猴  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    -76元 | ROI:  -7.79%
第 84期 2025/10/15 | 预测: 蛇,猪,狗,龙              | 实际: 龙  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:    -47元 | ROI:  -4.74%
第 85期 2025/10/16 | 预测: 蛇,狗,猪,鼠              | 实际: 鼠  | 投注:   16元 | [HIT] 命中 +29元 (连胜3)                      | 余额:    -18元 | ROI:  -1.79%
