period,bet,hit,multiplier,bet_amount,profit,balance,reason,fib_index
1,True,False,1,15,-15,-15,正常投注-未中1期,1
2,True,False,1,15,-15,-30,正常投注-未中2期,2
3,True,False,2,30,-30,-60,正常投注-未中(触发止损),3
4,False,False,0,0,0,-60,暂停中-剩余1期,3
5,False,False,0,0,0,-60,暂停结束-恢复投注,3
6,True,False,3,45,-45,-105,正常投注-未中1期,4
7,True,True,5,75,160,55,正常投注-命中,0
8,True,True,1,15,32,87,正常投注-命中,0
9,True,False,1,15,-15,72,正常投注-未中1期,1
10,True,False,1,15,-15,57,正常投注-未中2期,2
11,True,False,2,30,-30,27,正常投注-未中(触发止损),3
12,False,False,0,0,0,27,暂停中-剩余1期,3
13,False,True,0,0,0,27,暂停期命中-提前恢复,3
14,True,False,3,45,-45,-18,正常投注-未中1期,4
15,True,True,5,75,160,142,正常投注-命中,0
16,True,True,1,15,32,174,正常投注-命中,0
17,True,False,1,15,-15,159,正常投注-未中1期,1
18,True,True,1,15,32,191,正常投注-命中,0
19,True,False,1,15,-15,176,正常投注-未中1期,1
20,True,True,1,15,32,208,正常投注-命中,0
21,True,False,1,15,-15,193,正常投注-未中1期,1
22,True,True,1,15,32,225,正常投注-命中,0
23,True,False,1,15,-15,210,正常投注-未中1期,1
24,True,False,1,15,-15,195,正常投注-未中2期,2
25,True,False,2,30,-30,165,正常投注-未中(触发止损),3
26,False,True,0,0,0,165,暂停期命中-提前恢复,3
27,True,False,3,45,-45,120,正常投注-未中1期,4
28,True,False,5,75,-75,45,正常投注-未中2期,5
29,True,False,8,120,-120,-75,正常投注-未中(触发止损),6
30,False,False,0,0,0,-75,暂停中-剩余1期,6
31,False,False,0,0,0,-75,暂停结束-恢复投注,6
32,True,False,13,195,-195,-270,正常投注-未中1期,7
33,True,False,21,315,-315,-585,正常投注-未中2期,8
34,True,True,34,510,1088,503,正常投注-命中,0
35,True,False,1,15,-15,488,正常投注-未中1期,1
36,True,False,1,15,-15,473,正常投注-未中2期,2
37,True,False,2,30,-30,443,正常投注-未中(触发止损),3
38,False,True,0,0,0,443,暂停期命中-提前恢复,3
39,True,False,3,45,-45,398,正常投注-未中1期,4
40,True,False,5,75,-75,323,正常投注-未中2期,5
41,True,False,8,120,-120,203,正常投注-未中(触发止损),6
42,False,False,0,0,0,203,暂停中-剩余1期,6
43,False,False,0,0,0,203,暂停结束-恢复投注,6
44,True,False,13,195,-195,8,正常投注-未中1期,7
45,True,False,21,315,-315,-307,正常投注-未中2期,8
46,True,False,34,510,-510,-817,正常投注-未中(触发止损),9
47,False,False,0,0,0,-817,暂停中-剩余1期,9
48,False,True,0,0,0,-817,暂停期命中-提前恢复,9
49,True,False,55,825,-825,-1642,正常投注-未中1期,10
50,True,True,89,1335,2848,1206,正常投注-命中,0
51,True,True,1,15,32,1238,正常投注-命中,0
52,True,False,1,15,-15,1223,正常投注-未中1期,1
53,True,False,1,15,-15,1208,正常投注-未中2期,2
54,True,False,2,30,-30,1178,正常投注-未中(触发止损),3
55,False,True,0,0,0,1178,暂停期命中-提前恢复,3
56,True,False,3,45,-45,1133,正常投注-未中1期,4
57,True,True,5,75,160,1293,正常投注-命中,0
58,True,True,1,15,32,1325,正常投注-命中,0
59,True,True,1,15,32,1357,正常投注-命中,0
60,True,True,1,15,32,1389,正常投注-命中,0
61,True,False,1,15,-15,1374,正常投注-未中1期,1
62,True,False,1,15,-15,1359,正常投注-未中2期,2
63,True,True,2,30,64,1423,正常投注-命中,0
64,True,False,1,15,-15,1408,正常投注-未中1期,1
65,True,False,1,15,-15,1393,正常投注-未中2期,2
66,True,True,2,30,64,1457,正常投注-命中,0
67,True,False,1,15,-15,1442,正常投注-未中1期,1
68,True,True,1,15,32,1474,正常投注-命中,0
69,True,False,1,15,-15,1459,正常投注-未中1期,1
70,True,True,1,15,32,1491,正常投注-命中,0
71,True,False,1,15,-15,1476,正常投注-未中1期,1
72,True,False,1,15,-15,1461,正常投注-未中2期,2
73,True,False,2,30,-30,1431,正常投注-未中(触发止损),3
74,False,True,0,0,0,1431,暂停期命中-提前恢复,3
75,True,False,3,45,-45,1386,正常投注-未中1期,4
76,True,False,5,75,-75,1311,正常投注-未中2期,5
77,True,False,8,120,-120,1191,正常投注-未中(触发止损),6
78,False,True,0,0,0,1191,暂停期命中-提前恢复,6
79,True,True,13,195,416,1607,正常投注-命中,0
80,True,False,1,15,-15,1592,正常投注-未中1期,1
81,True,False,1,15,-15,1577,正常投注-未中2期,2
82,True,True,2,30,64,1641,正常投注-命中,0
83,True,False,1,15,-15,1626,正常投注-未中1期,1
84,True,False,1,15,-15,1611,正常投注-未中2期,2
85,True,False,2,30,-30,1581,正常投注-未中(触发止损),3
86,False,False,0,0,0,1581,暂停中-剩余1期,3
87,False,False,0,0,0,1581,暂停结束-恢复投注,3
88,True,False,3,45,-45,1536,正常投注-未中1期,4
89,True,True,5,75,160,1696,正常投注-命中,0
90,True,False,1,15,-15,1681,正常投注-未中1期,1
91,True,True,1,15,32,1713,正常投注-命中,0
92,True,False,1,15,-15,1698,正常投注-未中1期,1
93,True,False,1,15,-15,1683,正常投注-未中2期,2
94,True,True,2,30,64,1747,正常投注-命中,0
95,True,True,1,15,32,1779,正常投注-命中,0
96,True,False,1,15,-15,1764,正常投注-未中1期,1
97,True,False,1,15,-15,1749,正常投注-未中2期,2
98,True,True,2,30,64,1813,正常投注-命中,0
99,True,False,1,15,-15,1798,正常投注-未中1期,1
100,True,False,1,15,-15,1783,正常投注-未中2期,2
101,True,False,2,30,-30,1753,正常投注-未中(触发止损),3
102,False,True,0,0,0,1753,暂停期命中-提前恢复,3
103,True,False,3,45,-45,1708,正常投注-未中1期,4
104,True,False,5,75,-75,1633,正常投注-未中2期,5
105,True,True,8,120,256,1889,正常投注-命中,0
106,True,False,1,15,-15,1874,正常投注-未中1期,1
107,True,False,1,15,-15,1859,正常投注-未中2期,2
108,True,False,2,30,-30,1829,正常投注-未中(触发止损),3
109,False,False,0,0,0,1829,暂停中-剩余1期,3
110,False,True,0,0,0,1829,暂停期命中-提前恢复,3
111,True,False,3,45,-45,1784,正常投注-未中1期,4
112,True,False,5,75,-75,1709,正常投注-未中2期,5
113,True,True,8,120,256,1965,正常投注-命中,0
114,True,True,1,15,32,1997,正常投注-命中,0
115,True,False,1,15,-15,1982,正常投注-未中1期,1
116,True,False,1,15,-15,1967,正常投注-未中2期,2
117,True,True,2,30,64,2031,正常投注-命中,0
118,True,True,1,15,32,2063,正常投注-命中,0
119,True,True,1,15,32,2095,正常投注-命中,0
120,True,False,1,15,-15,2080,正常投注-未中1期,1
121,True,False,1,15,-15,2065,正常投注-未中2期,2
122,True,False,2,30,-30,2035,正常投注-未中(触发止损),3
123,False,True,0,0,0,2035,暂停期命中-提前恢复,3
124,True,False,3,45,-45,1990,正常投注-未中1期,4
125,True,False,5,75,-75,1915,正常投注-未中2期,5
126,True,False,8,120,-120,1795,正常投注-未中(触发止损),6
127,False,False,0,0,0,1795,暂停中-剩余1期,6
128,False,True,0,0,0,1795,暂停期命中-提前恢复,6
129,True,True,13,195,416,2211,正常投注-命中,0
130,True,False,1,15,-15,2196,正常投注-未中1期,1
131,True,False,1,15,-15,2181,正常投注-未中2期,2
132,True,True,2,30,64,2245,正常投注-命中,0
133,True,True,1,15,32,2277,正常投注-命中,0
134,True,True,1,15,32,2309,正常投注-命中,0
135,True,False,1,15,-15,2294,正常投注-未中1期,1
136,True,False,1,15,-15,2279,正常投注-未中2期,2
137,True,False,2,30,-30,2249,正常投注-未中(触发止损),3
138,False,False,0,0,0,2249,暂停中-剩余1期,3
139,False,False,0,0,0,2249,暂停结束-恢复投注,3
140,True,True,3,45,96,2345,正常投注-命中,0
141,True,False,1,15,-15,2330,正常投注-未中1期,1
142,True,False,1,15,-15,2315,正常投注-未中2期,2
143,True,False,2,30,-30,2285,正常投注-未中(触发止损),3
144,False,True,0,0,0,2285,暂停期命中-提前恢复,3
145,True,False,3,45,-45,2240,正常投注-未中1期,4
146,True,False,5,75,-75,2165,正常投注-未中2期,5
147,True,False,8,120,-120,2045,正常投注-未中(触发止损),6
148,False,True,0,0,0,2045,暂停期命中-提前恢复,6
149,True,False,13,195,-195,1850,正常投注-未中1期,7
150,True,False,21,315,-315,1535,正常投注-未中2期,8
151,True,False,34,510,-510,1025,正常投注-未中(触发止损),9
152,False,False,0,0,0,1025,暂停中-剩余1期,9
153,False,True,0,0,0,1025,暂停期命中-提前恢复,9
154,True,False,55,825,-825,200,正常投注-未中1期,10
155,True,True,89,1335,2848,3048,正常投注-命中,0
156,True,True,1,15,32,3080,正常投注-命中,0
157,True,False,1,15,-15,3065,正常投注-未中1期,1
158,True,False,1,15,-15,3050,正常投注-未中2期,2
159,True,False,2,30,-30,3020,正常投注-未中(触发止损),3
160,False,False,0,0,0,3020,暂停中-剩余1期,3
161,False,False,0,0,0,3020,暂停结束-恢复投注,3
162,True,True,3,45,96,3116,正常投注-命中,0
163,True,False,1,15,-15,3101,正常投注-未中1期,1
164,True,False,1,15,-15,3086,正常投注-未中2期,2
165,True,False,2,30,-30,3056,正常投注-未中(触发止损),3
166,False,True,0,0,0,3056,暂停期命中-提前恢复,3
167,True,False,3,45,-45,3011,正常投注-未中1期,4
168,True,False,5,75,-75,2936,正常投注-未中2期,5
169,True,False,8,120,-120,2816,正常投注-未中(触发止损),6
170,False,False,0,0,0,2816,暂停中-剩余1期,6
171,False,True,0,0,0,2816,暂停期命中-提前恢复,6
172,True,True,13,195,416,3232,正常投注-命中,0
173,True,False,1,15,-15,3217,正常投注-未中1期,1
174,True,True,1,15,32,3249,正常投注-命中,0
175,True,False,1,15,-15,3234,正常投注-未中1期,1
176,True,False,1,15,-15,3219,正常投注-未中2期,2
177,True,True,2,30,64,3283,正常投注-命中,0
178,True,True,1,15,32,3315,正常投注-命中,0
179,True,False,1,15,-15,3300,正常投注-未中1期,1
180,True,True,1,15,32,3332,正常投注-命中,0
181,True,True,1,15,32,3364,正常投注-命中,0
