total_bet,total_win,balance,roi,max_drawdown,downgrade_triggered,hit_count,hit_rate,trigger_after,downgrade_to,duration,reward_risk_ratio
6630,8225,1595,24.057315233785822,541,3,69,34.5,7,2,2,0.04438619046823952
6435,7943,1508,23.434343434343436,579,3,69,34.5,7,1,2,0.04040404040404041
6495,7990,1495,23.017705927636644,641,2,69,34.5,7,2,4,0.03585312449787639
6495,7990,1495,23.017705927636644,592,2,69,34.5,7,2,3,0.03881569296397411
6345,7802,1457,22.962962962962962,630,2,69,34.5,7,1,4,0.03639138345952926
6360,7802,1442,22.67295597484277,613,3,69,34.5,7,0,2,0.036926638395509394
6360,7802,1442,22.67295597484277,613,2,69,34.5,7,1,3,0.036926638395509394
6330,7755,1425,22.511848341232227,630,2,69,34.5,7,0,3,0.03567646329830781
6465,7896,1431,22.134570765661252,673,2,69,34.5,7,2,5,0.032840609444601265
6315,7708,1393,22.058590657165478,662,2,69,34.5,7,0,4,0.033270875802662865
6315,7708,1393,22.058590657165478,662,2,69,34.5,7,1,5,0.033270875802662865
6315,7708,1393,22.058590657165478,662,2,69,34.5,7,0,5,0.033270875802662865
6285,7614,1329,21.14558472553699,442,5,69,34.5,6,2,3,0.0477326968973747
4860,5875,1015,20.88477366255144,243,17,69,34.5,4,2,2,0.08559333468258787
6090,7332,1242,20.39408866995074,561,4,69,34.5,6,2,4,0.03628841400347107
5820,7003,1183,20.326460481099655,601,5,69,34.5,6,2,2,0.0337648845200991
5280,6345,1065,20.170454545454543,288,14,69,34.5,4,2,3,0.06979396036489462
5685,6815,1130,19.876868953386104,293,10,69,34.5,5,2,2,0.067608397800633
5070,6063,993,19.585798816568047,243,13,69,34.5,4,2,4,0.08026966728101659
5400,6439,1039,19.24074074074074,331,8,69,34.5,5,2,3,0.057954038375725124
5955,7097,1142,19.177162048698573,661,4,69,34.5,6,2,5,0.028968522732173072
5805,6909,1104,19.018087855297157,567,5,69,34.5,6,1,3,0.03348254904101612
5655,6721,1066,18.850574712643677,637,5,69,34.5,6,1,2,0.029546355348971282
5745,6815,1070,18.624891209747606,352,8,69,34.5,5,2,4,0.05276173147237282
5670,6721,1051,18.53615520282187,637,4,69,34.5,6,1,4,0.029053534800661238
5640,6674,1034,18.333333333333332,637,5,69,34.5,6,0,3,0.028735632183908046
5640,6674,1034,18.333333333333332,637,5,69,34.5,6,0,2,0.028735632183908046
5565,6580,1015,18.238993710691823,688,4,69,34.5,6,1,5,0.02647168898503893
5100,6016,916,17.96078431372549,288,10,69,34.5,5,1,2,0.062148042608046676
5550,6533,983,17.71171171171171,688,4,69,34.5,6,0,4,0.02570640306489363
4935,5781,846,17.142857142857142,322,8,69,34.5,5,1,3,0.05307386112339672
5490,6392,902,16.429872495446265,737,4,69,34.5,6,0,5,0.022262699858328273
5010,5828,818,16.32734530938124,296,8,69,34.5,5,1,4,0.05497422663091327
5505,6392,887,16.112624886466847,291,7,69,34.5,5,2,5,0.05518022221392756
4905,5687,782,15.942915392456678,322,10,69,34.5,5,0,2,0.049358871184076406
4260,4935,675,15.845070422535212,238,17,69,34.5,4,1,2,0.06629736578466616
4350,5029,679,15.60919540229885,270,14,69,34.5,4,1,3,0.05759850701955295
4845,5593,748,15.43859649122807,322,8,69,34.5,5,0,3,0.04779751235674325
4845,5546,701,14.468524251805986,322,7,69,34.5,5,1,5,0.04479419273004949
4815,5499,684,14.205607476635516,322,8,69,34.5,5,0,4,0.04398020890599231
5775,6580,805,13.939393939393941,307,13,69,34.5,4,2,5,0.04525777253049981
4185,4747,562,13.428912783751493,270,17,69,34.5,4,0,2,0.049553183703880045
4185,4747,562,13.428912783751493,270,13,69,34.5,4,1,4,0.049553183703880045
4725,5358,633,13.396825396825395,373,7,69,34.5,5,0,5,0.03582038876156523
4140,4653,513,12.391304347826088,287,14,69,34.5,4,0,3,0.04302536231884058
4095,4559,464,11.330891330891331,270,13,69,34.5,4,0,4,0.04181140712506026
4380,4841,461,10.525114155251142,273,13,69,34.5,4,1,5,0.038412825384128255
4065,4465,400,9.84009840098401,270,13,69,34.5,4,0,5,0.036310326202893026
