period,actual,hit,bet,multiplier,downgraded,balance
1,43,False,15,1,False,-15
2,25,False,15,1,False,-30
3,16,False,30,2,False,-60
4,32,False,45,3,False,-105
5,31,False,75,5,False,-180
6,40,False,120,8,False,-300
7,15,True,195,13,False,116
8,2,True,15,1,False,148
9,39,False,15,1,False,133
10,38,False,15,1,False,118
11,42,False,30,2,False,88
12,37,False,45,3,False,43
13,13,True,75,5,False,203
14,42,False,15,1,False,188
15,39,True,15,1,False,220
16,2,True,15,1,False,252
17,46,False,15,1,False,237
18,4,True,15,1,False,269
19,28,False,15,1,False,254
20,1,True,15,1,False,286
21,34,False,15,1,False,271
22,8,True,15,1,False,303
23,24,False,15,1,False,288
24,44,False,15,1,False,273
25,6,False,30,2,False,243
26,25,True,45,3,False,339
27,12,False,15,1,False,324
28,35,False,15,1,False,309
29,23,False,30,2,False,279
30,33,False,45,3,False,234
31,17,False,75,5,False,159
32,42,False,120,8,False,39
33,48,False,195,13,True,-156
34,28,True,30,2,True,-92
35,38,False,30,2,False,-122
36,47,False,45,3,False,-167
37,3,False,75,5,False,-242
38,33,True,120,8,False,14
39,44,False,15,1,False,-1
40,38,False,15,1,False,-16
41,43,False,30,2,False,-46
42,10,False,45,3,False,-91
43,41,False,75,5,False,-166
44,29,False,120,8,False,-286
45,10,False,195,13,True,-481
46,31,False,30,2,True,-511
47,35,False,30,2,True,-541
48,6,True,30,2,True,-477
49,36,False,30,2,False,-507
50,4,True,45,3,False,-411
51,44,True,15,1,False,-379
52,45,False,15,1,False,-394
53,9,False,15,1,False,-409
54,16,False,30,2,False,-439
55,28,True,45,3,False,-343
56,27,False,15,1,False,-358
57,42,True,15,1,False,-326
58,47,True,15,1,False,-294
59,41,True,15,1,False,-262
60,45,True,15,1,False,-230
61,41,False,15,1,False,-245
62,24,False,15,1,False,-260
63,3,True,30,2,False,-196
64,34,False,15,1,False,-211
65,14,False,15,1,False,-226
66,42,True,30,2,False,-162
67,19,False,15,1,False,-177
68,44,True,15,1,False,-145
69,2,False,15,1,False,-160
70,47,True,15,1,False,-128
71,18,False,15,1,False,-143
72,5,False,15,1,False,-158
73,22,False,30,2,False,-188
74,44,True,45,3,False,-92
75,23,False,15,1,False,-107
76,49,False,15,1,False,-122
77,40,False,30,2,False,-152
78,5,True,45,3,False,-56
79,22,True,15,1,False,-24
80,15,False,15,1,False,-39
81,48,False,15,1,False,-54
82,42,True,30,2,False,10
83,17,False,15,1,False,-5
84,20,False,15,1,False,-20
85,39,False,30,2,False,-50
86,6,False,45,3,False,-95
87,16,False,75,5,False,-170
88,37,False,120,8,False,-290
89,14,True,195,13,False,126
90,38,False,15,1,False,111
91,23,True,15,1,False,143
92,4,False,15,1,False,128
93,24,False,15,1,False,113
94,18,True,30,2,False,177
95,6,True,15,1,False,209
96,45,False,15,1,False,194
97,28,False,15,1,False,179
98,23,True,30,2,False,243
99,47,False,15,1,False,228
100,9,False,15,1,False,213
101,15,False,30,2,False,183
102,4,True,45,3,False,279
103,19,False,15,1,False,264
104,37,False,15,1,False,249
105,3,True,30,2,False,313
106,17,False,15,1,False,298
107,36,False,15,1,False,283
108,26,False,30,2,False,253
109,26,False,45,3,False,208
110,6,True,75,5,False,368
111,46,False,15,1,False,353
112,44,False,15,1,False,338
113,17,True,30,2,False,402
114,9,True,15,1,False,434
115,8,False,15,1,False,419
116,48,False,15,1,False,404
117,26,True,30,2,False,468
118,6,True,15,1,False,500
119,4,True,15,1,False,532
120,38,False,15,1,False,517
121,27,False,15,1,False,502
122,24,False,30,2,False,472
123,3,True,45,3,False,568
124,13,False,15,1,False,553
125,16,False,15,1,False,538
126,22,False,30,2,False,508
127,49,False,45,3,False,463
128,4,True,75,5,False,623
129,44,True,15,1,False,655
130,1,False,15,1,False,640
131,30,False,15,1,False,625
132,8,True,30,2,False,689
133,24,True,15,1,False,721
134,49,True,15,1,False,753
135,7,False,15,1,False,738
136,11,False,15,1,False,723
137,41,False,30,2,False,693
138,24,False,45,3,False,648
139,23,False,75,5,False,573
140,26,True,120,8,False,829
141,12,False,15,1,False,814
142,26,False,15,1,False,799
143,29,False,30,2,False,769
144,22,True,45,3,False,865
145,9,False,15,1,False,850
146,45,False,15,1,False,835
147,43,False,30,2,False,805
148,13,True,45,3,False,901
149,41,False,15,1,False,886
150,21,False,15,1,False,871
151,28,False,30,2,False,841
152,27,False,45,3,False,796
153,11,True,75,5,False,956
154,11,False,15,1,False,941
155,1,True,15,1,False,973
156,26,True,15,1,False,1005
157,31,False,15,1,False,990
158,6,False,15,1,False,975
159,32,False,30,2,False,945
160,39,False,45,3,False,900
161,46,False,75,5,False,825
162,12,True,120,8,False,1081
163,42,False,15,1,False,1066
164,18,False,15,1,False,1051
165,47,False,30,2,False,1021
166,28,True,45,3,False,1117
167,37,False,15,1,False,1102
168,19,False,15,1,False,1087
169,45,False,30,2,False,1057
170,3,False,45,3,False,1012
171,1,True,75,5,False,1172
172,41,True,15,1,False,1204
173,26,False,15,1,False,1189
174,6,True,15,1,False,1221
175,41,False,15,1,False,1206
176,19,False,15,1,False,1191
177,27,True,30,2,False,1255
178,1,True,15,1,False,1287
179,43,False,15,1,False,1272
180,42,True,15,1,False,1304
181,11,True,15,1,False,1336
182,28,True,15,1,False,1368
183,36,False,15,1,False,1353
184,16,False,15,1,False,1338
185,13,False,30,2,False,1308
186,19,True,45,3,False,1404
187,1,True,15,1,False,1436
188,3,True,15,1,False,1468
189,39,True,15,1,False,1500
190,24,False,15,1,False,1485
191,13,True,15,1,False,1517
192,23,False,15,1,False,1502
193,1,True,15,1,False,1534
194,38,False,15,1,False,1519
195,15,False,15,1,False,1504
196,48,False,30,2,False,1474
197,14,False,45,3,False,1429
198,48,False,75,5,False,1354
199,23,True,120,8,False,1610
200,31,False,15,1,False,1595
