period,actual,hit,bet,multiplier,recent_rate,is_boosted,is_reduced,balance
1,43,False,15.0,1.0,0.0,False,False,-15.0
2,25,False,15.0,1.0,0.0,False,False,-30.0
3,16,False,30.0,2.0,0.0,False,False,-60.0
4,32,False,45.0,3.0,0.0,False,False,-105.0
5,31,False,75.0,5.0,0.0,False,False,-180.0
6,40,False,120.0,8.0,0.0,False,False,-300.0
7,15,True,195.0,13.0,0.14285714285714285,False,False,116.0
8,2,True,15.0,1.0,0.25,False,False,148.0
9,39,False,15.0,1.0,0.2222222222222222,False,False,133.0
10,38,False,15.0,1.0,0.2,False,False,118.0
11,42,False,30.0,2.0,0.18181818181818182,False,False,88.0
12,37,False,45.0,3.0,0.16666666666666666,False,True,43.0
13,13,True,60.0,4.0,0.25,False,False,171.0
14,42,False,15.0,1.0,0.25,False,False,156.0
15,39,True,15.0,1.0,0.3333333333333333,False,False,188.0
16,2,True,15.0,1.0,0.4166666666666667,True,False,220.0
17,46,False,18.0,1.2,0.4166666666666667,True,False,202.0
18,4,True,18.0,1.2,0.5,True,False,240.4
19,28,False,18.0,1.2,0.4166666666666667,True,False,222.4
20,1,True,18.0,1.2,0.4166666666666667,True,False,260.8
21,34,False,18.0,1.2,0.4166666666666667,True,False,242.8
22,8,True,18.0,1.2,0.5,True,False,281.2
23,24,False,18.0,1.2,0.5,True,False,263.2
24,44,False,18.0,1.2,0.5,True,False,245.2
25,6,False,36.0,2.4,0.4166666666666667,True,False,209.2
26,25,True,53.99999999999999,3.5999999999999996,0.5,True,False,324.4
27,12,False,18.0,1.2,0.4166666666666667,True,False,306.4
28,35,False,18.0,1.2,0.3333333333333333,False,False,288.4
29,23,False,30.0,2.0,0.3333333333333333,False,False,258.4
30,33,False,45.0,3.0,0.25,False,False,213.39999999999998
31,17,False,75.0,5.0,0.25,False,False,138.39999999999998
32,42,False,120.0,8.0,0.16666666666666666,False,True,18.399999999999977
33,48,False,156.0,10.4,0.16666666666666666,False,True,-137.60000000000002
34,28,True,252.0,16.8,0.16666666666666666,False,True,400.0
35,38,False,15.0,1.0,0.16666666666666666,False,True,385.0
36,47,False,15.0,1.0,0.16666666666666666,False,True,370.0
37,3,False,24.0,1.6,0.16666666666666666,False,True,346.0
38,33,True,36.00000000000001,2.4000000000000004,0.16666666666666666,False,True,422.8
39,44,False,15.0,1.0,0.16666666666666666,False,True,407.8
40,38,False,15.0,1.0,0.16666666666666666,False,True,392.8
41,43,False,24.0,1.6,0.16666666666666666,False,True,368.8
42,10,False,36.00000000000001,2.4000000000000004,0.16666666666666666,False,True,332.8
43,41,False,60.0,4.0,0.16666666666666666,False,True,272.8
44,29,False,96.0,6.4,0.16666666666666666,False,True,176.8
45,10,False,156.0,10.4,0.16666666666666666,False,True,20.80000000000001
46,31,False,252.0,16.8,0.08333333333333333,False,True,-231.2
47,35,False,408.00000000000006,27.200000000000003,0.08333333333333333,False,True,-639.2
48,6,True,660.0,44.0,0.16666666666666666,False,True,768.8
49,36,False,15.0,1.0,0.16666666666666666,False,True,753.8
50,4,True,15.0,1.0,0.16666666666666666,False,True,785.8
51,44,True,15.0,1.0,0.25,False,False,817.8
52,45,False,15.0,1.0,0.25,False,False,802.8
