period,actual,hit,bet,balance,paused
1,43,False,15,-15,False
2,25,False,15,-30,False
3,16,False,30,-60,False
4,32,False,45,-105,False
5,31,False,75,-180,False
6,40,False,120,-300,False
7,15,True,195,116,False
8,2,True,15,148,False
9,39,False,15,133,False
10,38,False,15,118,False
11,42,False,30,88,False
12,37,False,45,43,False
13,13,True,75,203,False
14,42,False,15,188,False
15,39,True,15,220,False
16,2,True,15,252,False
17,46,False,15,237,False
18,4,True,15,269,False
19,28,False,15,254,False
20,1,True,15,286,False
21,34,False,15,271,False
22,8,True,15,303,False
23,24,False,15,288,False
24,44,False,15,273,False
25,6,False,30,243,False
26,25,True,45,339,False
27,12,False,15,324,False
28,35,False,15,309,False
29,23,False,30,279,False
30,33,False,45,234,False
31,17,False,75,159,False
32,42,False,120,39,False
33,48,False,195,-156,False
34,28,True,0,-156,True
35,38,False,15,-171,False
36,47,False,15,-186,False
37,3,False,30,-216,False
38,33,True,45,-120,False
39,44,False,15,-135,False
40,38,False,15,-150,False
41,43,False,30,-180,False
42,10,False,45,-225,False
43,41,False,75,-300,False
44,29,False,120,-420,False
45,10,False,195,-615,False
46,31,False,0,-615,True
47,35,False,0,-615,True
48,6,True,15,-583,False
49,36,False,15,-598,False
50,4,True,15,-566,False
51,44,True,15,-534,False
52,45,False,15,-549,False
53,9,False,15,-564,False
54,16,False,30,-594,False
55,28,True,45,-498,False
56,27,False,15,-513,False
57,42,True,15,-481,False
58,47,True,15,-449,False
59,41,True,15,-417,False
60,45,True,15,-385,False
61,41,False,15,-400,False
62,24,False,15,-415,False
63,3,True,30,-351,False
64,34,False,15,-366,False
65,14,False,15,-381,False
66,42,True,30,-317,False
67,19,False,15,-332,False
68,44,True,15,-300,False
69,2,False,15,-315,False
70,47,True,15,-283,False
71,18,False,15,-298,False
72,5,False,15,-313,False
73,22,False,30,-343,False
74,44,True,45,-247,False
75,23,False,15,-262,False
76,49,False,15,-277,False
77,40,False,30,-307,False
78,5,True,45,-211,False
79,22,True,15,-179,False
80,15,False,15,-194,False
81,48,False,15,-209,False
82,42,True,30,-145,False
83,17,False,15,-160,False
84,20,False,15,-175,False
85,39,False,30,-205,False
86,6,False,45,-250,False
87,16,False,75,-325,False
88,37,False,120,-445,False
89,14,True,195,-29,False
90,38,False,15,-44,False
91,23,True,15,-12,False
92,4,False,15,-27,False
93,24,False,15,-42,False
94,18,True,30,22,False
95,6,True,15,54,False
96,45,False,15,39,False
97,28,False,15,24,False
98,23,True,30,88,False
99,47,False,15,73,False
100,9,False,15,58,False
101,15,False,30,28,False
102,4,True,45,124,False
103,19,False,15,109,False
104,37,False,15,94,False
105,3,True,30,158,False
106,17,False,15,143,False
107,36,False,15,128,False
108,26,False,30,98,False
109,26,False,45,53,False
110,6,True,75,213,False
111,46,False,15,198,False
112,44,False,15,183,False
113,17,True,30,247,False
114,9,True,15,279,False
115,8,False,15,264,False
116,48,False,15,249,False
117,26,True,30,313,False
118,6,True,15,345,False
119,4,True,15,377,False
120,38,False,15,362,False
121,27,False,15,347,False
122,24,False,30,317,False
123,3,True,45,413,False
124,13,False,15,398,False
125,16,False,15,383,False
126,22,False,30,353,False
127,49,False,45,308,False
128,4,True,75,468,False
129,44,True,15,500,False
130,1,False,15,485,False
131,30,False,15,470,False
132,8,True,30,534,False
133,24,True,15,566,False
134,49,True,15,598,False
135,7,False,15,583,False
136,11,False,15,568,False
137,41,False,30,538,False
138,24,False,45,493,False
139,23,False,75,418,False
140,26,True,120,674,False
141,12,False,15,659,False
142,26,False,15,644,False
143,29,False,30,614,False
144,22,True,45,710,False
145,9,False,15,695,False
146,45,False,15,680,False
147,43,False,30,650,False
148,13,True,45,746,False
149,41,False,15,731,False
150,21,False,15,716,False
151,28,False,30,686,False
152,27,False,45,641,False
153,11,True,75,801,False
154,11,False,15,786,False
155,1,True,15,818,False
156,26,True,15,850,False
157,31,False,15,835,False
158,6,False,15,820,False
159,32,False,30,790,False
160,39,False,45,745,False
161,46,False,75,670,False
162,12,True,120,926,False
163,42,False,15,911,False
164,18,False,15,896,False
165,47,False,30,866,False
166,28,True,45,962,False
167,37,False,15,947,False
168,19,False,15,932,False
169,45,False,30,902,False
170,3,False,45,857,False
171,1,True,75,1017,False
172,41,True,15,1049,False
173,26,False,15,1034,False
174,6,True,15,1066,False
175,41,False,15,1051,False
176,19,False,15,1036,False
177,27,True,30,1100,False
178,1,True,15,1132,False
179,43,False,15,1117,False
180,42,True,15,1149,False
181,11,True,15,1181,False
182,28,True,15,1213,False
183,36,False,15,1198,False
184,16,False,15,1183,False
185,13,False,30,1153,False
186,19,True,45,1249,False
187,1,True,15,1281,False
188,3,True,15,1313,False
189,39,True,15,1345,False
190,24,False,15,1330,False
191,13,True,15,1362,False
192,23,False,15,1347,False
193,1,True,15,1379,False
194,38,False,15,1364,False
195,15,False,15,1349,False
196,48,False,30,1319,False
197,14,False,45,1274,False
198,48,False,75,1199,False
199,23,True,120,1455,False
200,31,False,15,1440,False
