total_bet,total_win,balance,roi,max_drawdown,hit_count,hit_rate,pause_triggered,pause_cancelled,stop_after,pause,reward_risk_ratio
6315,7755,1440,22.802850356294538,615,69,34.5,1,1,7,2,0.037017614214763864
6330,7755,1425,22.511848341232227,630,69,34.5,2,1,7,1,0.03567646329830781
6300,7708,1408,22.349206349206348,630,69,34.5,1,2,7,4,0.03541871053756949
6300,7708,1408,22.349206349206348,630,69,34.5,1,2,7,3,0.03541871053756949
6300,7708,1408,22.349206349206348,630,69,34.5,1,2,7,5,0.03541871053756949
5595,6627,1032,18.445040214477213,639,69,34.5,4,2,6,1,0.028820375335120645
5535,6533,998,18.030713640469738,641,69,34.5,2,3,6,3,0.028085223739049436
5550,6533,983,17.71171171171171,656,69,34.5,2,3,6,2,0.026958465314629698
5520,6486,966,17.5,656,69,34.5,2,4,6,5,0.02663622526636225
5520,6486,966,17.5,656,69,34.5,2,4,6,4,0.02663622526636225
4845,5640,795,16.408668730650156,292,69,34.5,7,3,5,1,0.05600228235716777
4755,5499,744,15.646687697160882,279,69,34.5,4,5,5,2,0.05588102748986029
4695,5405,710,15.122470713525027,281,69,34.5,4,6,5,4,0.053625782672074566
4710,5405,695,14.755838641188959,296,69,34.5,4,6,5,3,0.04968295838784161
4680,5358,678,14.487179487179489,296,69,34.5,4,7,5,5,0.04877838211171545
3945,4465,520,13.181242078580482,227,69,34.5,7,8,4,2,0.057812465256931934
3855,4324,469,12.166018158236056,214,69,34.5,7,10,4,3,0.056586130968539795
3795,4230,435,11.462450592885375,216,69,34.5,7,11,4,5,0.052822352962605415
4050,4512,462,11.407407407407408,285,69,34.5,13,6,4,1,0.03988603988603989
3810,4230,420,11.023622047244094,231,69,34.5,7,11,4,4,0.047515612272603855
3180,3243,63,1.9811320754716981,297,69,34.5,25,12,3,1,0.006648094212992276
2970,2961,-9,-0.30303030303030304,263,69,34.5,13,17,3,2,-0.001147842056932966
2820,2773,-47,-1.6666666666666667,238,69,34.5,12,21,3,4,-0.00697350069735007
2865,2773,-92,-3.2111692844677138,283,69,34.5,12,20,3,3,-0.011306934100238428
2775,2679,-96,-3.4594594594594597,287,69,34.5,12,22,3,5,-0.012012012012012012
