失败阈值,暂停期数,监控恢复,净收益,ROI(%),最大回撤,实际投注,命中次数,命中率(%),跳过投注,跳过期间命中,触发止损,提前恢复
3,2,是,3551,28.249801113762928,2145,163,52,31.901840490797547,37,17,24,17
6,2,否,3462,31.7032967032967,2145,192,65,33.85416666666667,8,4,4,0
7,3,是,3326,33.34335839598997,2145,196,67,34.183673469387756,4,2,2,2
7,4,是,3326,33.34335839598997,2145,196,67,34.183673469387756,4,2,2,2
7,5,是,3326,33.34335839598997,2145,196,67,34.183673469387756,4,2,2,2
7,6,是,3326,33.34335839598997,2145,196,67,34.183673469387756,4,2,2,2
7,7,是,3326,33.34335839598997,2145,196,67,34.183673469387756,4,2,2,2
7,2,是,3242,34.14428646656135,2145,197,68,34.51776649746193,3,1,2,1
6,3,否,3104,33.702497285559176,1320,188,64,34.04255319148936,12,5,4,0
6,2,是,2991,35.480427046263344,1320,194,66,34.02061855670103,6,3,4,3
7,2,否,2979,36.50735294117647,1320,196,68,34.69387755102041,4,1,2,0
6,4,是,2974,35.404761904761905,1320,192,65,33.85416666666667,8,4,4,4
6,5,是,2974,35.404761904761905,1320,192,65,33.85416666666667,8,4,4,4
6,6,是,2974,35.404761904761905,1320,192,65,33.85416666666667,8,4,4,4
6,7,是,2974,35.404761904761905,1320,192,65,33.85416666666667,8,4,4,4
6,3,是,2930,36.10597658656808,1320,193,66,34.196891191709845,7,3,4,3
7,3,否,2901,37.12092130518234,810,194,67,34.5360824742268,6,2,2,0
6,4,否,2784,36.3921568627451,810,184,63,34.23913043478261,16,6,4,0
3,2,否,2707,32.28384019081694,1320,156,51,32.69230769230769,44,18,22,0
5,3,否,2703,32.58589511754069,1320,180,62,34.44444444444444,20,7,7,0
7,4,否,2699,39.72038263428992,495,192,67,34.89583333333333,8,2,2,0
5,5,否,2662,31.57769869513642,1320,168,58,34.523809523809526,32,11,7,0
5,3,是,2638,30.692262943571848,810,187,63,33.68983957219251,13,6,7,6
5,5,是,2621,30.601284296555747,810,185,62,33.513513513513516,15,7,7,7
5,6,是,2621,30.601284296555747,810,185,62,33.513513513513516,15,7,7,7
5,7,是,2621,30.601284296555747,810,185,62,33.513513513513516,15,7,7,7
5,4,是,2598,30.928571428571427,810,186,63,33.87096774193548,14,6,7,6
4,4,否,2576,29.91869918699187,1320,153,49,32.02614379084967,47,20,12,0
5,2,是,2533,31.682301438399,810,189,64,33.86243386243386,11,5,7,5
5,7,否,2503,31.190031152647972,2145,156,55,35.256410256410255,44,14,7,0
6,5,否,2500,40.35512510088781,495,180,63,35.0,20,6,4,0
5,2,否,2451,35.75492341356674,495,186,64,34.40860215053764,14,5,7,0
4,2,是,2389,34.77438136826783,495,181,61,33.70165745856354,19,8,12,8
5,4,否,2387,34.97435897435898,810,174,61,35.05747126436782,26,8,7,0
4,2,否,2338,34.48377581120944,495,176,59,33.52272727272727,24,10,12,0
4,4,是,2325,33.99122807017544,495,175,58,33.14285714285714,25,11,12,11
4,6,是,2308,33.8913362701909,495,173,57,32.947976878612714,27,12,12,12
4,7,是,2308,33.8913362701909,495,173,57,32.947976878612714,27,12,12,12
4,5,是,2304,34.285714285714285,495,174,58,33.33333333333333,26,11,12,11
4,3,是,2279,35.007680491551454,495,177,59,33.33333333333333,23,10,12,10
5,6,否,2218,35.80306698950766,810,162,58,35.80246913580247,38,11,7,0
3,5,否,2192,28.375404530744337,2145,116,37,31.896551724137932,84,32,17,0
4,7,否,2141,30.8946608946609,2145,134,45,33.582089552238806,66,24,10,0
4,3,否,2035,38.761904761904766,300,164,55,33.53658536585366,36,14,12,0
4,6,否,1887,34.655647382920115,495,143,47,32.86713286713287,57,22,10,0
3,4,否,1734,38.79194630872483,495,132,45,34.090909090909086,68,24,17,0
3,6,否,1677,33.87878787878788,810,112,36,32.142857142857146,88,33,15,0
3,7,否,1450,38.97849462365591,300,105,37,35.23809523809524,95,32,14,0
6,6,否,1111,8.775671406003159,5640,176,60,34.090909090909086,24,9,4,0
3,3,是,-357,-1.8016654049962149,7800,157,49,31.210191082802545,43,20,24,20
3,4,是,-856,-4.919540229885057,7800,154,48,31.16883116883117,46,21,23,21
3,3,否,-1369,-9.331970006816633,7800,143,50,34.96503496503497,57,19,19,0
4,5,否,-1450,-9.924709103353866,7800,147,48,32.6530612244898,53,21,11,0
3,6,是,-2282,-9.75839213170836,7800,151,47,31.125827814569533,49,22,23,22
7,5,否,-3039,-17.586805555555557,9960,190,65,34.21052631578947,10,4,2,0
6,7,否,-3073,-17.14365411436541,9960,172,57,33.13953488372093,28,12,4,0
7,7,否,-3075,-17.903930131004365,9960,186,64,34.40860215053764,14,5,2,0
3,5,是,-4442,-17.388921511058918,9889,152,47,30.92105263157895,48,22,23,22
3,7,是,-4459,-17.47599451303155,9906,150,46,30.666666666666664,50,23,23,23
7,6,否,-7395,-34.40334961618981,14280,188,64,34.04255319148936,12,5,2,0
