period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
1,8,"[10, 15, 18, 2, 24, 29, 34, 30, 21, 47, 11, 13, 1, 20, 25]",False,False,1,15,0,-15,-15,1,0,normal,False
2,43,"[15, 18, 10, 2, 24, 21, 34, 30, 11, 47, 13, 20, 1, 25, 29]",False,False,1,15,0,-15,-30,2,0,normal,False
3,25,"[2, 10, 1, 3, 4, 47, 18, 15, 5, 6, 46, 7, 24, 21, np.int64(13)]",False,False,2,30,0,-30,-60,3,0,normal,False
4,16,"[2, 10, 1, 3, 4, 47, 18, 15, 9, 5, 46, 6, 23, 7, 24]",False,False,3,45,0,-45,-105,4,0,normal,False
5,32,"[9, 2, 10, 1, 3, 47, 18, 15, 4, 5, 23, 46, 6, 7, 21]",False,False,5,75,0,-75,-180,5,0,normal,False
6,31,"[9, 2, 10, 1, 3, 47, 18, 15, 4, 5, 46, 6, 23, 7, 8]",False,False,8,120,0,-120,-300,6,0,normal,False
7,40,"[9, 8, 10, 1, 2, 18, 15, 47, 3, 4, 5, 6, 23, 46, 7]",False,False,13,195,0,-195,-495,7,0,normal,False
8,15,"[9, 8, 10, 1, 2, 15, 18, 3, 47, 43, 4, 23, 5, 24, 6]",True,False,21,315,987,672,177,0,0,normal,False
9,2,"[9, 8, 10, 1, 2, 47, 3, 4, 23, 5, 18, 21, 24, 43, 6]",True,False,1,15,47,32,209,0,0,normal,False
10,39,"[9, 8, 1, 10, 3, 47, 4, 23, 5, 43, 18, 21, 46, 6, 24]",False,False,1,15,0,-15,194,1,0,normal,False
11,38,"[9, 8, 18, 23, 16, 24, 21, 25, 13, 11, 32, 22, 30, np.int64(15), 3]",False,False,1,15,0,-15,179,2,0,normal,False
12,42,"[9, 8, 23, 18, 16, 24, 21, 25, 13, 11, 20, 31, 32, 30, 22]",False,False,2,30,0,-30,149,3,0,normal,False
13,37,"[9, 8, 18, 23, 16, 21, 25, 13, np.int64(15), 11, 24, 31, 32, 30, 22]",False,False,3,45,0,-45,104,4,0,normal,False
14,13,"[15, 8, 9, 23, 16, 21, np.int64(2), 25, 18, 13, 11, 24, 31, 32, 30]",True,False,5,75,235,160,264,0,0,normal,False
