top_n,hit_count,hit_rate,total_cost,total_profit,roi,max_consecutive_losses,wins,losses,hit_rate_score,roi_score,profit_score,composite_score
15,75,37.5,5640,2397,42.5,7,75,125,0.0,1.0,1.0,0.6
16,76,38.0,5840,2009,34.400684931506845,7,76,124,0.03571428571428571,0.7665184473433463,0.7912856374394835,0.48162693972056325
17,78,39.0,6188,1708,27.601809954751133,7,78,122,0.10714285714285714,0.5705250982184893,0.6293706293706294,0.4028258611338784
18,84,42.0,6246,1462,23.4069804674992,7,84,116,0.32142857142857145,0.4495994034491274,0.4970414201183432,0.4125636756416698
19,87,43.5,6023,1450,24.074381537439816,5,87,113,0.42857142857142855,0.46883878810532126,0.49058633674018287,0.4592561088822226
20,89,44.5,6220,1206,19.389067524115756,5,89,111,0.5,0.3337737386210318,0.3593329747175901,0.4079320140015866
21,92,46.0,6384,995,15.585839598997495,5,92,108,0.6071428571428571,0.22413686765671195,0.24583109198493813,0.38384753074963784
22,97,48.5,6490,889,13.6979969183359,5,97,103,0.7857142857142857,0.16971542133379794,0.1888111888111888,0.4218436973292103
23,101,50.5,6647,732,11.012486836166692,5,101,99,0.9285714285714286,0.09229936104258885,0.1043571812802582,0.43042553412542556
24,103,51.5,6888,538,7.81068524970964,5,103,97,1.0,0.0,0.0,0.4
