period,date,actual,predictions,predictions_str,hit,multiplier,bet,profit,cumulative_profit,recent_rate,fib_index,result,paused,pause_remaining
1,2025/5/4,10,"[3, 23, 20, 18, 1, 47, 26, 6, 36, 27, 46, 32, 31, 34, 42]","[3, 23, 20, 18, 1]...",False,1.0,15.0,-15.0,-15.0,0.0,0,LOSS,False,0
2,2025/5/5,49,"[3, 38, 23, 20, 1, 47, 18, 6, 26, 46, 27, 36, 32, 31, 34]","[3, 38, 23, 20, 1]...",False,1.0,15.0,-15.0,-30.0,0.0,1,LOSS,False,0
3,2025/5/6,2,"[3, 28, 38, 23, 18, 20, 1, 47, 26, 36, 6, 27, 46, 32, 31]","[3, 28, 38, 23, 18]...",False,2.0,30.0,-30.0,-60.0,0.0,2,LOSS,False,0
4,2025/5/7,49,"[3, 6, 1, 4, 47, 46, 5, 38, 24, 7, 42, 8, 23, 9, 18]","[3, 6, 1, 4, 47]...",False,3.0,45.0,-45.0,-105.0,0.0,3,LOSS,False,0
5,2025/5/8,13,"[3, 6, 1, 46, 47, 4, 5, 24, 42, 38, 23, 33, 18, 7, 41]","[3, 6, 1, 46, 47]...",False,5.0,75.0,-75.0,-180.0,0.0,4,LOSS,False,0
6,2025/5/9,40,"[3, 45, 6, 1, 47, 46, 4, 5, 42, 23, 24, 38, 18, 28, 26]","[3, 45, 6, 1, 47]...",False,8.0,120.0,-120.0,-300.0,0.0,5,LOSS,False,0
7,2025/5/10,23,"[10, 3, 45, 1, 6, 47, 46, 4, 24, 23, 42, 11, 18, 38, 26]","[10, 3, 45, 1, 6]...",True,10.0,150.0,320.0,20.0,0.14285714285714285,6,WIN,False,1
8,2025/5/11,47,"[10, 45, 3, 1, 6, 47, 46, 4, 24, 18, 38, 33, 5, 27, 41]","[10, 45, 3, 1, 6]...",True,0.0,0.0,0.0,20.0,0.14285714285714285,0,SKIP,True,0
9,2025/5/12,2,"[2, 10, 3, 45, 6, 1, 46, 24, 38, 4, 5, 27, 18, 41, 7]","[2, 10, 3, 45, 6]...",True,1.0,15.0,32.0,52.0,0.25,0,WIN,False,1
10,2025/5/13,10,"[10, 49, 3, 45, 6, 1, 46, 4, 24, 38, 18, 27, 5, 41, 7]","[10, 49, 3, 45, 6]...",True,0.0,0.0,0.0,52.0,0.25,0,SKIP,True,0
11,2025/5/14,14,"[49, 3, 6, 1, 45, 13, 46, 4, 5, 24, 38, 33, 41, 7, 18]","[49, 3, 6, 1, 45]...",False,1.0,15.0,-15.0,37.0,0.2222222222222222,0,LOSS,False,0
12,2025/5/15,37,"[3, 40, 49, 1, 45, 13, 6, 46, 4, 5, 24, 33, 38, 18, 41]","[3, 40, 49, 1, 45]...",False,1.0,15.0,-15.0,22.0,0.2,1,LOSS,False,0
13,2025/5/16,9,"[3, 49, 1, 45, 40, 6, 4, 46, 5, 13, 23, 24, 33, 41, 43]","[3, 49, 1, 45, 40]...",False,2.0,30.0,-30.0,-8.0,0.18181818181818182,2,LOSS,False,0
14,2025/5/17,36,"[3, 47, 49, 1, 45, 40, 6, 4, 46, 5, 13, 23, 33, 24, 8]","[3, 47, 49, 1, 45]...",False,3.0,45.0,-45.0,-53.0,0.16666666666666666,3,LOSS,False,0
15,2025/5/18,41,"[2, 3, 47, 45, 1, 40, 49, 4, 46, 5, 23, 13, 6, 24, 38]","[2, 3, 47, 45, 1]...",False,2.5,37.5,-37.5,-90.5,0.16666666666666666,4,LOSS,False,0
16,2025/5/19,14,"[2, 10, 3, 47, 1, 45, 40, 49, 4, 23, 13, 46, 28, 24, 6]","[2, 10, 3, 47, 1]...",False,4.0,60.0,-60.0,-150.5,0.16666666666666666,5,LOSS,False,0
17,2025/5/20,11,"[2, 10, 3, 47, 1, 49, 45, 40, 4, 23, 13, 46, 28, 24, 6]","[2, 10, 3, 47, 1]...",False,5.0,75.0,-75.0,-225.5,0.16666666666666666,6,LOSS,False,0
18,2025/5/21,13,"[2, 10, 3, 47, 1, 49, 45, 40, 4, 13, 37, 23, 46, 12, 24]","[2, 10, 3, 47, 1]...",True,5.0,75.0,160.0,-65.5,0.25,7,WIN,False,1
19,2025/5/22,44,"[2, 10, 23, 9, 37, 24, 28, 3, 15, 33, 38, 16, 17, 47, 40]","[2, 10, 23, 9, 37]...",False,0.0,0.0,0.0,-65.5,0.25,0,SKIP,True,0
20,2025/5/23,10,"[10, 2, 36, 23, 9, 37, 24, 28, 3, 33, 38, 47, 15, 16, 40]","[10, 2, 36, 23, 9]...",True,1.0,15.0,32.0,-33.5,0.3333333333333333,0,WIN,False,1
21,2025/5/24,25,"[9, 36, 23, 2, 37, 24, 28, 41, 3, 33, 38, 47, 15, 17, 16]","[9, 36, 23, 2, 37]...",False,0.0,0.0,0.0,-33.5,0.3333333333333333,0,SKIP,True,0
22,2025/5/25,17,"[14, 9, 36, 23, 2, 24, 37, 28, 3, 41, 33, 47, 15, 49, 12]","[14, 9, 36, 23, 2]...",False,1.0,15.0,-15.0,-48.5,0.3333333333333333,0,LOSS,False,0
