period,date,top_n,zodiacs,actual,is_hit,cost,profit,cumulative_profit,consecutive_misses,reason
1,2025/5/1,4,"['牛', '猪', '蛇', '马']",马,True,16,30,30,0,正常投注TOP4
2,2025/5/2,4,"['牛', '蛇', '猪', '龙']",鸡,False,16,-16,14,1,正常投注TOP4
3,2025/5/3,5,"['牛', '蛇', '猪', '虎', '兔']",鸡,False,20,-20,-6,2,连续1期不中，增加到TOP5
4,2025/5/4,6,"['牛', '蛇', '猪', '虎', '鸡', '兔']",猴,False,24,-24,-30,3,连续2期不中，增加到TOP6
5,2025/5/5,7,"['牛', '蛇', '猪', '虎', '兔', '龙', '猴']",蛇,True,28,18,-12,0,连续3期不中，增加到TOP7
6,2025/5/6,4,"['牛', '猪', '狗', '虎']",龙,False,16,-16,-28,1,正常投注TOP4
7,2025/5/7,5,"['牛', '猪', '狗', '虎', '龙']",蛇,False,20,-20,-48,2,连续1期不中，增加到TOP5
8,2025/5/8,6,"['牛', '猪', '狗', '虎', '龙', '兔']",蛇,False,24,-24,-72,3,连续2期不中，增加到TOP6
9,2025/5/9,7,"['牛', '猪', '狗', '马', '龙', '蛇', '鸡']",虎,False,28,-28,-100,4,连续3期不中，增加到TOP7
10,2025/5/10,8,"['牛', '猪', '狗', '鸡', '龙', '蛇', '鼠', '兔']",羊,False,32,-32,-132,5,连续4期不中，增加到TOP8
11,2025/5/11,8,"['牛', '猪', '狗', '鼠', '龙', '蛇', '羊', '鸡']",羊,True,32,14,-118,0,连续5期不中，增加到TOP8
12,2025/5/12,4,"['牛', '猪', '狗', '鼠']",龙,False,16,-16,-134,1,正常投注TOP4
13,2025/5/13,5,"['牛', '猪', '狗', '鼠', '龙']",猴,False,20,-20,-154,2,连续1期不中，增加到TOP5
14,2025/5/14,6,"['牛', '狗', '猪', '鼠', '龙', '羊']",龙,True,24,22,-132,0,连续2期不中，增加到TOP6
15,2025/5/15,4,"['牛', '狗', '猪', '鼠']",蛇,False,16,-16,-148,1,正常投注TOP4
16,2025/5/16,5,"['牛', '狗', '猪', '鼠', '龙']",鸡,False,20,-20,-168,2,连续1期不中，增加到TOP5
17,2025/5/17,6,"['鼠', '牛', '狗', '猪', '龙', '羊']",马,False,24,-24,-192,3,连续2期不中，增加到TOP6
18,2025/5/18,7,"['鼠', '牛', '狗', '猪', '龙', '羊', '鸡']",牛,True,28,18,-174,0,连续3期不中，增加到TOP7
19,2025/5/19,4,"['鼠', '狗', '猪', '兔']",龙,False,16,-16,-190,1,正常投注TOP4
20,2025/5/20,5,"['鼠', '狗', '猪', '兔', '龙']",羊,False,20,-20,-210,2,连续1期不中，增加到TOP5
21,2025/5/21,6,"['鼠', '狗', '猪', '兔', '龙', '羊']",蛇,False,24,-24,-234,3,连续2期不中，增加到TOP6
22,2025/5/22,7,"['鼠', '狗', '猪', '兔', '龙', '蛇', '羊']",狗,True,28,18,-216,0,连续3期不中，增加到TOP7
23,2025/5/23,4,"['鼠', '猪', '兔', '虎']",猴,False,16,-16,-232,1,正常投注TOP4
24,2025/5/24,5,"['鼠', '猪', '兔', '虎', '龙']",蛇,False,20,-20,-252,2,连续1期不中，增加到TOP5
25,2025/5/25,6,"['鼠', '猪', '兔', '牛', '蛇', '龙']",牛,True,24,22,-230,0,连续2期不中，增加到TOP6
26,2025/5/26,4,"['鼠', '兔', '猪', '狗']",龙,False,16,-16,-246,1,正常投注TOP4
27,2025/5/27,5,"['鼠', '兔', '猪', '狗', '龙']",狗,True,20,26,-220,0,连续1期不中，增加到TOP5
28,2025/5/28,4,"['鼠', '兔', '猪', '虎']",龙,False,16,-16,-236,1,正常投注TOP4
29,2025/5/29,5,"['鼠', '兔', '猪', '虎', '龙']",牛,False,20,-20,-256,2,连续1期不中，增加到TOP5
30,2025/5/30,6,"['鼠', '兔', '猪', '虎', '龙', '蛇']",虎,True,24,22,-234,0,连续2期不中，增加到TOP6
31,2025/5/31,4,"['鼠', '兔', '猪', '马']",龙,False,16,-16,-250,1,正常投注TOP4
32,2025/6/1,5,"['鼠', '兔', '猪', '马', '龙']",猴,False,20,-20,-270,2,连续1期不中，增加到TOP5
33,2025/6/2,6,"['鼠', '兔', '猪', '马', '龙', '蛇']",猪,True,24,22,-248,0,连续2期不中，增加到TOP6
34,2025/6/3,4,"['鼠', '兔', '马', '鸡']",龙,False,16,-16,-264,1,正常投注TOP4
35,2025/6/4,5,"['鼠', '兔', '马', '鸡', '龙']",鸡,True,20,26,-238,0,连续1期不中，增加到TOP5
36,2025/6/5,4,"['鼠', '兔', '马', '猪']",鼠,True,16,30,-208,0,正常投注TOP4
37,2025/6/6,4,"['兔', '马', '猪', '龙']",羊,False,16,-16,-224,1,正常投注TOP4
38,2025/6/7,5,"['兔', '马', '狗', '猪', '龙']",牛,False,20,-20,-244,2,连续1期不中，增加到TOP5
39,2025/6/8,6,"['兔', '马', '狗', '鼠', '龙', '牛']",猪,False,24,-24,-268,3,连续2期不中，增加到TOP6
40,2025/6/9,7,"['兔', '马', '狗', '鼠', '龙', '牛', '羊']",羊,True,28,18,-250,0,连续3期不中，增加到TOP7
41,2025/6/10,4,"['兔', '马', '狗', '虎']",虎,True,16,30,-220,0,正常投注TOP4
42,2025/6/11,4,"['兔', '马', '狗', '鼠']",蛇,False,16,-16,-236,1,正常投注TOP4
43,2025/6/12,5,"['兔', '马', '鼠', '狗', '龙']",羊,False,20,-20,-256,2,连续1期不中，增加到TOP5
44,2025/6/13,6,"['兔', '马', '鼠', '狗', '龙', '牛']",蛇,False,24,-24,-280,3,连续2期不中，增加到TOP6
45,2025/6/14,7,"['兔', '马', '猴', '狗', '龙', '蛇', '牛']",羊,False,28,-28,-308,4,连续3期不中，增加到TOP7
46,2025/6/15,8,"['兔', '马', '猴', '狗', '龙', '羊', '牛', '蛇']", 牛,False,32,-32,-340,5,连续4期不中，增加到TOP8
47,2025/6/16,8,"['兔', '马', '鼠', '鸡', '龙', '羊', '牛', '蛇']",鸡,True,32,14,-326,0,连续5期不中，增加到TOP8
48,2025/6/17,4,"['兔', '马', '狗', '鼠']",虎,False,16,-16,-342,1,正常投注TOP4
49,2025/6/18,5,"['兔', '马', '鼠', '狗', '龙']",猪,False,20,-20,-362,2,连续1期不中，增加到TOP5
50,2025/6/19,6,"['兔', '马', '鼠', '狗', '羊', '龙']",鸡,False,24,-24,-386,3,连续2期不中，增加到TOP6
51,2025/6/20,7,"['兔', '马', '鼠', '狗', '龙', '蛇', '羊']",羊,True,28,18,-368,0,连续3期不中，增加到TOP7
52,2025/6/21,4,"['兔', '马', '狗', '鼠']",马,True,16,30,-338,0,正常投注TOP4
53,2025/6/22,4,"['兔', '狗', '猴', '鼠']",龙,False,16,-16,-354,1,正常投注TOP4
54,2025/6/23,5,"['兔', '猴', '狗', '鼠', '龙']",兔,True,20,26,-328,0,连续1期不中，增加到TOP5
55,2025/6/24,4,"['猴', '狗', '鼠', '蛇']",鼠,True,16,30,-298,0,正常投注TOP4
56,2025/6/25,4,"['猴', '狗', '蛇', '马']",马,True,16,30,-268,0,正常投注TOP4
57,2025/6/26,4,"['猴', '狗', '蛇', '兔']",虎,False,16,-16,-284,1,正常投注TOP4
58,2025/6/27,5,"['狗', '猴', '蛇', '兔', '羊']",兔,True,20,26,-258,0,连续1期不中，增加到TOP5
59,2025/6/28,4,"['狗', '猴', '牛', '蛇']",马,False,16,-16,-274,1,正常投注TOP4
60,2025/6/29,5,"['狗', '牛', '猴', '蛇', '羊']",牛,True,20,26,-248,0,连续1期不中，增加到TOP5
61,2025/6/30,4,"['狗', '猴', '蛇', '兔']",羊,False,16,-16,-264,1,正常投注TOP4
62,2025/7/1,5,"['狗', '猴', '蛇', '兔', '羊']",鼠,False,20,-20,-284,2,连续1期不中，增加到TOP5
63,2025/7/2,6,"['猴', '狗', '蛇', '兔', '羊', '鼠']",鸡,False,24,-24,-308,3,连续2期不中，增加到TOP6
64,2025/7/3,7,"['猴', '狗', '猪', '蛇', '羊', '鸡', '鼠']",虎,False,28,-28,-336,4,连续3期不中，增加到TOP7
65,2025/7/4,8,"['猴', '狗', '蛇', '龙', '羊', '虎', '鸡', '鼠']",牛,False,32,-32,-368,5,连续4期不中，增加到TOP8
66,2025/7/5,8,"['猴', '狗', '龙', '蛇', '羊', '虎', '鼠', '牛']",狗,True,32,14,-354,0,连续5期不中，增加到TOP8
67,2025/7/6,4,"['猴', '龙', '蛇', '猪']",鸡,False,16,-16,-370,1,正常投注TOP4
68,2025/7/7,5,"['猴', '龙', '蛇', '猪', '羊']",兔,False,20,-20,-390,2,连续1期不中，增加到TOP5
69,2025/7/8,6,"['猴', '蛇', '龙', '狗', '羊', '虎']",牛,False,24,-24,-414,3,连续2期不中，增加到TOP6
70,2025/7/9,7,"['猴', '猪', '蛇', '龙', '羊', '虎', '鸡']",鼠,False,28,-28,-442,4,连续3期不中，增加到TOP7
71,2025/7/10,8,"['猴', '猪', '蛇', '龙', '虎', '羊', '鸡', '鼠']",牛,False,32,-32,-474,5,连续4期不中，增加到TOP8
72,2025/7/11,8,"['猴', '猪', '蛇', '龙', '牛', '羊', '鸡', '鼠']",鸡,True,32,14,-460,0,连续5期不中，增加到TOP8
73,2025/7/12,4,"['猴', '猪', '蛇', '龙']",马,False,16,-16,-476,1,正常投注TOP4
74,2025/7/13,5,"['猴', '龙', '猪', '蛇', '鸡']",牛,False,20,-20,-496,2,连续1期不中，增加到TOP5
75,2025/7/14,6,"['蛇', '猴', '龙', '猪', '牛', '鸡']",蛇,True,24,22,-474,0,连续2期不中，增加到TOP6
76,2025/7/15,4,"['猴', '龙', '猪', '羊']",龙,True,16,30,-444,0,正常投注TOP4
77,2025/7/16,4,"['猴', '猪', '狗', '羊']",猴,True,16,30,-414,0,正常投注TOP4
78,2025/7/17,4,"['猪', '狗', '蛇', '羊']",猪,True,16,30,-384,0,正常投注TOP4
79,2025/7/18,4,"['狗', '虎', '蛇', '羊']",猴,False,16,-16,-400,1,正常投注TOP4
80,2025/7/19,5,"['狗', '蛇', '虎', '羊', '牛']",羊,True,20,26,-374,0,连续1期不中，增加到TOP5
81,2025/7/20,4,"['狗', '蛇', '猪', '虎']",羊,False,16,-16,-390,1,正常投注TOP4
82,2025/7/21,5,"['狗', '蛇', '猪', '虎', '牛']",狗,True,20,26,-364,0,连续1期不中，增加到TOP5
83,2025/7/22,4,"['蛇', '猪', '虎', '猴']",鼠,False,16,-16,-380,1,正常投注TOP4
84,2025/7/25,5,"['龙', '猪', '虎', '猴', '牛']",鼠,False,20,-20,-400,2,连续1期不中，增加到TOP5
85,2025/7/26,6,"['虎', '猪', '兔', '猴', '鼠', '牛']",蛇,False,24,-24,-424,3,连续2期不中，增加到TOP6
86,2025/7/27,7,"['虎', '猪', '兔', '猴', '牛', '鼠', '马']",猴,True,28,18,-406,0,连续3期不中，增加到TOP7
87,2025/7/28,4,"['虎', '龙', '马', '兔']",马,True,16,30,-376,0,正常投注TOP4
88,2025/7/29,4,"['虎', '龙', '兔', '蛇']",鸡,False,16,-16,-392,1,正常投注TOP4
89,2025/7/30,5,"['虎', '兔', '龙', '猪', '牛']",蛇,False,20,-20,-412,2,连续1期不中，增加到TOP5
90,2025/7/31,6,"['兔', '虎', '龙', '猪', '牛', '鼠']",兔,True,24,22,-390,0,连续2期不中，增加到TOP6
91,2025/8/1,4,"['虎', '龙', '猪', '马']",龙,True,16,30,-360,0,正常投注TOP4
92,2025/8/2,4,"['虎', '猪', '羊', '马']",鼠,False,16,-16,-376,1,正常投注TOP4
93,2025/8/3,5,"['虎', '猪', '羊', '马', '鼠']",羊,True,20,26,-350,0,连续1期不中，增加到TOP5
94,2025/8/4,4,"['虎', '猪', '龙', '狗']",兔,False,16,-16,-366,1,正常投注TOP4
95,2025/8/5,5,"['虎', '猪', '狗', '牛', '鼠']",鸡,False,20,-20,-386,2,连续1期不中，增加到TOP5
96,2025/8/6,6,"['虎', '猪', '狗', '龙', '鼠', '鸡']",羊,False,24,-24,-410,3,连续2期不中，增加到TOP6
97,2025/8/7,7,"['虎', '狗', '猪', '龙', '鼠', '羊', '鸡']",猴,False,28,-28,-438,4,连续3期不中，增加到TOP7
98,2025/8/8,8,"['虎', '狗', '猪', '马', '鼠', '羊', '猴', '牛']",羊,True,32,14,-424,0,连续4期不中，增加到TOP8
99,2025/8/9,4,"['虎', '猪', '狗', '兔']",鸡,False,16,-16,-440,1,正常投注TOP4
100,2025/8/10,5,"['虎', '猪', '牛', '狗', '羊']",狗,True,20,26,-414,0,连续1期不中，增加到TOP5
101,2025/8/11,4,"['虎', '猪', '牛', '马']",狗,False,16,-16,-430,1,正常投注TOP4
