period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance
1,"['狗', '兔', '龙', '鸡']","[1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49]",17,3,False,0,1,1.0,17.0,-17.0,-17.0,-17.0
2,"['狗', '兔', '龙', '鸡']","[1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49]",17,34,False,0,2,1.8,30.6,-30.6,-47.6,-47.6
3,"['狗', '兔', '龙', '鸡']","[1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49]",17,14,True,1,0,3.5,59.5,98.0,50.4,50.4
4,"['兔', '鸡', '龙', '虎']","[1, 6, 7, 8, 13, 18, 19, 20, 25, 30, 31, 32, 37, 42, 43, 44, 49]",17,42,True,2,0,1.0,17.0,28.0,78.4,78.4
5,"['兔', '鸡', '龙', '羊']","[1, 7, 8, 11, 13, 19, 20, 23, 25, 31, 32, 35, 37, 43, 44, 47, 49]",17,19,True,3,0,1.0,17.0,28.0,106.4,106.4
6,"['鸡', '龙', '羊', '鼠']","[1, 4, 8, 11, 13, 16, 20, 23, 25, 28, 32, 35, 37, 40, 44, 47, 49]",17,44,True,4,0,0.85,14.45,23.8,130.20000000000002,130.20000000000002
7,"['羊', '鸡', '鼠', '猴']","[1, 4, 11, 12, 13, 16, 23, 24, 25, 28, 35, 36, 37, 40, 47, 48, 49]",17,2,False,0,1,0.7,11.899999999999999,-11.899999999999999,118.30000000000001,118.30000000000001
8,"['羊', '鸡', '龙', '鼠']","[1, 4, 8, 11, 13, 16, 20, 23, 25, 28, 32, 35, 37, 40, 44, 47, 49]",17,47,True,1,0,1.8,30.6,50.4,168.70000000000002,168.70000000000002
9,"['鸡', '蛇', '龙', '鼠']","[1, 4, 8, 9, 13, 16, 20, 21, 25, 28, 32, 33, 37, 40, 44, 45, 49]",17,18,False,0,1,1.0,17.0,-17.0,151.70000000000002,151.70000000000002
10,"['鸡', '兔', '龙', '牛']","[1, 5, 7, 8, 13, 17, 19, 20, 25, 29, 31, 32, 37, 41, 43, 44, 49]",17,5,True,1,0,1.8,30.6,50.4,202.10000000000002,202.10000000000002
11,"['猴', '鸡', '兔', '龙']","[1, 7, 8, 12, 13, 19, 20, 24, 25, 31, 32, 36, 37, 43, 44, 48, 49]",17,22,False,0,1,1.0,17.0,-17.0,185.10000000000002,185.10000000000002
12,"['鸡', '猴', '猪', '龙']","[1, 3, 8, 12, 13, 15, 20, 24, 25, 27, 32, 36, 37, 39, 44, 48, 49]",17,44,True,1,0,1.8,30.6,50.4,235.50000000000003,235.50000000000003
13,"['鸡', '猴', '猪', '鼠']","[1, 3, 4, 12, 13, 15, 16, 24, 25, 27, 28, 36, 37, 39, 40, 48, 49]",17,23,False,0,1,1.0,17.0,-17.0,218.50000000000003,218.50000000000003
14,"['鼠', '鸡', '猴', '猪']","[1, 3, 4, 12, 13, 15, 16, 24, 25, 27, 28, 36, 37, 39, 40, 48, 49]",17,49,True,1,0,1.8,30.6,50.4,268.90000000000003,268.90000000000003
15,"['鼠', '猴', '猪', '兔']","[3, 4, 7, 12, 15, 16, 19, 24, 27, 28, 31, 36, 39, 40, 43, 48]",16,40,True,2,0,1.0,16.0,29.0,297.90000000000003,297.90000000000003
16,"['兔', '猴', '猪', '马']","[3, 7, 10, 12, 15, 19, 22, 24, 27, 31, 34, 36, 39, 43, 46, 48]",16,5,False,0,1,1.0,16.0,-16.0,281.90000000000003,281.90000000000003
17,"['兔', '猴', '猪', '鸡']","[1, 3, 7, 12, 13, 15, 19, 24, 25, 27, 31, 36, 37, 39, 43, 48, 49]",17,22,False,0,2,1.8,30.6,-30.6,251.30000000000004,251.30000000000004
18,"['兔', '猴', '猪', '狗']","[2, 3, 7, 12, 14, 15, 19, 24, 26, 27, 31, 36, 38, 39, 43, 48]",16,15,True,1,0,3.5,56.0,101.5,352.80000000000007,352.80000000000007
19,"['兔', '猴', '蛇', '狗']","[2, 7, 9, 12, 14, 19, 21, 24, 26, 31, 33, 36, 38, 43, 45, 48]",16,48,True,2,0,1.0,16.0,29.0,381.80000000000007,381.80000000000007
20,"['兔', '蛇', '狗', '虎']","[2, 6, 7, 9, 14, 18, 19, 21, 26, 30, 31, 33, 38, 42, 43, 45]",16,42,True,3,0,1.0,16.0,29.0,410.80000000000007,410.80000000000007
21,"['蛇', '兔', '狗', '鸡']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,17,False,0,1,0.85,14.45,-14.45,396.3500000000001,396.3500000000001
22,"['兔', '蛇', '狗', '龙']","[2, 7, 8, 9, 14, 19, 20, 21, 26, 31, 32, 33, 38, 43, 44, 45]",16,20,True,1,0,1.8,28.8,52.2,448.55000000000007,448.55000000000007
23,"['兔', '蛇', '狗', '鸡']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,39,False,0,1,1.0,17.0,-17.0,431.55000000000007,431.55000000000007
24,"['兔', '蛇', '鼠', '狗']","[2, 4, 7, 9, 14, 16, 19, 21, 26, 28, 31, 33, 38, 40, 43, 45]",16,6,False,0,2,1.8,28.8,-28.8,402.75000000000006,402.75000000000006
25,"['兔', '蛇', '鸡', '鼠']","[1, 4, 7, 9, 13, 16, 19, 21, 25, 28, 31, 33, 37, 40, 43, 45, 49]",17,16,True,1,0,3.5,59.5,98.0,500.75000000000006,500.75000000000006
26,"['兔', '蛇', '鸡', '狗']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,37,True,2,0,1.0,17.0,28.0,528.75,528.75
27,"['兔', '蛇', '羊', '狗']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,14,True,3,0,1.0,16.0,29.0,557.75,557.75
28,"['兔', '蛇', '羊', '鼠']","[4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47]",16,38,False,0,1,0.85,13.6,-13.6,544.15,544.15
29,"['兔', '蛇', '羊', '鼠']","[4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47]",16,23,True,1,0,1.8,28.8,52.2,596.35,596.35
30,"['兔', '蛇', '猴', '鼠']","[4, 7, 9, 12, 16, 19, 21, 24, 28, 31, 33, 36, 40, 43, 45, 48]",16,4,True,2,0,1.0,16.0,29.0,625.35,625.35
31,"['兔', '猴', '蛇', '马']","[7, 9, 10, 12, 19, 21, 22, 24, 31, 33, 34, 36, 43, 45, 46, 48]",16,24,True,3,0,1.0,16.0,29.0,654.35,654.35
32,"['兔', '蛇', '牛', '马']","[5, 7, 9, 10, 17, 19, 21, 22, 29, 31, 33, 34, 41, 43, 45, 46]",16,18,False,0,1,0.85,13.6,-13.6,640.75,640.75
33,"['兔', '蛇', '马', '龙']","[7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46]",16,6,False,0,2,1.8,28.8,-28.8,611.95,611.95
34,"['兔', '蛇', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,45,True,1,0,3.5,56.0,101.5,713.45,713.45
