period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,is_betting,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,status
1,"鼠, 鸡, 蛇, 虎","1, 4, 6, 9, 13, 16, 18, 21, 25, 28, 30, 33, 37, 40, 42, 45, 49",17,18,是,是,1,0,1.0,17.0,30.0,30.0,30.0,✅
2,"鼠, 鸡, 狗, 蛇","1, 2, 4, 9, 13, 14, 16, 21, 25, 26, 28, 33, 37, 38, 40, 45, 49",17,30,否,是,0,1,1.0,17.0,-17.0,13.0,13.0,❌
3,"鼠, 猪, 鸡, 狗","1, 2, 3, 4, 13, 14, 15, 16, 25, 26, 27, 28, 37, 38, 39, 40, 49",17,1,是,是,1,0,2.0,34.0,60.0,73.0,73.0,✅
4,"鼠, 猪, 狗, 蛇","2, 3, 4, 9, 14, 15, 16, 21, 26, 27, 28, 33, 38, 39, 40, 45",16,10,否,是,0,1,1.0,16.0,-16.0,57.0,57.0,❌
5,"鼠, 狗, 猪, 猴","2, 3, 4, 12, 14, 15, 16, 24, 26, 27, 28, 36, 38, 39, 40, 48",16,24,是,是,1,0,2.0,32.0,62.0,119.0,119.0,✅
6,"鼠, 狗, 猪, 蛇","2, 3, 4, 9, 14, 15, 16, 21, 26, 27, 28, 33, 38, 39, 40, 45",16,9,是,是,2,0,1.0,16.0,31.0,150.0,150.0,✅
7,"猪, 鼠, 狗, 兔","2, 3, 4, 7, 14, 15, 16, 19, 26, 27, 28, 31, 38, 39, 40, 43",16,13,否,是,0,1,1.0,16.0,-16.0,134.0,134.0,❌
8,"猪, 鼠, 狗, 兔","2, 3, 4, 7, 14, 15, 16, 19, 26, 27, 28, 31, 38, 39, 40, 43",16,15,是,是,1,0,2.0,32.0,62.0,196.0,196.0,✅
9,"鼠, 狗, 兔, 龙","2, 4, 7, 8, 14, 16, 19, 20, 26, 28, 31, 32, 38, 40, 43, 44",16,2,是,是,2,0,1.0,16.0,31.0,227.0,227.0,✅
10,"鼠, 羊, 兔, 龙","4, 7, 8, 11, 16, 19, 20, 23, 28, 31, 32, 35, 40, 43, 44, 47",16,18,否,是,0,1,1.0,16.0,-16.0,211.0,211.0,❌
11,"鼠, 龙, 羊, 兔","4, 7, 8, 11, 16, 19, 20, 23, 28, 31, 32, 35, 40, 43, 44, 47",16,11,是,是,1,0,2.0,32.0,62.0,273.0,273.0,✅
12,"鼠, 龙, 兔, 猪","3, 4, 7, 8, 15, 16, 19, 20, 27, 28, 31, 32, 39, 40, 43, 44",16,15,是,是,2,0,1.0,16.0,31.0,304.0,304.0,✅
13,"牛, 龙, 鼠, 兔","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,21,否,是,0,1,1.0,16.0,-16.0,288.0,288.0,❌
14,"牛, 鼠, 龙, 兔","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,23,否,是,0,2,2.0,32.0,-32.0,256.0,256.0,❌
15,"牛, 鼠, 兔, 龙","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,46,否,是,0,3,4.0,64.0,-64.0,192.0,192.0,❌
16,"牛, 鼠, 兔, 龙","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,23,否,是,0,4,6.0,96.0,-96.0,96.0,96.0,❌ [触发止损，暂停投注]
17,"牛, 兔, 鼠, 龙","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,9,否,否,0,4,0.0,0.0,0.0,96.0,96.0,⏸️ [暂停投注第1期]
18,"牛, 兔, 鼠, 龙","4, 5, 7, 8, 16, 17, 19, 20, 28, 29, 31, 32, 40, 41, 43, 44",16,8,是,是,0,0,0.0,0.0,0.0,96.0,96.0,⏸️ [暂停中-本期会中，恢复投注]
19,"牛, 兔, 鼠, 猴","4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48",16,8,否,是,0,1,1.0,16.0,-16.0,80.0,80.0,❌
20,"牛, 兔, 鼠, 狗","2, 4, 5, 7, 14, 16, 17, 19, 26, 28, 29, 31, 38, 40, 41, 43",16,43,是,是,1,0,2.0,32.0,62.0,142.0,142.0,✅
21,"牛, 鼠, 狗, 猴","2, 4, 5, 12, 14, 16, 17, 24, 26, 28, 29, 36, 38, 40, 41, 48",16,25,否,是,0,1,1.0,16.0,-16.0,126.0,126.0,❌
22,"牛, 猴, 鼠, 狗","2, 4, 5, 12, 14, 16, 17, 24, 26, 28, 29, 36, 38, 40, 41, 48",16,16,是,是,1,0,2.0,32.0,62.0,188.0,188.0,✅
23,"牛, 猴, 狗, 猪","2, 3, 5, 12, 14, 15, 17, 24, 26, 27, 29, 36, 38, 39, 41, 48",16,32,否,是,0,1,1.0,16.0,-16.0,172.0,172.0,❌
24,"牛, 猴, 猪, 狗","2, 3, 5, 12, 14, 15, 17, 24, 26, 27, 29, 36, 38, 39, 41, 48",16,31,否,是,0,2,2.0,32.0,-32.0,140.0,140.0,❌
25,"狗, 牛, 猴, 猪","2, 3, 5, 12, 14, 15, 17, 24, 26, 27, 29, 36, 38, 39, 41, 48",16,40,否,是,0,3,4.0,64.0,-64.0,76.0,76.0,❌
26,"猴, 狗, 牛, 猪","2, 3, 5, 12, 14, 15, 17, 24, 26, 27, 29, 36, 38, 39, 41, 48",16,15,是,是,1,0,6.0,96.0,186.0,262.0,262.0,✅
27,"猴, 狗, 牛, 虎","2, 5, 6, 12, 14, 17, 18, 24, 26, 29, 30, 36, 38, 41, 42, 48",16,2,是,是,2,0,1.0,16.0,31.0,293.0,293.0,✅
28,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,39,否,是,0,1,1.0,16.0,-16.0,277.0,277.0,❌
29,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,38,否,是,0,2,2.0,32.0,-32.0,245.0,245.0,❌
30,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,42,否,是,0,3,4.0,64.0,-64.0,181.0,181.0,❌
31,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,37,否,是,0,4,6.0,96.0,-96.0,85.0,85.0,❌ [触发止损，暂停投注]
32,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,13,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第1期]
33,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,42,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第2期]
34,"猴, 牛, 马, 蛇","5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48",16,39,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第3期]
35,"猴, 牛, 马, 兔","5, 7, 10, 12, 17, 19, 22, 24, 29, 31, 34, 36, 41, 43, 46, 48",16,2,否,否,0,4,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停投注第4期]
36,"马, 猴, 牛, 兔","5, 7, 10, 12, 17, 19, 22, 24, 29, 31, 34, 36, 41, 43, 46, 48",16,46,是,是,0,0,0.0,0.0,0.0,85.0,85.0,⏸️ [暂停中-本期会中，恢复投注]
37,"猴, 羊, 牛, 蛇","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,4,否,是,0,1,1.0,16.0,-16.0,69.0,69.0,❌
38,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,28,否,是,0,2,2.0,32.0,-32.0,37.0,37.0,❌
39,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,1,否,是,0,3,4.0,64.0,-64.0,-27.0,-27.0,❌
40,"蛇, 猴, 羊, 牛","5, 9, 11, 12, 17, 21, 23, 24, 29, 33, 35, 36, 41, 45, 47, 48",16,34,否,是,0,4,6.0,96.0,-96.0,-123.0,-123.0,❌ [触发止损，暂停投注]
