period,global_period,date,top4_zodiacs,bet_numbers,bet_count,actual,actual_animal,is_hit,is_hit_number,is_hit_animal,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,model_used
1,266,2025/10/26,"['蛇', '马', '兔', '猪']","[4, 6, 7, 12, 16, 18, 19, 24, 28, 30, 31, 36, 40, 42, 43, 48]",16,49,蛇,False,False,True,0,1,1.0,16.0,-16.0,-16.0,-16.0,集成投票模型(v10 + 优化版)
2,267,2025/10/27,"['猪', '兔', '马', '猴']","[4, 7, 9, 12, 16, 19, 21, 24, 28, 31, 33, 36, 40, 43, 45, 48]",16,40,虎,True,True,False,1,0,2.0,32.0,62.0,46.0,46.0,集成投票模型(v10 + 优化版)
3,268,2025/10/28,"['猪', '兔', '马', '龙']","[4, 5, 7, 12, 16, 17, 19, 24, 28, 29, 31, 36, 40, 41, 43, 48]",16,5,牛,True,True,False,2,0,0.5,8.0,15.5,61.5,61.5,集成投票模型(v10 + 优化版)
4,269,2025/10/29,"['猪', '兔', '蛇', '马']","[4, 6, 7, 12, 16, 18, 19, 24, 28, 30, 31, 36, 40, 42, 43, 48]",16,22,猴,False,False,False,0,1,0.5,8.0,-8.0,53.5,53.5,集成投票模型(v10 + 优化版)
5,270,2025/10/30,"['马', '猪', '兔', '蛇']","[4, 6, 7, 12, 16, 18, 19, 24, 28, 30, 31, 36, 40, 42, 43, 48]",16,15,兔,False,False,True,0,2,2.0,32.0,-32.0,21.5,21.5,集成投票模型(v10 + 优化版)
6,271,2025/10/31,"['马', '猪', '蛇', '龙']","[5, 6, 7, 12, 17, 18, 19, 24, 29, 30, 31, 36, 41, 42, 43, 48]",16,48,马,True,True,True,1,0,4.0,64.0,124.0,145.5,145.5,集成投票模型(v10 + 优化版)
7,272,2025/11/1,"['猪', '蛇', '龙', '狗']","[5, 6, 11, 12, 17, 18, 23, 24, 29, 30, 35, 36, 41, 42, 47, 48]",16,42,鼠,True,True,False,2,0,0.5,8.0,15.5,161.0,161.0,集成投票模型(v10 + 优化版)
8,273,2025/11/2,"['猪', '蛇', '鸡', '龙']","[5, 6, 10, 12, 17, 18, 22, 24, 29, 30, 34, 36, 41, 42, 46, 48]",16,17,牛,True,True,False,3,0,0.5,8.0,15.5,176.5,176.5,集成投票模型(v10 + 优化版)
9,274,2025/11/3,"['鸡', '猪', '蛇', '龙']","[5, 6, 10, 12, 17, 18, 22, 24, 29, 30, 34, 36, 41, 42, 46, 48]",16,20,狗,False,False,False,0,1,0.5,8.0,-8.0,168.5,168.5,集成投票模型(v10 + 优化版)
10,275,2025/11/4,"['猪', '蛇', '鸡', '龙']","[5, 6, 10, 12, 17, 18, 22, 24, 29, 30, 34, 36, 41, 42, 46, 48]",16,39,兔,False,False,False,0,2,2.0,32.0,-32.0,136.5,136.5,集成投票模型(v10 + 优化版)
11,276,2025/11/5,"['猪', '蛇', '鸡', '虎']","[3, 6, 10, 12, 15, 18, 22, 24, 27, 30, 34, 36, 39, 42, 46, 48]",16,6,鼠,True,True,False,1,0,4.0,64.0,124.0,260.5,260.5,集成投票模型(v10 + 优化版)
12,277,2025/11/6,"['猪', '蛇', '鸡', '龙']","[5, 6, 10, 12, 17, 18, 22, 24, 29, 30, 34, 36, 41, 42, 46, 48]",16,16,虎,False,False,False,0,1,0.5,8.0,-8.0,252.5,252.5,集成投票模型(v10 + 优化版)
13,278,2025/11/7,"['猪', '蛇', '鸡', '龙']","[5, 6, 10, 12, 17, 18, 22, 24, 29, 30, 34, 36, 41, 42, 46, 48]",16,37,蛇,False,False,True,0,2,2.0,32.0,-32.0,220.5,220.5,集成投票模型(v10 + 优化版)
14,279,2025/11/8,"['猪', '鸡', '龙', '羊']","[5, 8, 10, 12, 17, 20, 22, 24, 29, 32, 34, 36, 41, 44, 46, 48]",16,14,龙,False,False,True,0,3,4.0,64.0,-64.0,156.5,156.5,集成投票模型(v10 + 优化版)
15,280,2025/11/9,"['猪', '鸡', '羊', '马']","[7, 8, 10, 12, 19, 20, 22, 24, 31, 32, 34, 36, 43, 44, 46, 48]",16,38,龙,False,False,False,0,4,6.0,96.0,-96.0,60.5,60.5,集成投票模型(v10 + 优化版)
