period,actual,is_hit,profit,balance
271,27,True,31,31
272,11,True,31,62
273,11,False,-16,46
274,1,False,-16,30
275,26,True,31,61
276,31,True,31,92
277,6,True,31,123
278,32,True,31,154
279,39,False,-16,138
280,46,True,31,169
281,12,True,31,200
282,42,True,31,231
283,18,False,-16,215
284,47,False,-16,199
285,28,True,31,230
286,37,True,31,261
287,19,True,31,292
288,45,True,31,323
289,3,False,-16,307
290,1,False,-16,291
291,41,True,31,322
292,26,True,31,353
293,6,False,-16,337
294,41,False,-16,321
295,19,False,-16,305
296,27,False,-16,289
297,1,False,-16,273
298,43,False,-16,257
299,42,False,-16,241
300,11,False,-16,225
