period,top4,actual,is_hit,multiplier,bet_amount,profit,balance,consecutive_losses
1,"鼠, 兔, 狗, 猴",牛,❌,1,16,-16,-16,1
2,"鼠, 狗, 兔, 虎",鸡,❌,1,16,-16,-32,2
3,"鼠, 狗, 兔, 虎",虎,✅,2,32,15,-17,0
4,"鼠, 兔, 狗, 羊",兔,✅,1,16,31,14,0
5,"鼠, 狗, 猴, 羊",羊,✅,1,16,31,45,0
6,"鼠, 狗, 猴, 猪",羊,❌,1,16,-16,29,1
7,"鼠, 狗, 兔, 龙",蛇,❌,1,16,-16,13,2
8,"鼠, 狗, 兔, 龙",龙,✅,2,32,15,28,0
9,"猴, 鼠, 狗, 兔",猪,❌,1,16,-16,12,1
10,"猴, 鼠, 兔, 狗",鼠,✅,1,16,31,43,0
11,"猴, 兔, 狗, 虎",狗,✅,1,16,31,74,0
12,"猴, 虎, 兔, 马",兔,✅,1,16,31,105,0
13,"猴, 虎, 鼠, 马",猴,✅,1,16,31,136,0
14,"鼠, 虎, 马, 狗",马,✅,1,16,31,167,0
15,"鼠, 虎, 狗, 牛",鼠,✅,1,16,31,198,0
16,"虎, 狗, 牛, 猴",鼠,❌,1,16,-16,182,1
17,"虎, 狗, 牛, 兔",羊,❌,1,16,-16,166,2
18,"虎, 猪, 狗, 兔",虎,✅,2,32,15,181,0
19,"猴, 狗, 兔, 猪",蛇,❌,1,16,-16,165,1
20,"牛, 猴, 猪, 狗",猪,✅,1,16,31,196,0
21,"牛, 狗, 猴, 马",鸡,❌,1,16,-16,180,1
22,"牛, 狗, 猴, 马",兔,❌,1,16,-16,164,2
23,"牛, 狗, 龙, 猴",蛇,❌,2,32,-32,132,3
24,"狗, 牛, 龙, 马",牛,✅,3,48,-1,131,0
25,"狗, 龙, 猴, 马",龙,✅,1,16,31,162,0
26,"狗, 马, 猴, 虎",鼠,❌,1,16,-16,146,1
27,"马, 猴, 狗, 虎",牛,❌,1,16,-16,130,2
28,"马, 猴, 狗, 虎",猪,❌,2,32,-32,98,3
29,"马, 猴, 狗, 鸡",兔,❌,3,48,-48,50,4
30,"猴, 狗, 马, 鸡",蛇,❌,5,80,-80,-30,5
31,"马, 猴, 狗, 虎",猪,❌,8,128,-128,-158,6
32,"狗, 猴, 马, 虎",鼠,❌,13,208,-208,-366,7
33,"狗, 马, 猴, 鸡",羊,❌,21,336,-336,-702,8
34,"猴, 狗, 虎, 马",虎,✅,21,336,-289,-991,0
35,"马, 猴, 狗, 鸡",马,✅,1,16,31,-960,0
36,"猴, 狗, 鸡, 龙",虎,❌,1,16,-16,-976,1
37,"猴, 狗, 鸡, 牛",蛇,❌,1,16,-16,-992,2
38,"猴, 鸡, 狗, 龙",猪,❌,2,32,-32,-1024,3
39,"猴, 鸡, 龙, 狗",蛇,❌,3,48,-48,-1072,4
40,"猴, 鸡, 龙, 狗",兔,❌,5,80,-80,-1152,5
41,"猴, 鸡, 龙, 狗",兔,❌,8,128,-128,-1280,6
42,"狗, 鸡, 猴, 龙",羊,❌,13,208,-208,-1488,7
43,"狗, 鸡, 猴, 龙",马,❌,21,336,-336,-1824,8
44,"猴, 狗, 鸡, 龙",猴,✅,21,336,-289,-2113,0
45,"狗, 鸡, 龙, 牛",马,❌,1,16,-16,-2129,1
46,"狗, 龙, 鸡, 牛",蛇,❌,1,16,-16,-2145,2
47,"狗, 龙, 鸡, 猴",龙,✅,2,32,15,-2130,0
48,"狗, 鸡, 牛, 鼠",羊,❌,1,16,-16,-2146,1
49,"狗, 鸡, 牛, 猴",蛇,❌,1,16,-16,-2162,2
50,"狗, 鸡, 牛, 猴",羊,❌,2,32,-32,-2194,3
