period,top4,actual,is_hit,action,multiplier,bet_amount,profit,balance
1,"鼠, 兔, 狗, 猴",牛,❌,❌未中,1,16,-16,-16
2,"鼠, 狗, 兔, 虎",鸡,❌,❌未中,2,32,-32,-48
3,"鼠, 狗, 兔, 虎",虎,✅,✅命中,3,48,-1,-49
4,"鼠, 兔, 狗, 羊",兔,✅,✅命中,1,16,31,-18
5,"鼠, 狗, 猴, 羊",羊,✅,✅命中,1,16,31,13
6,"鼠, 狗, 猴, 猪",羊,❌,❌未中,1,16,-16,-3
7,"鼠, 狗, 兔, 龙",蛇,❌,❌未中,2,32,-32,-35
8,"鼠, 狗, 兔, 龙",龙,✅,✅命中,3,48,-1,-36
9,"猴, 鼠, 狗, 兔",猪,❌,❌未中,1,16,-16,-52
10,"猴, 鼠, 兔, 狗",鼠,✅,✅命中,2,32,15,-37
11,"猴, 兔, 狗, 虎",狗,✅,✅命中,1,16,31,-6
12,"猴, 虎, 兔, 马",兔,✅,✅命中,1,16,31,25
13,"猴, 虎, 鼠, 马",猴,✅,✅命中,1,16,31,56
14,"鼠, 虎, 马, 狗",马,✅,✅命中,1,16,31,87
15,"鼠, 虎, 狗, 牛",鼠,✅,✅命中,1,16,31,118
16,"虎, 狗, 牛, 猴",鼠,❌,❌未中,1,16,-16,102
17,"虎, 狗, 牛, 猴",羊,❌,❌未中,2,32,-32,70
18,"虎, 猪, 狗, 兔",虎,✅,✅命中,3,48,-1,69
19,"猴, 狗, 兔, 猪",蛇,❌,❌未中,1,16,-16,53
20,"牛, 猴, 猪, 狗",猪,✅,✅命中,2,32,15,68
21,"牛, 狗, 猴, 马",鸡,❌,❌未中,1,16,-16,52
22,"牛, 狗, 猴, 马",兔,❌,❌未中,2,32,-32,20
23,"牛, 狗, 龙, 猴",蛇,❌,❌未中,3,48,-48,-28
24,"狗, 牛, 龙, 马",牛,✅,✅命中,4,64,-17,-45
25,"狗, 龙, 猴, 马",龙,✅,✅命中,1,16,31,-14
26,"狗, 马, 猴, 虎",鼠,❌,❌未中,1,16,-16,-30
27,"马, 猴, 狗, 虎",牛,❌,❌未中,2,32,-32,-62
28,"马, 猴, 狗, 虎",猪,❌,❌未中,3,48,-48,-110
29,"马, 猴, 狗, 鸡",兔,🛑,亏损超过100元-暂停,0,0,0,-110
30,"猴, 狗, 马, 鸡",蛇,⏸️,暂停第2期,0,0,0,-110
31,"马, 猴, 狗, 虎",猪,🛑,亏损超过100元-暂停,0,0,0,-110
32,"狗, 猴, 马, 虎",鼠,⏸️,暂停第2期,0,0,0,-110
33,"狗, 马, 猴, 鸡",羊,🛑,亏损超过100元-暂停,0,0,0,-110
34,"猴, 狗, 虎, 马",虎,⏸️会中,暂停中-恢复,0,0,0,-110
35,"马, 猴, 狗, 鸡",马,🛑,亏损超过100元-暂停,0,0,0,-110
36,"猴, 狗, 鸡, 龙",虎,⏸️,暂停第2期,0,0,0,-110
37,"猴, 狗, 鸡, 牛",蛇,🛑,亏损超过100元-暂停,0,0,0,-110
38,"猴, 鸡, 狗, 龙",猪,⏸️,暂停第2期,0,0,0,-110
39,"猴, 鸡, 龙, 狗",蛇,🛑,亏损超过100元-暂停,0,0,0,-110
40,"猴, 鸡, 龙, 狗",兔,⏸️,暂停第2期,0,0,0,-110
41,"猴, 鸡, 龙, 狗",兔,🛑,亏损超过100元-暂停,0,0,0,-110
42,"狗, 鸡, 猴, 龙",羊,⏸️,暂停第2期,0,0,0,-110
43,"狗, 鸡, 猴, 龙",马,🛑,亏损超过100元-暂停,0,0,0,-110
44,"猴, 狗, 鸡, 龙",猴,⏸️会中,暂停中-恢复,0,0,0,-110
45,"狗, 鸡, 龙, 牛",马,🛑,亏损超过100元-暂停,0,0,0,-110
46,"狗, 龙, 鸡, 牛",蛇,⏸️,暂停第2期,0,0,0,-110
47,"狗, 龙, 鸡, 猴",龙,🛑,亏损超过100元-暂停,0,0,0,-110
48,"狗, 鸡, 牛, 鼠",羊,⏸️,暂停第2期,0,0,0,-110
49,"狗, 鸡, 牛, 猴",蛇,🛑,亏损超过100元-暂停,0,0,0,-110
50,"狗, 鸡, 牛, 猴",羊,⏸️,暂停第2期,0,0,0,-110
