period,top4,actual,is_hit,action,multiplier,bet_amount,profit,balance
1,"鼠, 兔, 狗, 猴",牛,❌,❌未中,1.0,16,-16,-16
2,"鼠, 狗, 兔, 虎",鸡,❌,❌未中,1.0,16,-16,-32
3,"鼠, 狗, 兔, 虎",虎,✅,✅命中,1.0,16,31,-1
4,"鼠, 兔, 狗, 羊",兔,✅,✅命中,1.0,16,31,30
5,"鼠, 狗, 猴, 羊",羊,✅,✅命中,1.0,16,31,61
6,"鼠, 狗, 猴, 猪",羊,❌,❌未中,1.0,16,-16,45
7,"鼠, 狗, 兔, 龙",蛇,❌,❌未中,1.0,16,-16,29
8,"鼠, 狗, 兔, 龙",龙,✅,✅命中,1.0,16,31,60
9,"猴, 鼠, 狗, 兔",猪,❌,❌未中,1.0,16,-16,44
10,"猴, 鼠, 兔, 狗",鼠,✅,✅命中,1.0,16,31,75
11,"猴, 兔, 狗, 虎",狗,✅,✅命中,1.0,16,31,106
12,"猴, 虎, 兔, 马",兔,✅,✅命中,1.0,16,31,137
13,"猴, 虎, 鼠, 马",猴,✅,✅命中,1.0,16,31,168
14,"鼠, 虎, 马, 狗",马,✅,✅命中,1.0,16,31,199
15,"鼠, 虎, 狗, 牛",鼠,✅,✅命中,1.0,16,31,230
16,"虎, 狗, 牛, 猴",鼠,❌,❌未中,1.0,16,-16,214
17,"虎, 狗, 牛, 猴",羊,❌,❌未中,1.0,16,-16,198
18,"虎, 猪, 狗, 兔",虎,✅,✅命中,1.0,16,31,229
19,"猴, 狗, 兔, 猪",蛇,❌,❌未中,1.0,16,-16,213
20,"牛, 猴, 猪, 狗",猪,✅,✅命中,1.0,16,31,244
21,"牛, 狗, 猴, 马",鸡,❌,❌未中,1.0,16,-16,228
22,"牛, 狗, 猴, 马",兔,❌,❌未中,1.0,16,-16,212
23,"牛, 狗, 龙, 猴",蛇,❌,❌未中,1.0,16,-16,196
24,"狗, 牛, 龙, 马",牛,✅,✅命中,1.0,16,31,227
25,"狗, 龙, 猴, 马",龙,✅,✅命中,1.0,16,31,258
26,"狗, 马, 猴, 虎",鼠,❌,❌未中,1.0,16,-16,242
27,"马, 猴, 狗, 虎",牛,❌,❌未中,1.0,16,-16,226
28,"马, 猴, 狗, 虎",猪,❌,❌未中,1.0,16,-16,210
29,"马, 猴, 狗, 鸡",兔,❌,❌未中,1.0,16,-16,194
30,"猴, 狗, 马, 鸡",蛇,🛑,连续4次不中-暂停,0.0,0,0,194
31,"马, 猴, 狗, 虎",猪,⏸️,暂停第2期,0.0,0,0,194
32,"狗, 猴, 马, 虎",鼠,🛑,连续4次不中-暂停,0.0,0,0,194
33,"狗, 马, 猴, 鸡",羊,⏸️,暂停第2期,0.0,0,0,194
34,"猴, 狗, 虎, 马",虎,🛑,连续4次不中-暂停,0.0,0,0,194
35,"马, 猴, 狗, 鸡",马,⏸️会中,暂停中-恢复,0.0,0,0,194
36,"猴, 狗, 鸡, 龙",虎,❌,❌未中,1.0,16,-16,178
37,"猴, 狗, 鸡, 牛",蛇,❌,❌未中,1.0,16,-16,162
38,"猴, 鸡, 狗, 龙",猪,❌,❌未中,1.0,16,-16,146
39,"猴, 鸡, 龙, 狗",蛇,❌,❌未中,1.0,16,-16,130
40,"猴, 鸡, 龙, 狗",兔,🛑,连续4次不中-暂停,0.0,0,0,130
41,"猴, 鸡, 龙, 狗",兔,⏸️,暂停第2期,0.0,0,0,130
42,"狗, 鸡, 猴, 龙",羊,🛑,连续4次不中-暂停,0.0,0,0,130
43,"狗, 鸡, 猴, 龙",马,⏸️,暂停第2期,0.0,0,0,130
44,"猴, 狗, 鸡, 龙",猴,🛑,连续4次不中-暂停,0.0,0,0,130
45,"狗, 鸡, 龙, 牛",马,⏸️,暂停第2期,0.0,0,0,130
46,"狗, 龙, 鸡, 牛",蛇,🛑,连续4次不中-暂停,0.0,0,0,130
47,"狗, 龙, 鸡, 猴",龙,⏸️会中,暂停中-恢复,0.0,0,0,130
48,"狗, 鸡, 牛, 鼠",羊,❌,❌未中,1.0,16,-16,114
49,"狗, 鸡, 牛, 猴",蛇,❌,❌未中,1.0,16,-16,98
50,"狗, 鸡, 牛, 猴",羊,❌,❌未中,1.0,16,-16,82
