period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
1,2025/5/1,"['牛', '猪', '蛇', '马']",马,True,30,30,0
2,2025/5/2,"['牛', '蛇', '猪', '龙']",鸡,False,-16,14,1
3,2025/5/3,"['牛', '蛇', '猪', '虎']",鸡,False,-16,-2,2
4,2025/5/4,"['牛', '蛇', '猪', '虎']",猴,False,-16,-18,3
5,2025/5/5,"['牛', '蛇', '猪', '虎']",蛇,True,30,12,0
6,2025/5/6,"['牛', '猪', '狗', '虎']",龙,False,-16,-4,1
7,2025/5/7,"['牛', '猪', '狗', '虎']",蛇,False,-16,-20,2
8,2025/5/8,"['牛', '猪', '狗', '虎']",蛇,False,-16,-36,3
9,2025/5/9,"['牛', '猪', '狗', '马']",虎,False,-16,-52,4
10,2025/5/10,"['牛', '猪', '狗', '鸡']",羊,False,-16,-68,5
11,2025/5/11,"['牛', '猪', '狗', '鼠']",羊,False,-16,-84,6
12,2025/5/12,"['牛', '猪', '狗', '鼠']",龙,False,-16,-100,7
13,2025/5/13,"['牛', '猪', '狗', '鼠']",猴,False,-16,-116,8
14,2025/5/14,"['牛', '狗', '猪', '鼠']",龙,False,-16,-132,9
15,2025/5/15,"['牛', '狗', '猪', '鼠']",蛇,False,-16,-148,10
16,2025/5/16,"['牛', '狗', '猪', '鼠']",鸡,False,-16,-164,11
17,2025/5/17,"['鼠', '牛', '狗', '猪']",马,False,-16,-180,12
18,2025/5/18,"['鼠', '牛', '狗', '猪']",牛,True,30,-150,0
19,2025/5/19,"['鼠', '狗', '猪', '兔']",龙,False,-16,-166,1
20,2025/5/20,"['鼠', '狗', '猪', '兔']",羊,False,-16,-182,2
21,2025/5/21,"['鼠', '狗', '猪', '兔']",蛇,False,-16,-198,3
22,2025/5/22,"['鼠', '狗', '猪', '兔']",狗,True,30,-168,0
23,2025/5/23,"['鼠', '猪', '兔', '虎']",猴,False,-16,-184,1
24,2025/5/24,"['鼠', '猪', '兔', '虎']",蛇,False,-16,-200,2
25,2025/5/25,"['鼠', '猪', '兔', '牛']",牛,True,30,-170,0
26,2025/5/26,"['鼠', '兔', '猪', '狗']",龙,False,-16,-186,1
27,2025/5/27,"['鼠', '兔', '猪', '狗']",狗,True,30,-156,0
28,2025/5/28,"['鼠', '兔', '猪', '虎']",龙,False,-16,-172,1
29,2025/5/29,"['鼠', '兔', '猪', '虎']",牛,False,-16,-188,2
30,2025/5/30,"['鼠', '兔', '猪', '虎']",虎,True,30,-158,0
31,2025/5/31,"['鼠', '兔', '猪', '马']",龙,False,-16,-174,1
32,2025/6/1,"['鼠', '兔', '猪', '马']",猴,False,-16,-190,2
33,2025/6/2,"['鼠', '兔', '猪', '马']",猪,True,30,-160,0
34,2025/6/3,"['鼠', '兔', '马', '鸡']",龙,False,-16,-176,1
35,2025/6/4,"['鼠', '兔', '马', '鸡']",鸡,True,30,-146,0
36,2025/6/5,"['鼠', '兔', '马', '猪']",鼠,True,30,-116,0
37,2025/6/6,"['兔', '马', '猪', '龙']",羊,False,-16,-132,1
38,2025/6/7,"['兔', '马', '狗', '猪']",牛,False,-16,-148,2
39,2025/6/8,"['兔', '马', '狗', '鼠']",猪,False,-16,-164,3
40,2025/6/9,"['兔', '马', '狗', '鼠']",羊,False,-16,-180,4
41,2025/6/10,"['兔', '马', '狗', '虎']",虎,True,30,-150,0
42,2025/6/11,"['兔', '马', '狗', '鼠']",蛇,False,-16,-166,1
43,2025/6/12,"['兔', '马', '鼠', '狗']",羊,False,-16,-182,2
44,2025/6/13,"['兔', '马', '鼠', '狗']",蛇,False,-16,-198,3
45,2025/6/14,"['兔', '马', '猴', '狗']",羊,False,-16,-214,4
46,2025/6/15,"['兔', '马', '猴', '狗']", 牛,False,-16,-230,5
47,2025/6/16,"['兔', '马', '鼠', '鸡']",鸡,True,30,-200,0
48,2025/6/17,"['兔', '马', '狗', '鼠']",虎,False,-16,-216,1
49,2025/6/18,"['兔', '马', '鼠', '狗']",猪,False,-16,-232,2
50,2025/6/19,"['兔', '马', '鼠', '狗']",鸡,False,-16,-248,3
51,2025/6/20,"['兔', '马', '鼠', '狗']",羊,False,-16,-264,4
52,2025/6/21,"['兔', '马', '狗', '鼠']",马,True,30,-234,0
53,2025/6/22,"['兔', '狗', '猴', '鼠']",龙,False,-16,-250,1
54,2025/6/23,"['兔', '猴', '狗', '鼠']",兔,True,30,-220,0
55,2025/6/24,"['猴', '狗', '鼠', '蛇']",鼠,True,30,-190,0
56,2025/6/25,"['猴', '狗', '蛇', '马']",马,True,30,-160,0
57,2025/6/26,"['猴', '狗', '蛇', '兔']",虎,False,-16,-176,1
58,2025/6/27,"['狗', '猴', '蛇', '兔']",兔,True,30,-146,0
59,2025/6/28,"['狗', '猴', '牛', '蛇']",马,False,-16,-162,1
60,2025/6/29,"['狗', '牛', '猴', '蛇']",牛,True,30,-132,0
61,2025/6/30,"['狗', '猴', '蛇', '兔']",羊,False,-16,-148,1
62,2025/7/1,"['狗', '猴', '蛇', '兔']",鼠,False,-16,-164,2
63,2025/7/2,"['猴', '狗', '蛇', '兔']",鸡,False,-16,-180,3
64,2025/7/3,"['猴', '狗', '猪', '蛇']",虎,False,-16,-196,4
65,2025/7/4,"['猴', '狗', '蛇', '龙']",牛,False,-16,-212,5
66,2025/7/5,"['猴', '狗', '龙', '蛇']",狗,True,30,-182,0
67,2025/7/6,"['猴', '龙', '蛇', '猪']",鸡,False,-16,-198,1
68,2025/7/7,"['猴', '龙', '蛇', '猪']",兔,False,-16,-214,2
69,2025/7/8,"['猴', '蛇', '龙', '狗']",牛,False,-16,-230,3
70,2025/7/9,"['猴', '猪', '蛇', '龙']",鼠,False,-16,-246,4
71,2025/7/10,"['猴', '猪', '蛇', '龙']",牛,False,-16,-262,5
72,2025/7/11,"['猴', '猪', '蛇', '龙']",鸡,False,-16,-278,6
73,2025/7/12,"['猴', '猪', '蛇', '龙']",马,False,-16,-294,7
74,2025/7/13,"['猴', '龙', '猪', '蛇']",牛,False,-16,-310,8
75,2025/7/14,"['蛇', '猴', '龙', '猪']",蛇,True,30,-280,0
76,2025/7/15,"['猴', '龙', '猪', '羊']",龙,True,30,-250,0
77,2025/7/16,"['猴', '猪', '狗', '羊']",猴,True,30,-220,0
