period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,skipped
1,"['鼠', '鸡', '猴', '猪']","[1, 3, 4, 12, 13, 15, 16, 24, 25, 27, 28, 36, 37, 39, 40, 48, 49]",17,49,True,1,0,1.0,17.0,30.0,30.0,30.0,False
2,"['鼠', '猴', '猪', '兔']","[3, 4, 7, 12, 15, 16, 19, 24, 27, 28, 31, 36, 39, 40, 43, 48]",16,40,True,2,0,1.0,16.0,31.0,61.0,61.0,False
3,"['兔', '猴', '猪', '马']","[3, 7, 10, 12, 15, 19, 22, 24, 27, 31, 34, 36, 39, 43, 46, 48]",16,5,False,0,1,0.8,12.8,-12.8,48.2,48.2,False
4,"['兔', '猴', '猪', '鸡']","[1, 3, 7, 12, 13, 15, 19, 24, 25, 27, 31, 36, 37, 39, 43, 48, 49]",17,22,False,0,2,1.0,17.0,-17.0,31.200000000000003,31.200000000000003,False
5,"['兔', '猴', '猪', '狗']","[2, 3, 7, 12, 14, 15, 19, 24, 26, 27, 31, 36, 38, 39, 43, 48]",16,15,True,1,0,2.0,32.0,62.0,93.2,93.2,False
6,"['兔', '猴', '蛇', '狗']","[2, 7, 9, 12, 14, 19, 21, 24, 26, 31, 33, 36, 38, 43, 45, 48]",16,48,True,2,0,1.0,16.0,31.0,124.2,124.2,False
7,"['兔', '蛇', '狗', '虎']","[2, 6, 7, 9, 14, 18, 19, 21, 26, 30, 31, 33, 38, 42, 43, 45]",16,42,True,3,0,0.8,12.8,24.8,149.0,149.0,False
8,"['蛇', '兔', '狗', '鸡']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,17,False,0,1,0.5,8.5,-8.5,140.5,140.5,False
9,"['兔', '蛇', '狗', '龙']","[2, 7, 8, 9, 14, 19, 20, 21, 26, 31, 32, 33, 38, 43, 44, 45]",16,20,True,1,0,1.0,16.0,31.0,171.5,171.5,False
10,"['兔', '蛇', '狗', '鸡']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,39,False,0,1,1.0,17.0,-17.0,154.5,154.5,False
11,"['兔', '蛇', '鼠', '狗']","[2, 4, 7, 9, 14, 16, 19, 21, 26, 28, 31, 33, 38, 40, 43, 45]",16,6,False,0,2,1.0,16.0,-16.0,138.5,138.5,False
12,"['兔', '蛇', '鸡', '鼠']","[1, 4, 7, 9, 13, 16, 19, 21, 25, 28, 31, 33, 37, 40, 43, 45, 49]",17,16,True,1,0,2.0,34.0,60.0,198.5,198.5,False
13,"['兔', '蛇', '鸡', '狗']","[1, 2, 7, 9, 13, 14, 19, 21, 25, 26, 31, 33, 37, 38, 43, 45, 49]",17,37,True,2,0,1.0,17.0,30.0,228.5,228.5,False
14,"['兔', '蛇', '羊', '狗']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,14,True,3,0,0.8,12.8,24.8,253.3,253.3,False
15,"['兔', '蛇', '羊', '鼠']","[4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47]",16,38,False,0,1,0.5,8.0,-8.0,245.3,245.3,False
16,"['兔', '蛇', '羊', '鼠']","[4, 7, 9, 11, 16, 19, 21, 23, 28, 31, 33, 35, 40, 43, 45, 47]",16,23,True,1,0,1.0,16.0,31.0,276.3,276.3,False
17,"['兔', '蛇', '猴', '鼠']","[4, 7, 9, 12, 16, 19, 21, 24, 28, 31, 33, 36, 40, 43, 45, 48]",16,4,True,2,0,1.0,16.0,31.0,307.3,307.3,False
18,"['兔', '猴', '蛇', '马']","[7, 9, 10, 12, 19, 21, 22, 24, 31, 33, 34, 36, 43, 45, 46, 48]",16,24,True,3,0,0.8,12.8,24.8,332.1,332.1,False
19,"['兔', '蛇', '牛', '马']","[5, 7, 9, 10, 17, 19, 21, 22, 29, 31, 33, 34, 41, 43, 45, 46]",16,18,False,0,1,0.5,8.0,-8.0,324.1,324.1,False
20,"['兔', '蛇', '马', '龙']","[7, 8, 9, 10, 19, 20, 21, 22, 31, 32, 33, 34, 43, 44, 45, 46]",16,6,False,0,2,1.0,16.0,-16.0,308.1,308.1,False
21,"['兔', '蛇', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,45,True,1,0,2.0,32.0,62.0,370.1,370.1,False
22,"['兔', '马', '猪', '龙']","[3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46]",16,28,False,0,1,1.0,16.0,-16.0,354.1,354.1,False
23,"['兔', '马', '猪', '龙']","[3, 7, 8, 10, 15, 19, 20, 22, 27, 31, 32, 34, 39, 43, 44, 46]",16,23,False,0,2,1.0,16.0,-16.0,338.1,338.1,False
24,"['兔', '龙', '马', '鸡']","[1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49]",17,47,False,0,3,2.0,34.0,-34.0,304.1,304.1,False
25,"['马', '兔', '龙', '鸡']","[1, 7, 8, 10, 13, 19, 20, 22, 25, 31, 32, 34, 37, 43, 44, 46, 49]",17,9,False,0,4,4.0,68.0,-68.0,236.10000000000002,236.10000000000002,False
26,"['马', '兔', '狗', '鸡']","[1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49]",17,15,False,0,5,6.0,102.0,-102.0,134.10000000000002,134.10000000000002,False
