period,top4,actual,is_hit,multiplier,bet_amount,profit,balance,consecutive_losses
1,"鼠, 兔, 狗, 猴",牛,❌,1.0,16,-16,-16,1
2,"鼠, 狗, 兔, 虎",鸡,❌,1.0,16,-16,-32,2
3,"鼠, 狗, 兔, 虎",虎,✅,1.5,24,23,-9,0
4,"鼠, 兔, 狗, 羊",兔,✅,1.0,16,31,22,0
5,"鼠, 狗, 猴, 羊",羊,✅,1.0,16,31,53,0
6,"鼠, 狗, 猴, 猪",羊,❌,1.0,16,-16,37,1
7,"鼠, 狗, 兔, 龙",蛇,❌,1.0,16,-16,21,2
8,"鼠, 狗, 兔, 龙",龙,✅,1.5,24,23,44,0
9,"猴, 鼠, 狗, 兔",猪,❌,1.0,16,-16,28,1
10,"猴, 鼠, 兔, 狗",鼠,✅,1.0,16,31,59,0
11,"猴, 兔, 狗, 虎",狗,✅,1.0,16,31,90,0
12,"猴, 虎, 兔, 马",兔,✅,1.0,16,31,121,0
13,"猴, 虎, 鼠, 马",猴,✅,1.0,16,31,152,0
14,"鼠, 虎, 马, 狗",马,✅,1.0,16,31,183,0
15,"鼠, 虎, 狗, 牛",鼠,✅,1.0,16,31,214,0
16,"虎, 狗, 牛, 猴",鼠,❌,1.0,16,-16,198,1
17,"虎, 狗, 牛, 猴",羊,❌,1.0,16,-16,182,2
18,"虎, 猪, 狗, 兔",虎,✅,1.5,24,23,205,0
19,"猴, 狗, 兔, 猪",蛇,❌,1.0,16,-16,189,1
20,"牛, 猴, 猪, 狗",猪,✅,1.0,16,31,220,0
21,"牛, 狗, 猴, 马",鸡,❌,1.0,16,-16,204,1
22,"牛, 狗, 猴, 马",兔,❌,1.0,16,-16,188,2
23,"牛, 狗, 龙, 猴",蛇,❌,1.5,24,-24,164,3
24,"狗, 牛, 龙, 马",牛,✅,1.5,24,23,187,0
25,"狗, 龙, 猴, 马",龙,✅,1.0,16,31,218,0
26,"狗, 马, 猴, 虎",鼠,❌,1.0,16,-16,202,1
27,"马, 猴, 狗, 虎",牛,❌,1.0,16,-16,186,2
28,"马, 猴, 狗, 虎",猪,❌,1.5,24,-24,162,3
29,"马, 猴, 狗, 鸡",兔,❌,1.5,24,-24,138,4
30,"猴, 狗, 马, 鸡",蛇,❌,2.0,32,-32,106,5
31,"马, 猴, 狗, 虎",猪,❌,2.0,32,-32,74,6
32,"狗, 猴, 马, 虎",鼠,❌,2.0,32,-32,42,7
33,"狗, 马, 猴, 鸡",羊,❌,2.0,32,-32,10,8
34,"猴, 狗, 虎, 马",虎,✅,2.0,32,15,25,0
35,"马, 猴, 狗, 鸡",马,✅,1.0,16,31,56,0
36,"猴, 狗, 鸡, 龙",虎,❌,1.0,16,-16,40,1
37,"猴, 狗, 鸡, 牛",蛇,❌,1.0,16,-16,24,2
38,"猴, 鸡, 狗, 龙",猪,❌,1.5,24,-24,0,3
39,"猴, 鸡, 龙, 狗",蛇,❌,1.5,24,-24,-24,4
40,"猴, 鸡, 龙, 狗",兔,❌,2.0,32,-32,-56,5
41,"猴, 鸡, 龙, 狗",兔,❌,2.0,32,-32,-88,6
42,"狗, 鸡, 猴, 龙",羊,❌,2.0,32,-32,-120,7
43,"狗, 鸡, 猴, 龙",马,❌,2.0,32,-32,-152,8
44,"猴, 狗, 鸡, 龙",猴,✅,2.0,32,15,-137,0
45,"狗, 鸡, 龙, 牛",马,❌,1.0,16,-16,-153,1
46,"狗, 龙, 鸡, 牛",蛇,❌,1.0,16,-16,-169,2
47,"狗, 龙, 鸡, 猴",龙,✅,1.5,24,23,-146,0
48,"狗, 鸡, 牛, 鼠",羊,❌,1.0,16,-16,-162,1
49,"狗, 鸡, 牛, 猴",蛇,❌,1.0,16,-16,-178,2
50,"狗, 鸡, 牛, 猴",羊,❌,1.5,24,-24,-202,3
