生肖TOP4 v3 - 最近300期详细验证 (热号互补反miss)
数据: 438期, 测试区间: 第139期 ~ 第438期
===============================================================================================
    序号            日期    号码    实际                    预测    结果              模式      累计
-----------------------------------------------------------------------------------------------
     1     2025/6/19    33     狗               羊,龙,猪,鸡     X              正常    0.0%
     2     2025/6/20    47     猴               龙,羊,鸡,猪     X              正常    0.0%
     3     2025/6/21    36     羊               蛇,鸡,虎,猪     X         热号blend    0.0%
     4     2025/6/22    38     蛇               蛇,鸡,牛,猪     O         热号blend   25.0%
     5     2025/6/23    39     龙               鸡,猪,龙,牛     O              正常   40.0%
     6     2025/6/24    30     牛               鸡,猪,牛,龙     O              正常   50.0%
     7     2025/6/25    36     羊               猪,鸡,龙,羊     O              正常   57.1%
     8     2025/6/26     4     兔               猪,鸡,蛇,牛     X              正常   50.0%
     9     2025/6/27    27     龙               猪,鸡,龙,马     O              正常   55.6%
    10     2025/6/28    24     羊               鸡,猪,牛,蛇     X              正常   50.0%
    11     2025/6/29    29     虎               猪,鸡,马,蛇     X              正常   45.5%
    12     2025/6/30    23     猴               马,猴,蛇,鼠     O         热号blend   50.0%
    13      2025/7/1    42     牛               马,鸡,猪,虎     X              正常   46.2%
    14      2025/7/2    33     狗               猪,鸡,马,蛇     X              正常   42.9%
    15      2025/7/3    28     兔               马,猴,鸡,兔     O         热号blend   46.7%
    16      2025/7/4     5     虎               猪,鸡,马,鼠     X              正常   43.8%
    17      2025/7/5     8     猪               马,鼠,猪,鸡     O              正常   47.1%
    18      2025/7/6    45     狗               鸡,鼠,马,蛇     X              正常   44.4%
    19      2025/7/7    15     龙               鸡,马,鼠,猪     X              正常   42.1%
    20      2025/7/8    17     虎               猴,马,鼠,蛇     X         热号blend   40.0%
    21      2025/7/9    18     牛               猴,马,蛇,鼠     X         热号blend   38.1%
    22     2025/7/10    29     虎             马,猴,蛇,鼠,兔     X          扩展TOP5   36.4%
    23     2025/7/11    45     狗             猴,马,蛇,鼠,虎     X          扩展TOP5   34.8%
    24     2025/7/12    24     羊             猴,兔,羊,狗,虎     O          扩展TOP5   37.5%
    25     2025/7/13    29     虎               蛇,鸡,马,鼠     X              正常   36.0%
    26     2025/7/14    25     马               蛇,鼠,马,鸡     O              正常   38.5%
    27     2025/7/15    14     蛇               蛇,鸡,鼠,猪     O              正常   40.7%
