period,actual,predicted_top5,hit,base_mult,final_mult,bet,profit,balance,recent_rate,fib_index,hit_limit
92,鸡,"牛,蛇,猪,鼠,狗",✗,1,1.0,20.0,-20.0,-20.0,42.0%,1,
93,猴,"牛,蛇,猪,鼠,狗",✗,1,1.0,20.0,-20.0,-40.0,0.0%,2,
94,蛇,"牛,猪,蛇,鼠,狗",✓,2,2.0,40.0,54.0,14.0,0.0%,0,
95,龙,"牛,猪,鼠,羊,虎",✗,1,1.0,20.0,-20.0,-6.0,33.3%,1,
96,蛇,"牛,猪,马,鼠,羊",✗,1,1.0,20.0,-20.0,-26.0,25.0%,2,
97,蛇,"牛,猪,羊,马,鼠",✗,2,2.0,40.0,-40.0,-66.0,20.0%,3,
98,虎,"牛,猪,马,狗,羊",✗,3,3.0,60.0,-60.0,-126.0,16.7%,4,
99,羊,"牛,猪,马,羊,鼠",✓,5,5.0,100.0,135.0,9.0,14.3%,0,
100,羊,"牛,猪,马,狗,鼠",✗,1,1.0,20.0,-20.0,-11.0,25.0%,1,
101,龙,"牛,猪,马,狗,鼠",✗,1,1.0,20.0,-20.0,-31.0,22.2%,2,
102,猴,"牛,猪,狗,马,鼠",✗,2,2.0,40.0,-40.0,-71.0,20.0%,3,
103,龙,"牛,猪,狗,马,鼠",✗,3,3.0,60.0,-60.0,-131.0,18.2%,4,
104,蛇,"牛,猪,狗,鼠,马",✗,5,4.0,80.0,-80.0,-211.0,16.7%,5,
105,鸡,"牛,猪,狗,鼠,马",✗,8,6.4,128.0,-128.0,-339.0,16.7%,6,
106,马,"牛,猪,马,狗,鼠",✓,10,8.0,160.0,216.0,-123.0,16.7%,0,
107,牛,"牛,猪,狗,鼠,虎",✓,1,1.0,20.0,27.0,-96.0,16.7%,0,
108,龙,"猪,狗,鼠,牛,虎",✗,1,1.0,20.0,-20.0,-116.0,25.0%,1,
109,羊,"猪,狗,鼠,牛,虎",✗,1,1.0,20.0,-20.0,-136.0,25.0%,2,
110,蛇,"猪,狗,鼠,虎,牛",✗,2,2.0,40.0,-40.0,-176.0,25.0%,3,
111,狗,"猪,狗,鼠,虎,牛",✓,3,3.0,60.0,81.0,-95.0,25.0%,0,
112,猴,"猪,鼠,牛,虎,兔",✗,1,1.0,20.0,-20.0,-115.0,25.0%,1,
113,蛇,"猪,牛,虎,鼠,马",✗,1,1.0,20.0,-20.0,-135.0,25.0%,2,
114,牛,"猪,牛,鼠,虎,马",✓,2,2.0,40.0,54.0,-81.0,25.0%,0,
115,龙,"猪,鼠,虎,兔,马",✗,1,1.0,20.0,-20.0,-101.0,33.3%,1,
116,狗,"猪,鼠,虎,兔,狗",✓,1,1.0,20.0,27.0,-74.0,33.3%,0,
117,龙,"猪,鼠,虎,兔,马",✗,1,1.2,24.0,-24.0,-98.0,41.7%,1,
118,牛,"猪,鼠,虎,兔,马",✗,1,1.2,24.0,-24.0,-122.0,41.7%,2,
119,虎,"猪,鼠,兔,虎,马",✓,2,2.0,40.0,54.0,-68.0,33.3%,0,
120,龙,"猪,鼠,兔,马,鸡",✗,1,1.0,20.0,-20.0,-88.0,33.3%,1,
121,猴,"猪,鼠,兔,马,鸡",✗,1,1.0,20.0,-20.0,-108.0,33.3%,2,
122,猪,"猪,鼠,兔,马,鸡",✓,2,2.0,40.0,54.0,-54.0,33.3%,0,
123,龙,"鼠,兔,马,鸡,猪",✗,1,1.2,24.0,-24.0,-78.0,41.7%,1,
124,鸡,"鼠,兔,马,鸡,猪",✓,1,1.0,20.0,27.0,-51.0,33.3%,0,
125,鼠,"鼠,兔,马,猪,虎",✓,1,1.2,24.0,32.4,-18.6,41.7%,0,
126,羊,"兔,马,猪,虎,狗",✗,1,1.2,24.0,-24.0,-42.6,50.0%,1,
127,牛,"兔,猪,马,狗,虎",✗,1,1.2,24.0,-24.0,-66.6,41.7%,2,
128,猪,"兔,猪,马,狗,虎",✓,2,2.4,48.0,64.8,-1.7999999999999972,41.7%,0,
129,羊,"兔,马,狗,虎,鼠",✗,1,1.2,24.0,-24.0,-25.799999999999997,41.7%,1,
130,虎,"兔,马,虎,狗,鼠",✓,1,1.2,24.0,32.4,6.600000000000001,41.7%,0,
