生肖TOP9预测器 - 300期验证详情
命中率: 85.0%, 最大连miss: 2, ROI: +8.6%
交叉验证: 82.2% ± 6.4%
====================================================================================================

第  1期 | 号码=33 生肖=狗 | 预测=龙,羊,蛇,猪,鸡,牛,马,虎,兔 | ❌ | 正常(多维度组合)
第  2期 | 号码=47 生肖=猴 | 预测=龙,羊,猪,鸡,蛇,牛,虎,马,狗 | ❌ | 正常(多维度组合)
第  3期 | 号码=36 生肖=羊 | 预测=蛇,龙,猪,鸡,虎,羊,马,猴,兔 | ✅ | 反miss-L1(blend热号, 连miss=2)
第  4期 | 号码=38 生肖=蛇 | 预测=龙,蛇,猪,鸡,牛,虎,马,羊,狗 | ✅ | 正常(多维度组合)
第  5期 | 号码=39 生肖=龙 | 预测=龙,猪,鸡,牛,虎,马,蛇,兔,狗 | ✅ | 正常(多维度组合)
第  6期 | 号码=30 生肖=牛 | 预测=猪,鸡,牛,虎,蛇,鼠,马,龙,兔 | ✅ | 正常(多维度组合)
第  7期 | 号码=36 生肖=羊 | 预测=猪,鸡,蛇,虎,鼠,马,羊,龙,兔 | ✅ | 正常(多维度组合)
第  8期 | 号码= 4 生肖=兔 | 预测=猪,鸡,蛇,虎,兔,鼠,马,牛,狗 | ✅ | 正常(多维度组合)
第  9期 | 号码=27 生肖=龙 | 预测=猪,鸡,马,虎,鼠,蛇,龙,牛,狗 | ✅ | 正常(多维度组合)
第 10期 | 号码=24 生肖=羊 | 预测=鸡,猪,虎,马,鼠,猴,蛇,牛,狗 | ❌ | 正常(多维度组合)
第 11期 | 号码=29 生肖=虎 | 预测=猪,鸡,马,蛇,虎,鼠,猴,牛,狗 | ✅ | 正常(多维度组合)
第 12期 | 号码=23 生肖=猴 | 预测=猪,鸡,马,鼠,猴,蛇,狗,牛,兔 | ✅ | 正常(多维度组合)
第 13期 | 号码=42 生肖=牛 | 预测=猪,鸡,马,鼠,狗,蛇,牛,虎,猴 | ✅ | 正常(多维度组合)
第 14期 | 号码=33 生肖=狗 | 预测=猪,鸡,马,鼠,狗,蛇,虎,猴,兔 | ✅ | 正常(多维度组合)
第 15期 | 号码=28 生肖=兔 | 预测=猪,鸡,马,鼠,兔,蛇,虎,猴,狗 | ✅ | 正常(多维度组合)
第 16期 | 号码= 5 生肖=虎 | 预测=猪,鸡,马,鼠,蛇,虎,龙,猴,牛 | ✅ | 正常(多维度组合)
第 17期 | 号码= 8 生肖=猪 | 预测=猪,鸡,马,鼠,蛇,狗,猴,兔,龙 | ✅ | 正常(多维度组合)
第 18期 | 号码=45 生肖=狗 | 预测=鸡,马,鼠,猴,蛇,狗,牛,兔,猪 | ✅ | 正常(多维度组合)
第 19期 | 号码=15 生肖=龙 | 预测=鸡,马,鼠,猴,蛇,猪,兔,羊,龙 | ✅ | 正常(多维度组合)
第 20期 | 号码=17 生肖=虎 | 预测=鸡,马,鼠,蛇,猴,羊,猪,兔,牛 | ❌ | 正常(多维度组合)
第 21期 | 号码=18 生肖=牛 | 预测=鸡,马,鼠,蛇,猴,兔,羊,猪,狗 | ❌ | 正常(多维度组合)
第 22期 | 号码=29 生肖=虎 | 预测=马,猴,兔,狗,鸡,羊,鼠,蛇,虎 | ✅ | 反miss-L1(blend热号, 连miss=2)
第 23期 | 号码=45 生肖=狗 | 预测=鸡,马,鼠,蛇,猴,羊,兔,狗,猪 | ✅ | 正常(多维度组合)
第 24期 | 号码=24 生肖=羊 | 预测=鸡,马,鼠,蛇,猴,羊,兔,猪,龙 | ✅ | 正常(多维度组合)
第 25期 | 号码=29 生肖=虎 | 预测=鸡,马,蛇,鼠,猴,兔,龙,猪,羊 | ❌ | 正常(多维度组合)
第 26期 | 号码=25 生肖=马 | 预测=鸡,马,鼠,蛇,猴,兔,猪,龙,羊 | ✅ | 正常(多维度组合)
第 27期 | 号码=14 生肖=蛇 | 预测=鸡,蛇,鼠,猴,兔,猪,龙,羊,牛 | ✅ | 正常(多维度组合)
第 28期 | 号码=34 生肖=鸡 | 预测=鸡,鼠,猴,兔,龙,猪,羊,牛,马 | ✅ | 正常(多维度组合)
第 29期 | 号码=43 生肖=鼠 | 预测=鼠,猴,兔,龙,羊,牛,猪,蛇,马 | ✅ | 正常(多维度组合)
第 30期 | 号码=10 生肖=鸡 | 预测=猴,羊,龙,兔,牛,猪,狗,蛇,马 | ❌ | 正常(多维度组合)
第 31期 | 号码=47 生肖=猴 | 预测=猴,兔,龙,羊,牛,猪,狗,蛇,马 | ✅ | 正常(多维度组合)
第 32期 | 号码=47 生肖=猴 | 预测=兔,牛,羊,龙,猪,马,猴,狗,蛇 | ✅ | 正常(多维度组合)
第 33期 | 号码=20 生肖=猪 | 预测=兔,猪,牛,羊,龙,马,狗,蛇,鼠 | ✅ | 正常(多维度组合)
第 34期 | 号码=18 生肖=牛 | 预测=兔,牛,龙,狗,羊,蛇,马,鼠,猪 | ✅ | 正常(多维度组合)
第 35期 | 号码=30 生肖=牛 | 预测=龙,兔,狗,羊,马,蛇,猪,虎,鼠 | ❌ | 正常(多维度组合)
第 36期 | 号码= 1 生肖=马 | 预测=兔,龙,狗,羊,虎,马,蛇,猪,鼠 | ✅ | 正常(多维度组合)
第 37期 | 号码=10 生肖=鸡 | 预测=兔,龙,狗,蛇,羊,虎,猪,鼠,猴 | ❌ | 正常(多维度组合)
第 38期 | 号码=24 生肖=羊 | 预测=兔,龙,虎,狗,羊,鼠,蛇,猴,猪 | ✅ | 正常(多维度组合)
第 39期 | 号码= 9 生肖=狗 | 预测=兔,虎,狗,龙,蛇,猪,鼠,猴,牛 | ✅ | 正常(多维度组合)
第 40期 | 号码=13 生肖=马 | 预测=兔,龙,虎,蛇,狗,猪,羊,鼠,猴 | ❌ | 正常(多维度组合)
第 41期 | 号码=15 生肖=龙 | 预测=兔,虎,龙,蛇,猪,鼠,狗,猴,羊 | ✅ | 正常(多维度组合)
第 42期 | 号码= 2 生肖=蛇 | 预测=虎,兔,蛇,猴,猪,鼠,狗,牛,羊 | ✅ | 正常(多维度组合)
第 43期 | 号码=18 生肖=牛 | 预测=兔,虎,猪,狗,鼠,牛,猴,龙,羊 | ✅ | 正常(多维度组合)
第 44期 | 号码=11 生肖=猴 | 预测=虎,兔,狗,鼠,猪,羊,猴,龙,蛇 | ✅ | 正常(多维度组合)
第 45期 | 号码=15 生肖=龙 | 预测=兔,虎,鼠,猪,狗,羊,蛇,马,龙 | ✅ | 正常(多维度组合)
第 46期 | 号码=21 生肖=狗 | 预测=虎,兔,鼠,鸡,猪,羊,狗,蛇,马 | ✅ | 正常(多维度组合)
第 47期 | 号码=23 生肖=猴 | 预测=兔,虎,鼠,鸡,猪,羊,蛇,马,狗 | ❌ | 正常(多维度组合)
第 48期 | 号码=46 生肖=鸡 | 预测=兔,虎,鼠,鸡,羊,猪,蛇,马,猴 | ✅ | 正常(多维度组合)
第 49期 | 号码=23 生肖=猴 | 预测=兔,虎,鼠,猪,羊,蛇,马,猴,龙 | ✅ | 正常(多维度组合)
第 50期 | 号码= 9 生肖=狗 | 预测=兔,虎,鼠,猪,羊,蛇,马,牛,狗 | ✅ | 正常(多维度组合)
第 51期 | 号码= 8 生肖=猪 | 预测=兔,虎,鼠,猪,羊,牛,蛇,马,鸡 | ✅ | 正常(多维度组合)
第 52期 | 号码= 8 生肖=猪 | 预测=兔,虎,鼠,牛,马,羊,蛇,鸡,猪 | ✅ | 正常(多维度组合)
第 53期 | 号码=43 生肖=鼠 | 预测=兔,虎,鼠,牛,鸡,马,羊,蛇,龙 | ✅ | 正常(多维度组合)
第 54期 | 号码=25 生肖=马 | 预测=兔,虎,羊,马,蛇,鸡,牛,龙,鼠 | ✅ | 正常(多维度组合)
第 55期 | 号码=16 生肖=兔 | 预测=兔,虎,羊,蛇,牛,鸡,龙,猴,鼠 | ✅ | 正常(多维度组合)
第 56期 | 号码=32 生肖=猪 | 预测=虎,羊,蛇,鸡,牛,马,龙,鼠,猪 | ✅ | 正常(多维度组合)
第 57期 | 号码=31 生肖=鼠 | 预测=虎,羊,牛,鸡,蛇,龙,鼠,马,狗 | ✅ | 正常(多维度组合)
第 58期 | 号码=40 生肖=兔 | 预测=虎,羊,蛇,鸡,牛,龙,马,狗,猴 | ❌ | 正常(多维度组合)
第 59期 | 号码=15 生肖=龙 | 预测=虎,羊,牛,蛇,龙,鸡,马,猴,狗 | ✅ | 正常(多维度组合)
第 60期 | 号码= 2 生肖=蛇 | 预测=虎,羊,牛,蛇,鸡,猴,马,狗,龙 | ✅ | 正常(多维度组合)
第 61期 | 号码=39 生肖=龙 | 预测=虎,牛,羊,鸡,猴,马,龙,狗,蛇 | ✅ | 正常(多维度组合)
第 62期 | 号码=38 生肖=蛇 | 预测=虎,牛,羊,狗,鸡,猴,马,蛇,龙 | ✅ | 正常(多维度组合)
第 63期 | 号码=42 生肖=牛 | 预测=虎,牛,羊,鸡,猴,狗,马,龙,猪 | ✅ | 正常(多维度组合)
第 64期 | 号码=37 生肖=马 | 预测=虎,羊,鸡,猴,狗,马,牛,龙,蛇 | ✅ | 正常(多维度组合)
第 65期 | 号码=13 生肖=马 | 预测=虎,羊,猴,鸡,狗,蛇,牛,龙,兔 | ❌ | 正常(多维度组合)
第 66期 | 号码=42 生肖=牛 | 预测=虎,羊,猴,狗,鸡,蛇,兔,龙,牛 | ✅ | 正常(多维度组合)
第 67期 | 号码=39 生肖=龙 | 预测=虎,羊,猴,狗,鸡,龙,猪,蛇,鼠 | ✅ | 正常(多维度组合)
第 68期 | 号码= 2 生肖=蛇 | 预测=虎,羊,猴,狗,鸡,猪,蛇,鼠,兔 | ✅ | 正常(多维度组合)
第 69期 | 号码=46 生肖=鸡 | 预测=虎,猴,羊,鸡,狗,猪,鼠,兔,牛 | ✅ | 正常(多维度组合)
第 70期 | 号码= 4 生肖=兔 | 预测=虎,羊,猴,狗,鼠,猪,马,兔,鸡 | ✅ | 正常(多维度组合)
第 71期 | 号码=28 生肖=兔 | 预测=虎,羊,猴,狗,猪,鼠,龙,马,鸡 | ❌ | 正常(多维度组合)
第 72期 | 号码= 1 生肖=马 | 预测=虎,羊,猴,狗,猪,鼠,马,鸡,龙 | ✅ | 正常(多维度组合)
第 73期 | 号码=34 生肖=鸡 | 预测=虎,猴,羊,狗,猪,鼠,鸡,牛,蛇 | ✅ | 正常(多维度组合)
第 74期 | 号码= 8 生肖=猪 | 预测=虎,猴,羊,狗,鼠,猪,兔,牛,龙 | ✅ | 正常(多维度组合)
第 75期 | 号码=24 生肖=羊 | 预测=虎,羊,狗,猴,鼠,猪,牛,龙,鸡 | ✅ | 正常(多维度组合)
第 76期 | 号码=44 生肖=猪 | 预测=虎,狗,猴,鼠,蛇,猪,兔,龙,牛 | ✅ | 正常(多维度组合)
第 77期 | 号码= 6 生肖=牛 | 预测=虎,猴,狗,鼠,龙,牛,蛇,猪,兔 | ✅ | 正常(多维度组合)
第 78期 | 号码=25 生肖=马 | 预测=虎,猴,狗,鼠,龙,蛇,兔,羊,马 | ✅ | 正常(多维度组合)
第 79期 | 号码=12 生肖=羊 | 预测=虎,猴,狗,鼠,蛇,龙,兔,猪,鸡 | ❌ | 正常(多维度组合)
第 80期 | 号码=35 生肖=猴 | 预测=虎,狗,猴,鼠,蛇,龙,兔,猪,鸡 | ✅ | 正常(多维度组合)
第 81期 | 号码=23 生肖=猴 | 预测=虎,狗,鼠,龙,蛇,兔,猴,马,猪 | ✅ | 正常(多维度组合)
第 82期 | 号码=33 生肖=狗 | 预测=虎,狗,鼠,龙,蛇,牛,兔,马,猪 | ✅ | 正常(多维度组合)
第 83期 | 号码=17 生肖=虎 | 预测=虎,鼠,龙,蛇,牛,兔,狗,鸡,马 | ✅ | 正常(多维度组合)
第 84期 | 号码=42 生肖=牛 | 预测=鼠,蛇,龙,牛,兔,狗,马,猪,鸡 | ✅ | 正常(多维度组合)
第 85期 | 号码=48 生肖=羊 | 预测=鼠,龙,蛇,鸡,马,兔,狗,虎,猪 | ❌ | 正常(多维度组合)
第 86期 | 号码=28 生肖=兔 | 预测=蛇,鼠,龙,兔,鸡,虎,猪,狗,马 | ✅ | 正常(多维度组合)
第 87期 | 号码=38 生肖=蛇 | 预测=鼠,龙,蛇,鸡,马,兔,猪,虎,狗 | ✅ | 正常(多维度组合)
第 88期 | 号码=47 生肖=猴 | 预测=龙,鼠,鸡,马,兔,蛇,牛,猪,狗 | ❌ | 正常(多维度组合)
第 89期 | 号码= 3 生肖=龙 | 预测=龙,鼠,鸡,马,蛇,狗,兔,猪,虎 | ✅ | 正常(多维度组合)
第 90期 | 号码=33 生肖=狗 | 预测=鼠,鸡,蛇,马,猪,狗,兔,牛,虎 | ✅ | 正常(多维度组合)
第 91期 | 号码=44 生肖=猪 | 预测=鼠,鸡,马,猪,兔,龙,虎,牛,蛇 | ✅ | 正常(多维度组合)
第 92期 | 号码=38 生肖=蛇 | 预测=鼠,鸡,马,牛,蛇,兔,猪,虎,羊 | ✅ | 正常(多维度组合)
第 93期 | 号码=43 生肖=鼠 | 预测=鼠,鸡,马,牛,兔,龙,虎,猪,羊 | ✅ | 正常(多维度组合)
第 94期 | 号码=10 生肖=鸡 | 预测=马,鸡,兔,牛,虎,猪,龙,羊,蛇 | ✅ | 正常(多维度组合)
第 95期 | 号码=41 生肖=虎 | 预测=马,羊,兔,牛,猪,虎,龙,鸡,鼠 | ✅ | 正常(多维度组合)
第 96期 | 号码=29 生肖=虎 | 预测=马,牛,兔,羊,猪,龙,鸡,猴,鼠 | ❌ | 正常(多维度组合)
第 97期 | 号码=10 生肖=鸡 | 预测=马,牛,兔,羊,猴,猪,龙,鸡,蛇 | ✅ | 正常(多维度组合)
第 98期 | 号码=31 生肖=鼠 | 预测=马,羊,猴,兔,牛,猪,狗,鼠,龙 | ✅ | 正常(多维度组合)
第 99期 | 号码=35 生肖=猴 | 预测=马,兔,猴,羊,牛,狗,猪,龙,鸡 | ✅ | 正常(多维度组合)
第100期 | 号码= 6 生肖=牛 | 预测=马,牛,羊,兔,狗,猪,龙,猴,虎 | ✅ | 正常(多维度组合)
第101期 | 号码=36 生肖=羊 | 预测=马,羊,兔,狗,猪,龙,牛,猴,虎 | ✅ | 正常(多维度组合)
第102期 | 号码= 4 生肖=兔 | 预测=马,兔,狗,猪,龙,羊,虎,牛,蛇 | ✅ | 正常(多维度组合)
第103期 | 号码=44 生肖=猪 | 预测=马,猪,蛇,龙,狗,羊,牛,兔,虎 | ✅ | 正常(多维度组合)
第104期 | 号码=45 生肖=狗 | 预测=马,蛇,狗,牛,龙,羊,猴,兔,鼠 | ✅ | 正常(多维度组合)
第105期 | 号码= 9 生肖=狗 | 预测=马,龙,猴,羊,蛇,牛,兔,虎,猪 | ❌ | 正常(多维度组合)
第106期 | 号码=16 生肖=兔 | 预测=马,龙,猴,蛇,羊,牛,兔,虎,猪 | ✅ | 正常(多维度组合)
第107期 | 号码=28 生肖=兔 | 预测=马,龙,蛇,猴,牛,猪,羊,虎,鼠 | ❌ | 正常(多维度组合)
第108期 | 号码=27 生肖=龙 | 预测=马,蛇,龙,猴,羊,猪,虎,牛,鼠 | ✅ | 正常(多维度组合)
第109期 | 号码=42 生肖=牛 | 预测=蛇,马,猴,羊,牛,鼠,虎,狗,猪 | ✅ | 正常(多维度组合)
第110期 | 号码=47 生肖=猴 | 预测=马,蛇,猴,羊,鸡,鼠,虎,猪,狗 | ✅ | 正常(多维度组合)
第111期 | 号码=41 生肖=虎 | 预测=马,蛇,虎,鸡,鼠,羊,猪,狗,龙 | ✅ | 正常(多维度组合)
第112期 | 号码=45 生肖=狗 | 预测=马,蛇,鸡,鼠,猪,羊,狗,虎,龙 | ✅ | 正常(多维度组合)
第113期 | 号码=41 生肖=虎 | 预测=马,蛇,鸡,羊,鼠,猪,虎,龙,兔 | ✅ | 正常(多维度组合)
第114期 | 号码=24 生肖=羊 | 预测=马,蛇,鸡,鼠,猪,羊,龙,牛,虎 | ✅ | 正常(多维度组合)
第115期 | 号码= 3 生肖=龙 | 预测=马,蛇,鸡,鼠,猪,猴,虎,龙,兔 | ✅ | 正常(多维度组合)
第116期 | 号码=34 生肖=鸡 | 预测=蛇,马,鸡,鼠,猪,牛,猴,虎,狗 | ✅ | 正常(多维度组合)
第117期 | 号码=14 生肖=蛇 | 预测=马,鼠,蛇,猪,猴,牛,羊,虎,鸡 | ✅ | 正常(多维度组合)
第118期 | 号码=42 生肖=牛 | 预测=马,鼠,猪,猴,牛,鸡,兔,虎,羊 | ✅ | 正常(多维度组合)
第119期 | 号码=19 生肖=鼠 | 预测=马,鼠,猪,猴,羊,兔,虎,鸡,蛇 | ✅ | 正常(多维度组合)
第120期 | 号码=44 生肖=猪 | 预测=马,猪,猴,鸡,兔,蛇,羊,狗,鼠 | ✅ | 正常(多维度组合)
第121期 | 号码= 2 生肖=蛇 | 预测=马,狗,猴,鸡,鼠,羊,蛇,猪,兔 | ✅ | 正常(多维度组合)
第122期 | 号码=47 生肖=猴 | 预测=马,兔,鸡,狗,猴,鼠,羊,虎,猪 | ✅ | 正常(多维度组合)
第123期 | 号码=18 生肖=牛 | 预测=马,兔,狗,鸡,羊,虎,鼠,猪,龙 | ❌ | 正常(多维度组合)
第124期 | 号码= 5 生肖=虎 | 预测=马,兔,狗,羊,龙,虎,鸡,鼠,猪 | ✅ | 正常(多维度组合)
第125期 | 号码=22 生肖=鸡 | 预测=马,兔,狗,羊,鸡,龙,鼠,猪,牛 | ✅ | 正常(多维度组合)
第126期 | 号码=44 生肖=猪 | 预测=马,兔,狗,鼠,羊,猴,龙,猪,牛 | ✅ | 正常(多维度组合)
第127期 | 号码=23 生肖=猴 | 预测=马,兔,狗,羊,鼠,龙,猴,牛,蛇 | ✅ | 正常(多维度组合)
第128期 | 号码=49 生肖=马 | 预测=马,兔,狗,龙,羊,鼠,牛,虎,猴 | ✅ | 正常(多维度组合)
第129期 | 号码=40 生肖=兔 | 预测=兔,狗,羊,龙,虎,鼠,牛,猴,马 | ✅ | 正常(多维度组合)
第130期 | 号码= 5 生肖=虎 | 预测=狗,羊,龙,兔,虎,鼠,马,蛇,牛 | ✅ | 正常(多维度组合)
